DISTRITO LOCAL,NUM MPO,MUNICIPIO,Coalicion1,Coalicion2,SECCION,TIPO,LISTANOMINAL,PAN,PRI,PRD,PT,PVEM,PCP,PAS,PSN,PC,PRI-PVEM,CC1,CC2,SumaCC1,SumaCC2,NoRegistrados,Nulos,Total
1,6,CATORCE,PRD-PT-Convergencia,,98,B,685,213,179,2,49,,,,,3,,0,,54,,0,4,450
1,6,CATORCE,PRD-PT-Convergencia,,99,B,114,35,28,1,8,,,,,0,,0,,9,,0,3,75
1,6,CATORCE,PRD-PT-Convergencia,,100,B,52,14,6,0,4,,,,,0,,0,,4,,0,1,25
1,6,CATORCE,PRD-PT-Convergencia,,101,B,190,14,55,0,48,,,,,0,,0,,48,,0,0,117
1,6,CATORCE,PRD-PT-Convergencia,,102,B,220,65,80,1,14,,,,,0,,0,,15,,0,1,161
1,6,CATORCE,PRD-PT-Convergencia,,103,B,405,140,98,1,11,,,,,0,,0,,12,,0,4,254
1,6,CATORCE,PRD-PT-Convergencia,,105,B,276,82,71,1,15,,,,,0,,1,,17,,0,0,170
1,6,CATORCE,PRD-PT-Convergencia,,106,B,407,113,123,1,16,,,,,1,,4,,22,,0,2,260
1,6,CATORCE,PRD-PT-Convergencia,,106,C1,408,115,132,1,18,,,,,1,,6,,26,,1,3,277
1,6,CATORCE,PRD-PT-Convergencia,,107,B,166,58,22,4,18,,,,,1,,0,,23,,0,0,103
1,6,CATORCE,PRD-PT-Convergencia,,108,B,414,34,138,0,55,,,,,0,,0,,55,,0,5,232
1,6,CATORCE,PRD-PT-Convergencia,,109,B,100,11,22,1,17,,,,,1,,0,,19,,0,0,52
1,6,CATORCE,PRD-PT-Convergencia,,110,B,191,73,33,1,6,,,,,2,,0,,9,,0,1,116
1,6,CATORCE,PRD-PT-Convergencia,,111,B,257,52,39,2,71,,,,,3,,1,,77,,0,4,172
1,6,CATORCE,PRD-PT-Convergencia,,112,B,510,87,71,10,134,,,,,0,,14,,158,,0,0,316
1,6,CATORCE,PRD-PT-Convergencia,,113,B,240,18,71,6,7,,,,,1,,0,,14,,0,0,103
1,6,CATORCE,PRD-PT-Convergencia,,114,B,143,13,13,4,56,,,,,0,,0,,60,,0,1,87
1,6,CATORCE,PRD-PT-Convergencia,,115,B,263,10,170,0,5,,,,,0,,1,,6,,0,2,188
1,6,CATORCE,PRD-PT-Convergencia,,116,B,277,26,75,0,44,,,,,0,,0,,44,,0,1,146
1,6,CATORCE,PRD-PT-Convergencia,,117,B,226,35,64,1,54,,,,,0,,0,,55,,0,0,154
1,6,CATORCE,PRD-PT-Convergencia,,118,B,400,46,102,8,95,,,,,0,,1,,104,,0,6,258
,,,,,,,,,,,,,,,,,,,,,,,,
1,7,CEDRAL,PCP-PAS-Convergencia,,119,B,560,107,147,13,3,,7,30,,1,,6,,44,,0,3,317
1,7,CEDRAL,PCP-PAS-Convergencia,,119,C1,560,104,153,28,2,,3,4,,2,,8,,17,,0,3,307
1,7,CEDRAL,PCP-PAS-Convergencia,,119,C2,560,76,175,20,4,,3,29,,0,,5,,37,,0,3,315
1,7,CEDRAL,PCP-PAS-Convergencia,,120,B,676,114,210,6,3,,9,19,,1,,1,,30,,0,6,369
1,7,CEDRAL,PCP-PAS-Convergencia,,120,C1,676,121,207,9,6,,5,24,,1,,6,,36,,0,9,388
1,7,CEDRAL,PCP-PAS-Convergencia,,121,B,748,133,224,13,7,,6,22,,2,,2,,32,,0,3,412
1,7,CEDRAL,PCP-PAS-Convergencia,,121,C1,748,151,180,13,11,,5,26,,6,,5,,42,,0,4,401
1,7,CEDRAL,PCP-PAS-Convergencia,,122,B,688,129,210,24,5,,5,20,,0,,8,,33,,0,1,402
1,7,CEDRAL,PCP-PAS-Convergencia,,122,C1,688,103,206,31,6,,2,38,,2,,12,,54,,0,2,402
1,7,CEDRAL,PCP-PAS-Convergencia,,123,B,173,4,50,3,1,,5,24,,2,,6,,37,,0,8,103
1,7,CEDRAL,PCP-PAS-Convergencia,,124,B,318,8,81,3,1,,0,68,,0,,0,,68,,0,8,169
1,7,CEDRAL,PCP-PAS-Convergencia,,125,B,305,12,73,2,2,,18,48,,4,,16,,86,,0,3,178
1,7,CEDRAL,PCP-PAS-Convergencia,,125,EXT,120,9,45,3,2,,5,9,,3,,4,,21,,0,3,83
1,7,CEDRAL,PCP-PAS-Convergencia,,126,B,421,62,93,5,7,,0,33,,0,,0,,33,,0,5,205
1,7,CEDRAL,PCP-PAS-Convergencia,,127,B,355,11,91,3,2,,12,33,,6,,14,,65,,0,1,173
1,7,CEDRAL,PCP-PAS-Convergencia,,128,B,433,45,108,0,5,,21,65,,6,,15,,107,,0,1,266
1,7,CEDRAL,PCP-PAS-Convergencia,,129,B,147,6,52,0,8,,6,16,,1,,4,,27,,0,0,93
1,7,CEDRAL,PCP-PAS-Convergencia,,130,B,233,17,98,0,0,,14,13,,0,,3,,30,,0,2,147
1,7,CEDRAL,PCP-PAS-Convergencia,,131,B,731,49,345,12,2,,7,13,,3,,3,,26,,0,2,436
1,7,CEDRAL,PCP-PAS-Convergencia,,132,B,218,12,67,2,4,,4,13,,1,,6,,24,,0,1,110
1,7,CEDRAL,PCP-PAS-Convergencia,,133,B,324,29,57,0,3,,12,71,,8,,9,,100,,0,4,193
