id_entidad_electoral,fecha_jornada,id_cargo,nombre_cargo,id_estado,id_distrito,seccion,id_casilla,tipo_casilla,descripcion,ext_contigua,id_municipio,nombre_municipio,lista_nominal,estatus_casilla,descripcion,resultados_obtenidos,tipo_urna,descripcion,Nulos,NoRegistrados,PAN,PRI,PRD-PT-Convergencia,PVEM,PCP,PNA,PASC,PAN-PNA,PAN-PCP-PNA,PRI-PASC,PRI-PCP-PASC,PVEM-PCP,PVEM-PCP-PNA,PCP-PNA,Total
24,2/7/2006,12,Ayuntamientos,24,0,122,2,C,Contigua,0,7,CEDRAL,555,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,7,0,143,111,30,0,0,25,27,0,0,0,0,0,0,0,343
24,2/7/2006,12,Ayuntamientos,24,0,127,1,B,Basica,0,7,CEDRAL,375,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,4,0,46,34,63,0,0,5,16,0,0,0,0,0,0,0,168
24,2/7/2006,12,Ayuntamientos,24,0,128,1,B,Basica,0,7,CEDRAL,453,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,14,0,56,60,132,0,0,2,11,0,0,0,0,0,0,0,275
24,2/7/2006,12,Ayuntamientos,24,0,129,1,B,Basica,0,7,CEDRAL,143,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,5,0,15,28,34,0,0,1,10,0,0,0,0,0,0,0,93
24,2/7/2006,12,Ayuntamientos,24,0,131,1,C,Contigua,0,7,CEDRAL,417,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,5,0,59,86,10,0,0,3,61,0,0,0,0,0,0,0,224
24,2/7/2006,12,Ayuntamientos,24,0,133,1,B,Basica,0,7,CEDRAL,355,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,9,0,19,24,135,0,0,1,28,0,0,0,0,0,0,0,216
24,2/7/2006,12,Ayuntamientos,24,0,494,1,B,Basica,0,20,MATEHUALA,528,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,3,0,226,87,11,0,1,0,5,0,0,5,0,0,0,0,338
24,2/7/2006,12,Ayuntamientos,24,0,495,1,B,Basica,0,20,MATEHUALA,385,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,5,0,158,69,9,0,1,0,12,0,0,6,0,0,0,0,260
24,2/7/2006,12,Ayuntamientos,24,0,502,1,B,Basica,0,20,MATEHUALA,598,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,4,1,198,58,8,0,4,0,6,0,0,9,0,0,0,0,288
24,2/7/2006,12,Ayuntamientos,24,0,503,1,B,Basica,0,20,MATEHUALA,639,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,4,0,231,71,9,0,2,0,6,0,0,9,0,0,0,0,332
24,2/7/2006,12,Ayuntamientos,24,0,509,1,C,Contigua,0,20,MATEHUALA,633,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,11,0,199,108,4,0,2,0,4,0,0,13,0,0,0,0,341
24,2/7/2006,12,Ayuntamientos,24,0,510,1,C,Contigua,0,20,MATEHUALA,546,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,8,0,173,76,8,0,3,0,4,0,0,7,0,0,0,0,279
24,2/7/2006,12,Ayuntamientos,24,0,512,1,B,Basica,0,20,MATEHUALA,570,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,9,0,227,65,2,0,3,0,2,0,0,10,0,0,0,0,318
24,2/7/2006,12,Ayuntamientos,24,0,525,1,B,Basica,0,20,MATEHUALA,527,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,4,0,173,79,5,0,0,0,3,0,0,7,0,0,0,0,271
24,2/7/2006,12,Ayuntamientos,24,0,531,1,B,Basica,0,20,MATEHUALA,521,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,14,0,198,53,6,0,4,0,2,0,0,8,0,0,0,0,285
24,2/7/2006,12,Ayuntamientos,24,0,532,1,C,Contigua,0,20,MATEHUALA,388,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,8,0,70,104,3,0,0,0,4,0,0,14,0,0,0,0,203
24,2/7/2006,12,Ayuntamientos,24,0,538,1,B,Basica,0,20,MATEHUALA,115,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,1,0,44,28,1,0,3,0,0,0,0,0,0,0,0,0,77
24,2/7/2006,12,Ayuntamientos,24,0,1524,1,B,Basica,0,44,VANEGAS,167,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,5,0,45,47,0,0,0,0,1,0,0,10,0,0,0,0,108
24,2/7/2006,12,Ayuntamientos,24,0,1531,1,B,Basica,0,44,VANEGAS,356,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,11,0,61,109,5,0,0,1,3,0,0,44,0,0,0,0,234
24,2/7/2006,12,Ayuntamientos,24,0,1671,1,E,Extraordinaria,1,52,VILLA HIDALGO,428,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,3,0,107,96,4,0,7,9,0,21,0,0,0,0,0,0,247
24,2/7/2006,12,Ayuntamientos,24,0,1672,1,B,Basica,0,52,VILLA HIDALGO,703,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,6,0,212,147,3,0,21,14,0,40,0,0,0,0,0,0,443
24,2/7/2006,12,Ayuntamientos,24,0,1691,1,B,Basica,0,53,VILLA JUAREZ,683,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,9,0,193,126,0,0,0,3,0,29,0,23,0,0,0,0,383
24,2/7/2006,12,Ayuntamientos,24,0,1692,1,B,Basica,0,53,VILLA JUAREZ,633,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,7,0,97,209,0,0,0,1,3,18,0,47,0,0,0,0,382
24,2/7/2006,12,Ayuntamientos,24,0,1694,1,B,Basica,0,53,VILLA JUAREZ,211,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,2,0,60,36,0,0,0,1,2,10,0,6,0,0,0,0,117
24,2/7/2006,12,Ayuntamientos,24,0,1696,1,B,Basica,0,53,VILLA JUAREZ,251,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,6,0,40,66,0,0,0,0,0,3,0,5,0,0,0,0,120
24,2/7/2006,12,Ayuntamientos,24,0,1697,1,C,Contigua,0,53,VILLA JUAREZ,603,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,12,0,97,171,0,0,0,2,1,8,0,12,0,0,0,0,303
24,2/7/2006,12,Ayuntamientos,24,0,1703,1,B,Basica,0,53,VILLA JUAREZ,109,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,1,0,31,23,0,0,0,0,1,10,0,2,0,0,0,0,68
24,2/7/2006,12,Ayuntamientos,24,0,261,1,B,Basica,0,12,TANCANHUITZ,386,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,16,1,126,55,29,0,3,0,0,0,0,0,0,0,0,0,230
24,2/7/2006,12,Ayuntamientos,24,0,264,1,B,Basica,0,12,TANCANHUITZ,412,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,11,0,76,99,86,0,1,0,0,0,0,0,0,0,0,0,273
24,2/7/2006,12,Ayuntamientos,24,0,1735,1,B,Basica,0,55,XILITLA,598,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,6,0,209,118,18,0,0,0,0,0,0,0,0,0,0,0,351
24,2/7/2006,12,Ayuntamientos,24,0,1737,1,B,Basica,0,55,XILITLA,431,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,17,4,113,116,28,0,0,0,0,0,0,0,0,0,0,0,278
24,2/7/2006,12,Ayuntamientos,24,0,1743,1,B,Basica,0,55,XILITLA,433,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,23,8,74,125,38,0,0,0,0,0,0,0,0,0,0,0,268
24,2/7/2006,12,Ayuntamientos,24,0,1746,1,B,Basica,0,55,XILITLA,279,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,10,5,87,85,13,0,0,0,0,0,0,0,0,0,0,0,200
24,2/7/2006,12,Ayuntamientos,24,0,1752,1,B,Basica,0,55,XILITLA,489,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,19,0,103,125,4,0,0,0,0,0,0,0,0,0,0,0,251
24,2/7/2006,12,Ayuntamientos,24,0,1758,1,B,Basica,0,55,XILITLA,358,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,23,12,59,83,13,0,0,0,0,0,0,0,0,0,0,0,190
24,2/7/2006,12,Ayuntamientos,24,0,1760,1,B,Basica,0,55,XILITLA,412,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,6,0,82,155,3,0,0,0,0,0,0,0,0,0,0,0,246
24,2/7/2006,12,Ayuntamientos,24,0,1349,1,B,Basica,0,58,MATLAPA,469,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,16,0,117,79,86,0,1,0,0,0,0,0,0,0,0,0,299
