ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,CABECERA_DISTRITAL,SECCIONES,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,PUP,NVA_ALIANZA,PSD,MORENA,ES,PRS,CAND_IND1,CAND_IND2,CAND_IND3,CAND_IND4,CAND_IND5,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,PARTICIPACION
20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,113,210,18556,32184,6731,1073,3380,4139,408,433,516,6228,,1927,,,,,,20,75575,2010,77605,103807,0.7476
20,OAXACA,2,SAN JUAN BAUTISTA TUXTEPEC,70,187,8394,11992,4969,1042,11673,7192,462,1481,982,12421,,458,,,,,,28,61066,1894,62988,108681,0.5796
20,OAXACA,3,LOMA BONITA,87,197,4559,19078,13032,2139,3716,7198,1627,1306,811,22503,,272,,,,,,6,76241,2054,78301,102867,0.7612
20,OAXACA,4,TEOTITLAN DE FLORES MAGON,119,212,3497,19306,14379,1674,3259,213,3031,2585,3064,13270,,692,,,,,,14,64970,3658,68642,104617,0.6561
20,OAXACA,5,ASUNCION NOCHIXTLAN,166,249,3015,17409,8103,1613,5884,398,4069,1058,1876,9681,,558,,,,,,38,53664,2307,56006,109639,0.5108
20,OAXACA,6,HEROICA CIUDAD DE HUAJUAPAN DE LEON,157,251,9334,20140,9937,929,4034,1348,411,1135,434,12330,,278,,,,,,47,60310,2206,62563,118506,0.5279
20,OAXACA,7,PUTLA VILLA DE GUERRERO,102,216,1485,16972,11977,1750,4332,1086,1844,583,1307,18429,,902,,,,,,7,60667,3306,63980,110623,0.5784
20,OAXACA,8,HEROICA CIUDAD DE TLAXIACO,128,229,1732,11272,14339,1417,4439,989,5116,1673,1455,12815,,,,,,,,21,55247,2685,57953,109417,0.5297
20,OAXACA,9,IXTLAN DE JUAREZ,127,223,4445,13051,4029,1210,5941,1821,4224,1512,3420,13283,,740,1885,,,,,21,55561,2710,56407,107072,0.5268
20,OAXACA,10,SAN PEDRO Y SAN PABLO AYUTLA,81,174,3399,15431,2481,998,10387,733,795,727,393,5338,,106,,,,,,18,40788,2275,43106,87800,0.4910
20,OAXACA,11,MATIAS ROMERO AVENDAÑO,121,234,7857,20060,10115,1917,3279,2630,472,3458,912,6154,361,434,,6424,,,,34,64073,3307,67441,122462,0.5507
20,OAXACA,12,SANTA LUCIA DEL CAMINO,61,176,6434,10555,4342,1883,6842,2023,3615,1764,1886,13569,,2394,,,,,,80,55307,2561,57948,109717,0.5282
20,OAXACA,13,OAXACA DE JUAREZ ZONA SUR,75,206,6260,13417,5788,1706,6957,1445,1777,1615,1091,17978,,1617,,,2912,,,71,62563,2741,62463,125119,0.4992
20,OAXACA,14,OAXACA DE JUAREZ ZONA NORTE,78,211,11300,15581,5247,2105,6065,906,1421,2396,777,17003,,1468,,,,2278,1974,100,68521,2934,67303,126006,0.5341
20,OAXACA,15,SANTA CRUZ XOXOCOTLAN,39,176,4028,11551,13222,1300,5663,845,1934,1795,2319,15034,,1730,,,,,,50,59421,2576,62047,117890,0.5263
20,OAXACA,16,ZIMATLAN DE ALVAREZ,103,206,8102,15495,12930,1655,5057,4123,2025,2890,1566,12564,,838,,,,,,52,67245,3552,70849,114797,0.6172
20,OAXACA,17,TLACOLULA DE MATAMOROS,122,233,12394,17632,6773,2426,4972,1196,787,1409,787,8773,,512,,,,,,32,57661,3111,60804,124704,0.4876
20,OAXACA,18,SANTO DOMINGO TEHUANTEPEC,91,187,2492,19350,10179,1265,7067,794,2035,1713,989,17163,,2929,,,,,,46,65976,2626,68648,98748,0.6952
20,OAXACA,19,SALINA CRUZ,86,207,7976,17996,16667,1634,4588,474,1711,2077,296,13693,,574,,,,,,22,67686,2527,70235,118328,0.5936
20,OAXACA,20,HEROICA CIUDAD DE JUCHITAN DE ZARAGOZA,89,195,2918,20292,14475,1685,5190,779,2393,837,770,15513,,632,,,,,,47,65484,3769,69300,108489,0.6388
20,OAXACA,21,HEROICA CIUDAD DE EJUTLA DE CRESPO,92,176,6747,14945,5102,1251,4796,353,2488,1340,1011,9453,,219,,,,,,219,47705,1130,49054,94557,0.5188
20,OAXACA,22,SANTIAGO PINOTEPA NACIONAL,108,234,2660,25851,30878,815,5312,1281,2482,1284,605,11107,,198,,,,,,31,82473,2676,85180,127515,0.6680
20,OAXACA,23,SAN PEDRO MIXTEPEC,62,186,4619,20184,5566,1987,6036,550,915,2578,690,18575,,307,,,,,,46,62007,2727,64780,108478,0.5972
20,OAXACA,24,MIAHUATLAN DE PORFIRIO DIAZ,109,204,10115,18282,3457,1516,3188,343,2650,938,758,9105,,361,,,,,,29,50713,2487,53229,108585,0.4902
20,OAXACA,25,SAN PEDRO POCHUTLA,64,188,7780,12278,6104,1468,10135,5967,981,4189,2208,10497,,1896,,,,,,6,63503,2833,66342,110150,0.6023
