CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,CABECERA_DISTRITAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLA,PAN,PRI,PRD,PVEM,PT,MC,PUP,NVA_ALIANZA,PSD,MORENA,ES,PRS,PAN_PRD,PRI_PVEM,C_COMUN_PRI_ES,CAND_IND_1,CAND_IND_2,CAND_IND_3,CAND_IND_4,CAND_IND_5,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,ESTATUS_ACTA,TEPJF,OBSERVACIONES,RUTA_ACTA
3,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,2,ACATLAN DE PEREZ FIGUEROA,0002,B,193,186,12,11,22,2,0,3,0,50,,2,12,1,,,,,,,1,494,11,506,680,,,,
3,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,2,ACATLAN DE PEREZ FIGUEROA,0003,B,173,164,6,3,1,2,0,0,0,46,,1,11,3,,,,,,,1,410,11,422,538,,,,
3,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,2,ACATLAN DE PEREZ FIGUEROA,0003,C01,187,141,6,5,8,3,0,1,1,40,,0,4,2,,,,,,,0,398,2,400,538,,,,
3,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,2,ACATLAN DE PEREZ FIGUEROA,0003,C02,176,134,6,5,12,0,0,0,2,40,,0,15,11,,,,,,,0,401,15,416,537,,,,
3,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,2,ACATLAN DE PEREZ FIGUEROA,0004,B,201,124,6,10,8,2,1,2,0,21,,0,6,1,,,,,,,1,382,11,394,533,,,,
3,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,2,ACATLAN DE PEREZ FIGUEROA,0004,C01,187,106,9,16,7,0,0,1,0,36,,1,9,6,,,,,,,0,378,18,396,532,,,,
3,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,2,ACATLAN DE PEREZ FIGUEROA,0004,C02,209,100,3,11,13,0,0,2,2,32,,0,6,4,,,,,,,0,382,15,397,532,,,,
3,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,2,ACATLAN DE PEREZ FIGUEROA,0005,B,213,157,7,25,22,0,1,1,0,38,,0,7,6,,,,,,,0,477,5,482,652,,,,
3,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,2,ACATLAN DE PEREZ FIGUEROA,0005,SMR01,50,37,5,4,8,1,2,0,2,27,,0,0,5,,,,,,,2,141,0,143,,,,,
3,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,2,ACATLAN DE PEREZ FIGUEROA,0005,SRP01,50,37,5,4,8,1,2,0,2,27,,0,0,0,,,,,,,0,136,2,138,,,,,
