ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,SECCIONES,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,NA,MORENA,ES,RED,PT_MORENA_ES,PT_MORENA,PT_ES,MORENA_ES,CAND_IND1,CAND_IND2,CAND_IND3,CAND_IND4,CAND_IND5,CAND_IND6,CAND_IND7,CAND_IND8,CAND_IND9,CAND_IND10,CAND_IND11,CAND_IND12,CAND_IND13,CAND_IND14,CAND_IND15,CAND_IND16,CAND_IND17,CAND_IND18,CAND_IND19,CAND_IND20,CAND_IND21,CAND_IND22,CAND_IND23,CAND_IND24,CAND_IND25,CAND_IND26,CAND_IND27,CAND_IND28,CAND_IND29,CAND_IND30,CAND_IND31,CAND_IND32,CAND_IND33,CAND_IND34,CAND_IND35,CAND_IND36,CAND_IND37,CAND_IND38,CAND_IND39,CAND_IND40,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
19,NUEVO LEON,1,MONTERREY,38,177,8763,11315,854,6439,5628,4906,1418,8363,607,318,230,184,27,71,1554,2518,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53195,31,1756,54982,120894,
19,NUEVO LEON,2,MONTERREY,78,227,13569,15145,625,3268,9951,6003,1273,11186,1046,207,284,303,39,74,,,921,2952,944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67790,90,2809,70689,141729,
19,NUEVO LEON,3,MONTERREY,64,227,31161,15625,628,4553,3798,12468,1637,11445,880,522,230,173,45,36,,,,,,1893,4006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89100,75,2607,91782,146518,
19,NUEVO LEON,4,MONTERREY,172,287,24956,14606,694,5193,1861,32525,1584,9320,594,307,267,186,12,28,,,,,,,,1982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94115,141,2508,96764,153740,
19,NUEVO LEON,5,APODACA,127,276,20933,18546,634,2964,2294,7136,1595,18053,1066,291,271,151,12,67,,,,,,,,,5353,1709,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81075,13,1992,83080,158164,
19,NUEVO LEON,6,MONTERREY,230,324,26326,18306,645,5825,2618,9615,1713,14733,1084,448,275,173,46,95,,,,,,,,,,,2364,4030,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88296,92,2929,91317,162322,
19,NUEVO LEON,7,APODACA,94,217,12815,15941,510,3149,1902,5423,1825,14514,1023,301,405,83,26,110,,,,,,,,,,,,,6463,,,,,,,,,,,,,,,,,,,,,,,,,,,,64490,57,1472,66019,127323,
19,NUEVO LEON,8,MONTERREY,73,237,32181,11605,675,2956,1443,18265,1564,8890,603,373,228,93,13,31,,,,,,,,,,,,,,2398,2220,,,,,,,,,,,,,,,,,,,,,,,,,,83538,51,2675,86264,143958,
19,NUEVO LEON,9,SAN NICOLAS,93,243,35270,6399,597,3276,2196,7845,3263,13317,839,479,239,193,3,63,,,,,,,,,,,,,,,,3073,5032,,,,,,,,,,,,,,,,,,,,,,,,82084,96,2184,84364,144107,
19,NUEVO LEON,10,SAN NICOLAS,91,248,34105,8715,686,3069,2341,9900,1545,14593,1153,495,297,131,55,42,,,,,,,,,,,,,,,,,,3577,1768,2396,,,,,,,,,,,,,,,,,,,,,84868,123,2500,87491,146614,
