CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,CABECERA_DISTRITAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,NVA_ALIANZA,MORENA,PH,ES,PRI_PVEM,CAND_IND1,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
1,14,JALISCO,11,GUADALAJARA,41,GUADALAJARA,697,2,140,207,13,19,16,262,18,17,19,10,1,,0,722,9,731,1384
1,14,JALISCO,11,GUADALAJARA,41,GUADALAJARA,698,2,43,168,6,18,12,214,32,12,29,17,3,,1,554,16,571,1277
1,14,JALISCO,11,GUADALAJARA,41,GUADALAJARA,699,2,107,232,13,8,12,296,24,27,23,26,8,,0,776,17,793,1520
1,14,JALISCO,11,GUADALAJARA,41,GUADALAJARA,700,2,84,172,11,25,16,283,31,21,31,11,7,,2,692,24,718,1441
1,14,JALISCO,11,GUADALAJARA,41,GUADALAJARA,701,3,124,220,19,27,15,358,33,16,25,24,3,,1,864,23,888,1717
1,14,JALISCO,11,GUADALAJARA,41,GUADALAJARA,702,2,78,181,5,20,11,270,23,12,89,14,7,,0,710,16,726,1333
1,14,JALISCO,11,GUADALAJARA,41,GUADALAJARA,703,2,41,176,17,17,14,272,30,23,16,12,4,,0,622,13,635,1245
1,14,JALISCO,11,GUADALAJARA,41,GUADALAJARA,704,3,61,181,12,16,17,369,37,32,13,22,3,,6,763,15,784,1589
1,14,JALISCO,11,GUADALAJARA,41,GUADALAJARA,705,2,37,239,12,22,7,222,36,8,7,13,3,,0,606,19,625,1334
1,14,JALISCO,11,GUADALAJARA,41,GUADALAJARA,706,2,55,232,10,17,7,309,45,13,13,13,4,,0,718,20,738,1527
1,14,JALISCO,11,GUADALAJARA,41,GUADALAJARA,707,2,53,120,11,15,9,251,18,11,7,9,3,,2,507,7,516,957
1,14,JALISCO,11,GUADALAJARA,41,GUADALAJARA,708,2,52,188,9,16,13,227,25,19,7,5,3,,0,564,22,586,1052
1,14,JALISCO,11,GUADALAJARA,41,GUADALAJARA,709,2,39,199,5,10,2,193,20,14,6,5,1,,1,494,10,505,994
