ID_ESTADO,ID_MUNICIPIO_LOCAL,PARTIDO_CI,CANDIDATURA_PROPIETARIA,CANDIDATURA_SUPLENTE
11,1,PAN,ABEL GALLARDO MORALES,
11,1,PRI,ROCÍO CERVANTES BARBA,
11,1,PRD,MA. DE JESÚS MARTÍNEZ NEGRETE,
11,1,PVEM,ÉDGAR ULISES GONZÁLEZ SOLACHE,
11,1,PT,HUMBERTO NEGRETE ESTRADA,
11,1,MC,CARLO EMMANUEL TOVAR AMEZOLA,
11,1,MORENA,JESSICA CABAL CEBALLOS,
11,1,NA_Gto,CLAUDIA DE JESÚS MÉNDEZ GALLAGA,
11,1,PES,MA. ROSARIO JUÁREZ NEGRETE,
11,1,RSP,JOB EDUARDO GALLARDO SANTELLANO,
11,1,FXM,ROSA MARÍA RODRÍGUEZ LÓPEZ,
11,2,PAN,CLAUDIA SILVA CAMPOS,
11,2,PRI,MA. DOLORES SIERRA SANTOYO,
11,2,PRD,MA. DOLORES SIERRA SANTOYO,
11,2,PVEM,LUIS ARTURO RAZO RANGEL,
11,2,PT,JOSÉ JESÚS ARGUETA GÓMEZ,
11,2,MC,MA. GUADALUPE JOSEFINA SALAS BUSTAMANTE,
11,2,MORENA,ALEJANDRO TIRADO ZÚÑIGA,
11,2,NA_Gto,JUANA MARÍA TREVIÑO CARDONA,
11,2,PES,VERÓNICA GARCÍA ACEVEDO,
11,2,RSP,FILEMÓN GÓMEZ MACHUCA,
11,2,FXM,ALAN PAUL MORA ARREOLA,
11,2,PRI_PRD,MA. DOLORES SIERRA SANTOYO,
11,2,CAND_IND_1,OZIEL GARCÍA GUERRERO,
11,2,CAND_IND_2,ENRIQUE PÉREZ RUIZ,
11,3,PAN,LUIS ALBERTO VILLARREAL GARCÍA,
11,3,PRI,MAURICIO TREJO PURECO,
11,3,PRD,LAURA LIZBETH AGUILAR LEÓN,
11,3,PVEM,ALAN RAFAEL ROMO GOFF,
11,3,PT,FELICIANA SALGADO CRUZ,
11,3,MC,AGUSTINA MORALES PÉREZ,
11,3,MORENA,LUIS RICARDO FERRO BAEZA,
11,3,NA_Gto,MARÍA AUXILIO MAGDALENA TRUJILLO RODRÍGUEZ,
11,3,PES,JOSÉ LUIS VARGAS RAMÍREZ,
11,3,RSP,LILIANA PERALTA CORTÉS,
11,3,FXM,JAVIER NIETO ÁVILA,
11,4,PAN,GUADALUPE MONSERRAT MENDOZA CANO,
11,4,PRI,EVELIA ZETINA MANDUJANO,
11,4,PRD,EVELIA ZETINA MANDUJANO,
11,4,PVEM,FORTINO RODRÍGUEZ GUERRERO,
11,4,MC,JOSÉ DE JESÚS ACEVEDO VEGA,
11,4,MORENA,MARÍA DEL CARMEN ORTIZ TERRAZAS,
11,4,NA_Gto,ROSALINA LARA RODRÍGUEZ,
11,4,PES,RENÉ MIGUEL ARELLANO REYNA,
11,4,RSP,JESSICA LIZZET GONZÁLEZ RAMÍREZ,
11,4,PRI_PRD,EVELIA ZETINA MANDUJANO,
11,5,PAN,JOSÉ LUIS OLIVEROS USABIAGA,
11,5,PRI,GRACIELA SÁNCHEZ MENDOZA,
11,5,PRD,JUAN MANDUJANO RAMÍREZ,
11,5,PVEM,MOISÉS GUERRERO LARA,
11,5,PT,ARMANDO ROMERO ESTRELLA,
11,5,MC,NORMA MARTÍNEZ CABELLO,
11,5,MORENA,LUIS ERNESTO JIMÉNEZ MARTÍNEZ,
11,5,NA_Gto,JUAN MANUEL MENDOZA MORALES,
11,5,PES,LORENZO LICEA ROJAS,
11,5,RSP,GONZALO GONZÁLEZ CENTENO,
11,5,FXM,PALOMA SIMENTAL ROCHA,
11,6,PAN,MARÍA ELENA RAMOS LOYOLA,
11,6,PRI,NATIVIDAD VÉLEZ PÉREZ,
11,6,PRD,MARÍA INÉS ROSALES SÁNCHEZ,
11,6,PVEM,CIRILO HERNÁNDEZ GARCÍA,
11,6,MORENA,J. GUADALUPE FLORES LOYOLA,
11,7,PAN,FRANCISCO JAVIER MENDOZA MÁRQUEZ,
11,7,PRI,JORGE ANTONIO ESTOPELLAN GUZMÁN,
11,7,PRD,ALEJANDRA MARGARITA FLORES MACÍAS,
11,7,PVEM,CARLOS ALBERTO TREJO DÍAZ,
11,7,PT,JOSÉ GERMÁN VÁZQUEZ ALBA,
11,7,MC,LUIS GUILLERMO ORTIZ ALVA,
11,7,MORENA,CARMEN CASTREJÓN MATA,
11,7,NA_Gto,MA. ARACELI MORALES MANCERA,
11,7,PES,EMMA JAQUELINE LEÓN VÁZQUEZ,
11,7,RSP,JOSÉ LEOPOLDO MIRELES DURÁN,
11,7,FXM,MARÍA GUADALUPE MARTÍNEZ URIBE,
11,8,PAN,BLANCA HAYDEÉ PRECIADO PÉREZ,
11,8,PRI,DAVID EMMANUEL ROJAS JARAMILLO,
11,8,PRD,FIDENCIO HIDALGO LOZANO,
11,8,PVEM,ÉRIKA CARMONA VELÁZQUEZ,
11,8,MC,GENARO ZAMORA CÓRDOVA,
11,8,MORENA,EMMANUEL JOAQUÍN MADRIGAL CAPISTRÁN,
11,8,NA_Gto,ALICIA VILLANUEVA PAZ,
11,8,PES,JACQUELINE JARAMILLO ROJAS,
11,9,PAN,CLAUDIO SANTOYO CABELLO,
11,9,PRI,MARÍA FELICITAS VALLE GARCÍA,
11,9,PRD,MARÍA FELICITAS VALLE GARCÍA,
11,9,PVEM,BLANCA ESTELA TAPIA GUERRERO,
11,9,PT,GILBERTO ZÁRATE NIEVES,
11,9,MC,CLAUDIA GALINDO MÚSICO,
11,9,MORENA,JOSÉ CARLOS NIETO JUÁREZ,
11,9,NA_Gto,EDITH ÉRIKA LÓPEZ RAMÍREZ,
11,9,RSP,MARÍA JUANA PESCADOR LÓPEZ,
11,9,FXM,OMAR FABIÁN MARTÍNEZ TAMAYO,
11,9,PRI_PRD,MARÍA FELICITAS VALLE GARCÍA,
11,9,CAND_IND_1,JOSÉ LUIS REVILLA MACÍAS,
11,9,CAND_IND_2,SERGIO LUIS VÁZQUEZ ORTEGA,
11,10,PAN,ARACELI PÉREZ GRANADOS,
11,10,PRI,LETICIA GRANADOS ESTRADA,
11,10,PRD,ÉDGAR ESQUIVEL COLCHADO,
11,10,PVEM,MARTHA MONDRAGÓN PIÑA,
11,10,MC,JESSICA KARINA VILCHIS SÁNCHEZ,
11,10,MORENA,RUBÉN RAMOS ANAYA,
11,10,NA_Gto,HÉCTOR CORREA MONDRAGÓN,
11,11,PAN,ARIEL ENRIQUE CORONA RODRÍGUEZ,
11,11,PRI,CARLOS ALBERTO DURÁN RIVERA,
11,11,PRD,CARLOS ALBERTO DURÁN RIVERA,
11,11,PVEM,ROBERTO ROJAS AGUILAR,
11,11,PT,ALMA ROSA LEÓN MEDINA,
11,11,MC,ANGÉLICA PAOLA YÁÑEZ GONZÁLEZ,
11,11,MORENA,ÉRIKA LISSETTE PATIÑO MARTÍNEZ,
11,11,NA_Gto,MARÍA LUISA CORTÉS VARGAS,
11,11,PES,JAIRO JAVIER MONTERO HUICHAPEÑO,
11,11,RSP,MARÍA DE LA CRUZ MATA MEDINA,
11,11,FXM,IMELDA PATIÑO ARREOLA,
11,11,PRI_PRD,CARLOS ALBERTO DURÁN RIVERA,
11,11,CAND_IND_1,ARMANDO ALVARADO ARÉVALO,
11,12,PAN,MOISÉS FELIPE MUÑOZ CORTEZ,
11,12,PRI,MAURICIO ARCE CANCHOLA,
11,12,PRD,MAURICIO ARCE CANCHOLA,
