municipality,uniqueid,section,year,month,PRI,PAN,PRD,PT,PVEM,Partido_Democrata,PSN,PC,PAS,PCDT,PJS,total,valid,listanominal,STATE,turnout,PRI_PVEM,PT_PCDT_PJS,PCDT_PJS,PT_PCDT,PT_PJS,PAN_PAC,PANAL,PS,PRI_PVEM_PS,PAN_PANAL,PRI_PST,PRD_PT_PC,PRD_PC,PRD_PT,PT_PC,PST,PAC,PP,PLT,PPT,type,MC,no registrados,PAC_PS,PT_PAC,CASILLA,MORENA,PES,PRI_PANAL,PRI_PVEM_PANAL_PS,CI_1,CI_2,CI_3,PRI_PANAL_PS,PRI_PS,CI_4,PRI_PT,PRI_PVEM_PANAL,PVEM_PS,PEST,PISS,RSP,FXM,CI_5,CI_6,CI_7,CI_8,CI_9,CI_10,CI_11,CI_12,CI_13,CI_14,CI_15,CI_16,CI_17,CI_18,CI_19,CI_20,CI_21,CI_22,CI_23,CI_24,CI_25,CI_26,CI_27,CI_28,CI_29,CI_30,CI_31,CI_32,CI_33,CI_34,CI_35,no_reg,nulos,PAN_PRI,MORENA_RSP_PANAL,MORENA_PANAL,MORENA_RSP,RSP_PANAL
ATLTZAYANCA,29004,72,2001,November,53,83,31,19,0,0,0,18,0,0,1,236,205,385,TLAXCALA,0.612987012987013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATLTZAYANCA,29004,73,2001,November,11,36,11,43,0,0,0,1,0,2,1,109,105,144,TLAXCALA,0.756944444444445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATLTZAYANCA,29004,74,2001,November,77,133,50,40,0,0,0,43,0,1,1,358,345,620,TLAXCALA,0.57741935483871,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATLTZAYANCA,29004,75,2001,November,18,45,56,13,0,0,0,20,0,0,1,163,153,242,TLAXCALA,0.673553719008265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATLTZAYANCA,29004,76,2001,November,6,44,47,6,0,0,0,1,0,0,0,112,104,154,TLAXCALA,0.727272727272727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATLTZAYANCA,29004,77,2001,November,194,262,44,6,0,0,0,14,0,13,0,561,533,867,TLAXCALA,0.647058823529412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMAXAC DE GUERRERO,29001,1,2001,November,66,110,229,34,0,0,0,6,0,0,0,455,445,639,TLAXCALA,0.712050078247261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMAXAC DE GUERRERO,29001,2,2001,November,375,388,414,36,0,0,0,62,0,0,0,1304,1275,1972,TLAXCALA,0.661257606490872,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMAXAC DE GUERRERO,29001,3,2001,November,302,418,420,85,0,0,0,35,0,0,0,1275,1260,2012,TLAXCALA,0.633697813121272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMAXAC DE GUERRERO,29001,4,2001,November,20,103,99,31,0,0,0,0,0,0,0,260,253,357,TLAXCALA,0.728291316526611,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
