CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,CABECERA_DISTRITAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,NVA_ALIANZA,MORENA,PH,ES,CAND_IND1,CAND_IND2,CAND_IND3,CAND_IND4,CAND_IND5,CAND_IND6,PRD_NVA_ALIANZA,PRD_PT,PRI_PVEM_NVA_ALIANZA,PRI_PVEM,PRI_NVA_ALIANZA,PVEM_NVA_ALIANZA,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
1,27,TABASCO,1,TENOSIQUE,1,BALANCAN,1,4,225,252,681,32,5,274,15,23,0,3,,,,,,,10,,,,,,0,1520,37,1557,2482
1,27,TABASCO,1,TENOSIQUE,1,BALANCAN,2,3,155,224,467,35,2,188,10,17,4,4,,,,,,,11,,,,,,0,1117,34,1151,1813
1,27,TABASCO,1,TENOSIQUE,1,BALANCAN,3,2,98,118,283,34,1,141,3,17,1,1,,,,,,,4,,,,,,0,701,18,719,1118
1,27,TABASCO,1,TENOSIQUE,1,BALANCAN,4,2,66,141,251,14,1,157,11,15,1,4,,,,,,,8,,,,,,0,669,4,673,1042
1,27,TABASCO,1,TENOSIQUE,1,BALANCAN,5,3,140,239,457,23,3,143,15,17,1,4,,,,,,,6,,,,,,0,1048,20,1068,1600
1,27,TABASCO,1,TENOSIQUE,1,BALANCAN,6,2,67,140,262,13,1,55,1,16,0,3,,,,,,,1,,,,,,0,559,8,567,715
1,27,TABASCO,1,TENOSIQUE,1,BALANCAN,7,2,112,173,362,10,5,143,9,12,2,5,,,,,,,3,,,,,,0,836,16,852,1175
1,27,TABASCO,1,TENOSIQUE,1,BALANCAN,8,2,127,144,263,18,3,91,6,3,2,0,,,,,,,0,,,,,,0,657,23,680,989
1,27,TABASCO,1,TENOSIQUE,1,BALANCAN,9,2,185,205,312,23,1,82,3,5,1,0,,,,,,,2,,,,,,0,819,27,846,1244
1,27,TABASCO,1,TENOSIQUE,1,BALANCAN,10,1,48,37,54,5,0,15,0,2,0,0,,,,,,,0,,,,,,0,161,5,166,210
1,27,TABASCO,1,TENOSIQUE,1,BALANCAN,11,1,38,98,169,6,2,14,2,21,0,0,,,,,,,2,,,,,,0,352,3,355,515
1,27,TABASCO,1,TENOSIQUE,1,BALANCAN,12,1,177,75,115,16,2,57,2,10,1,0,,,,,,,2,,,,,,0,457,14,471,598
1,27,TABASCO,1,TENOSIQUE,1,BALANCAN,13,2,58,104,297,1,1,189,2,6,0,1,,,,,,,4,,,,,,0,663,16,679,1011
1,27,TABASCO,1,TENOSIQUE,1,BALANCAN,14,1,22,69,247,6,1,137,2,18,0,2,,,,,,,0,,,,,,0,504,6,510,747
1,27,TABASCO,1,TENOSIQUE,1,BALANCAN,15,1,56,59,282,8,0,118,4,1,1,4,,,,,,,3,,,,,,0,536,8,544,739
1,27,TABASCO,1,TENOSIQUE,1,BALANCAN,16,1,39,72,210,5,5,110,2,9,2,1,,,,,,,5,,,,,,0,460,12,472,690
1,27,TABASCO,1,TENOSIQUE,1,BALANCAN,17,2,51,109,306,4,5,68,7,8,2,0,,,,,,,3,,,,,,0,563,22,585,794
1,27,TABASCO,1,TENOSIQUE,1,BALANCAN,18,2,234,152,237,14,6,50,2,14,0,0,,,,,,,7,,,,,,0,716,25,741,996
1,27,TABASCO,1,TENOSIQUE,1,BALANCAN,19,1,33,21,70,1,1,9,2,4,0,0,,,,,,,4,,,,,,0,145,5,150,234
1,27,TABASCO,1,TENOSIQUE,1,BALANCAN,20,1,76,71,207,10,4,92,2,5,3,0,,,,,,,3,,,,,,0,473,7,480,625
1,27,TABASCO,1,TENOSIQUE,1,BALANCAN,21,1,37,36,72,7,0,11,15,1,0,0,,,,,,,2,,,,,,0,181,7,188,273
1,27,TABASCO,1,TENOSIQUE,1,BALANCAN,22,2,101,127,209,4,5,91,4,9,1,0,,,,,,,1,,,,,,0,552,12,564,805
1,27,TABASCO,1,TENOSIQUE,1,BALANCAN,23,2,187,106,243,25,3,81,2,8,1,0,,,,,,,3,,,,,,0,659,16,675,882
1,27,TABASCO,1,TENOSIQUE,1,BALANCAN,24,3,338,262,475,32,5,103,2,2,5,0,,,,,,,2,,,,,,0,1226,41,1267,1696
1,27,TABASCO,1,TENOSIQUE,1,BALANCAN,25,1,241,96,182,4,3,36,0,11,0,0,,,,,,,2,,,,,,0,575,8,583,746
1,27,TABASCO,1,TENOSIQUE,1,BALANCAN,27,1,65,86,140,5,2,50,3,8,0,0,,,,,,,0,,,,,,0,359,11,370,524
1,27,TABASCO,1,TENOSIQUE,1,BALANCAN,28,2,126,108,178,9,0,78,1,3,1,1,,,,,,,0,,,,,,0,505,11,516,806
1,27,TABASCO,1,TENOSIQUE,1,BALANCAN,29,1,109,24,193,0,24,53,0,15,0,0,,,,,,,0,,,,,,0,418,15,433,578
1,27,TABASCO,1,TENOSIQUE,1,BALANCAN,30,2,213,124,294,22,5,58,5,6,2,1,,,,,,,7,,,,,,0,737,28,765,1022
1,27,TABASCO,1,TENOSIQUE,1,BALANCAN,31,1,24,33,52,0,1,6,0,1,0,0,,,,,,,0,,,,,,0,117,2,119,208
1,27,TABASCO,1,TENOSIQUE,1,BALANCAN,32,1,54,55,77,7,1,14,1,6,0,0,,,,,,,1,,,,,,0,216,12,228,320
1,27,TABASCO,1,TENOSIQUE,1,BALANCAN,33,1,88,36,116,1,1,16,2,2,0,0,,,,,,,1,,,,,,0,263,0,263,359
1,27,TABASCO,1,TENOSIQUE,1,BALANCAN,34,1,97,30,92,5,0,34,0,0,0,0,,,,,,,1,,,,,,0,259,8,267,391
1,27,TABASCO,1,TENOSIQUE,1,BALANCAN,35,2,100,201,381,25,1,157,1,22,3,0,,,,,,,0,,,,,,0,891,25,916,1190
1,27,TABASCO,1,TENOSIQUE,1,BALANCAN,36,1,55,98,219,6,0,92,3,3,4,2,,,,,,,0,,,,,,0,482,6,488,641
1,27,TABASCO,1,TENOSIQUE,1,BALANCAN,37,2,220,134,426,11,0,163,9,15,5,0,,,,,,,5,,,,,,0,988,13,1001,1257
1,27,TABASCO,1,TENOSIQUE,1,BALANCAN,38,2,159,81,231,50,2,70,2,5,1,0,,,,,,,4,,,,,,0,605,8,613,769
1,27,TABASCO,1,TENOSIQUE,1,BALANCAN,39,2,169,95,225,10,6,41,2,1,0,0,,,,,,,3,,,,,,0,552,9,561,832
1,27,TABASCO,1,TENOSIQUE,1,BALANCAN,40,2,99,172,209,67,4,21,3,2,0,0,,,,,,,3,,,,,,0,580,9,589,794
1,27,TABASCO,1,TENOSIQUE,1,BALANCAN,41,2,231,98,262,45,5,32,2,4,0,0,,,,,,,3,,,,,,0,682,23,705,925
1,27,TABASCO,1,TENOSIQUE,1,BALANCAN,42,3,273,229,503,43,4,126,8,5,1,0,,,,,,,8,,,,,,0,1200,11,1211,1568
1,27,TABASCO,1,TENOSIQUE,1,BALANCAN,43,2,199,111,200,114,0,70,1,9,0,0,,,,,,,2,,,,,,0,706,16,722,1049
1,27,TABASCO,1,TENOSIQUE,1,BALANCAN,44,3,319,126,224,38,1,60,0,0,0,1,,,,,,,1,,,,,,0,770,16,786,1090
1,27,TABASCO,1,TENOSIQUE,1,BALANCAN,45,2,238,114,197,29,1,101,5,14,3,2,,,,,,,2,,,,,,0,706,21,727,1063
2,27,TABASCO,2,CARDENAS,2,CARDENAS,46,2,16,187,148,99,99,11,5,27,2,5,26,,,,,,0,,,,,,0,625,8,633,1226
2,27,TABASCO,2,CARDENAS,2,CARDENAS,47,7,35,638,797,247,323,22,12,128,11,24,120,,,,,,1,,,,,,364,2358,59,2781,5148
2,27,TABASCO,2,CARDENAS,2,CARDENAS,48,3,14,148,238,21,91,18,4,55,5,8,157,,,,,,0,,,,,,0,759,15,774,1615
2,27,TABASCO,2,CARDENAS,2,CARDENAS,49,2,13,134,138,44,47,8,0,25,9,5,65,,,,,,0,,,,,,2,488,15,505,994
2,27,TABASCO,2,CARDENAS,2,CARDENAS,50,3,37,203,180,43,119,12,5,54,6,4,122,,,,,,2,,,,,,1,787,15,803,1617
2,27,TABASCO,2,CARDENAS,2,CARDENAS,51,3,27,224,171,44,70,10,9,58,3,6,47,,,,,,0,,,,,,0,669,19,688,1503
2,27,TABASCO,2,CARDENAS,2,CARDENAS,52,2,21,208,193,38,111,12,7,69,1,2,34,,,,,,2,,,,,,0,698,7,705,1338
2,27,TABASCO,2,CARDENAS,2,CARDENAS,53,3,29,282,272,57,125,15,5,95,3,8,83,,,,,,0,,,,,,0,974,27,1001,1952
2,27,TABASCO,2,CARDENAS,2,CARDENAS,54,2,22,169,140,41,75,21,5,40,10,6,16,,,,,,1,,,,,,0,546,12,558,1287
2,27,TABASCO,2,CARDENAS,2,CARDENAS,55,5,30,430,370,56,250,31,11,157,16,17,81,,,,,,0,,,,,,0,1449,41,1490,3402
2,27,TABASCO,2,CARDENAS,2,CARDENAS,56,2,10,152,183,23,65,10,0,33,5,8,46,,,,,,0,,,,,,0,535,11,546,1096
2,27,TABASCO,2,CARDENAS,2,CARDENAS,57,1,8,105,67,20,40,4,4,20,0,2,21,,,,,,0,,,,,,1,291,7,299,613
2,27,TABASCO,2,CARDENAS,2,CARDENAS,58,2,9,137,81,39,49,24,4,29,0,2,20,,,,,,0,,,,,,0,394,6,400,769
2,27,TABASCO,2,CARDENAS,2,CARDENAS,59,2,12,160,124,34,73,5,2,48,5,10,41,,,,,,0,,,,,,0,514,26,540,955
2,27,TABASCO,2,CARDENAS,2,CARDENAS,60,2,12,130,223,18,42,9,4,53,3,4,39,,,,,,0,,,,,,0,537,10,547,1022
2,27,TABASCO,2,CARDENAS,2,CARDENAS,61,1,7,112,62,47,15,7,3,20,0,1,19,,,,,,0,,,,,,0,293,11,304,682
2,27,TABASCO,2,CARDENAS,2,CARDENAS,62,2,15,121,154,15,60,5,3,26,2,4,33,,,,,,1,,,,,,0,439,11,450,816
2,27,TABASCO,2,CARDENAS,2,CARDENAS,63,4,34,295,276,31,239,25,16,140,8,7,93,,,,,,2,,,,,,1,1166,23,1190,2447
2,27,TABASCO,2,CARDENAS,2,CARDENAS,64,2,22,203,155,26,136,22,3,75,5,2,44,,,,,,1,,,,,,0,694,25,719,1379
2,27,TABASCO,2,CARDENAS,2,CARDENAS,65,2,16,187,110,28,125,13,5,34,4,4,34,,,,,,0,,,,,,0,560,10,570,989
2,27,TABASCO,2,CARDENAS,2,CARDENAS,66,1,12,143,54,28,70,10,3,33,1,4,20,,,,,,0,,,,,,0,378,7,385,700
2,27,TABASCO,2,CARDENAS,2,CARDENAS,67,1,16,106,66,19,40,24,2,27,0,2,17,,,,,,0,,,,,,1,319,5,325,628
2,27,TABASCO,2,CARDENAS,2,CARDENAS,68,1,10,122,119,21,39,2,5,19,1,4,18,,,,,,0,,,,,,0,360,2,362,671
2,27,TABASCO,2,CARDENAS,2,CARDENAS,69,1,6,99,83,20,49,6,1,34,4,17,20,,,,,,0,,,,,,0,339,7,346,658
2,27,TABASCO,2,CARDENAS,2,CARDENAS,70,3,91,221,280,37,115,27,10,61,5,13,45,,,,,,0,,,,,,0,905,10,915,1673
2,27,TABASCO,2,CARDENAS,2,CARDENAS,71,6,62,684,482,147,260,57,25,134,17,20,91,,,,,,0,,,,,,2,1979,50,2031,4054
2,27,TABASCO,2,CARDENAS,2,CARDENAS,72,3,21,241,245,34,130,20,7,65,2,21,51,,,,,,3,,,,,,0,840,13,853,1136
2,27,TABASCO,2,CARDENAS,2,CARDENAS,73,2,8,164,94,26,55,15,4,54,3,4,27,,,,,,0,,,,,,0,454,8,462,866
2,27,TABASCO,2,CARDENAS,2,CARDENAS,74,1,12,144,54,54,47,6,5,29,0,4,22,,,,,,1,,,,,,0,378,4,382,716
2,27,TABASCO,2,CARDENAS,2,CARDENAS,75,2,28,207,101,28,113,15,5,87,4,12,43,,,,,,1,,,,,,0,644,15,659,1280
2,27,TABASCO,2,CARDENAS,2,CARDENAS,76,2,12,148,94,22,62,7,1,30,4,0,31,,,,,,1,,,,,,0,412,12,424,812
2,27,TABASCO,2,CARDENAS,2,CARDENAS,77,2,14,220,119,18,92,9,7,46,2,8,44,,,,,,0,,,,,,0,579,8,587,1006
2,27,TABASCO,2,CARDENAS,2,CARDENAS,78,2,21,142,139,16,149,10,5,50,1,6,28,,,,,,0,,,,,,0,567,13,580,1001
2,27,TABASCO,2,CARDENAS,2,CARDENAS,79,2,18,220,153,30,67,22,4,55,6,6,40,,,,,,1,,,,,,0,622,5,627,1046
2,27,TABASCO,2,CARDENAS,2,CARDENAS,80,1,10,100,84,18,48,9,8,28,3,1,25,,,,,,0,,,,,,0,334,9,343,734
2,27,TABASCO,2,CARDENAS,2,CARDENAS,81,3,12,191,172,33,69,24,3,66,1,2,45,,,,,,0,,,,,,0,618,15,633,1992
2,27,TABASCO,2,CARDENAS,2,CARDENAS,82,2,22,177,204,17,66,15,4,62,6,2,18,,,,,,0,,,,,,0,593,16,609,1100
2,27,TABASCO,2,CARDENAS,2,CARDENAS,83,2,50,239,149,44,88,21,11,64,3,1,42,,,,,,0,,,,,,0,712,14,726,1246
2,27,TABASCO,2,CARDENAS,2,CARDENAS,84,3,36,259,175,24,87,25,4,113,5,6,38,,,,,,0,,,,,,1,772,12,785,1536
2,27,TABASCO,2,CARDENAS,2,CARDENAS,85,2,20,214,148,42,106,26,4,71,7,2,36,,,,,,2,,,,,,0,678,24,702,1347
2,27,TABASCO,2,CARDENAS,2,CARDENAS,86,5,41,513,357,111,184,81,10,135,5,9,149,,,,,,0,,,,,,2,1595,23,1620,3225
2,27,TABASCO,2,CARDENAS,2,CARDENAS,87,3,23,289,290,55,116,62,9,90,0,10,44,,,,,,1,,,,,,0,989,19,1008,2143
2,27,TABASCO,2,CARDENAS,2,CARDENAS,88,3,43,259,221,36,121,34,13,142,5,8,68,,,,,,0,,,,,,0,950,28,978,1903
2,27,TABASCO,2,CARDENAS,2,CARDENAS,89,3,19,248,355,29,64,77,7,76,2,6,49,,,,,,0,,,,,,0,932,29,961,2050
2,27,TABASCO,3,CARDENAS,2,CARDENAS,90,2,10,243,337,7,130,3,4,121,2,13,5,,,,,,1,,,,,,0,876,12,888,1200
2,27,TABASCO,3,CARDENAS,2,CARDENAS,91,2,3,130,188,38,386,1,0,6,1,5,37,,,,,,0,,,,,,0,795,45,840,1178
2,27,TABASCO,3,CARDENAS,2,CARDENAS,92,3,38,317,244,8,176,4,6,126,8,3,16,,,,,,0,,,,,,0,946,20,966,1544
2,27,TABASCO,3,CARDENAS,2,CARDENAS,93,3,52,320,216,5,73,1,16,70,4,3,20,,,,,,0,,,,,,0,780,7,787,1171
2,27,TABASCO,3,CARDENAS,2,CARDENAS,94,2,17,262,113,2,68,9,4,30,14,0,15,,,,,,0,,,,,,0,534,9,543,862
2,27,TABASCO,3,CARDENAS,2,CARDENAS,95,2,32,273,237,5,178,16,3,45,46,2,19,,,,,,0,,,,,,0,856,13,869,1357
2,27,TABASCO,3,CARDENAS,2,CARDENAS,96,1,5,103,72,4,147,2,2,0,2,9,104,,,,,,0,,,,,,0,450,15,465,731
