CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,CABECERA_DISTRITAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLA,PAN,PRI,PRD,PVEM,PT,MC,NVA_ALIANZA,MORENA,PH,ES,CAND_IND1,CAND_IND2,CAND_IND3,CAND_IND4,CAND_IND5,CAND_IND6,PRD_NVA_ALIANZA,PRD_PT,PRI_PVEM_NVA_ALIANZA,PRI_PVEM,PRI_NVA_ALIANZA,PVEM_NVA_ALIANZA,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,ESTATUS_ACTA,TEPJF,OBSERVACIONES,RUTA_ACTA
1,27,TABASCO,1,TENOSIQUE,1,BALANCAN,1,B,57,62,171,4,0,76,4,8,0,0,,,,,,,0,,,,,,0,382,8,390,621,Acta casilla,,,http://iepct.mx/resultados/2015/municipal/balancan/0001_BA.jpg
1,27,TABASCO,1,TENOSIQUE,1,BALANCAN,1,C01,54,68,170,7,0,54,2,4,0,1,,,,,,,4,,,,,,0,364,6,370,621,Acta casilla,,,http://iepct.mx/resultados/2015/municipal/balancan/0001_C1.jpg
1,27,TABASCO,1,TENOSIQUE,1,BALANCAN,1,C02,53,69,182,12,4,53,0,7,0,1,,,,,,,4,,,,,,0,385,10,395,620,Acta casilla,,,http://iepct.mx/resultados/2015/municipal/balancan/0001_C2.jpg
1,27,TABASCO,1,TENOSIQUE,1,BALANCAN,1,C03,61,53,158,9,1,91,9,4,0,1,,,,,,,2,,,,,,0,389,13,402,620,Acta casilla,,,http://iepct.mx/resultados/2015/municipal/balancan/0001_C3.jpg
1,27,TABASCO,1,TENOSIQUE,1,BALANCAN,2,B,53,75,143,12,0,60,3,5,1,1,,,,,,,5,,,,,,0,358,16,374,605,Acta casilla,,,http://iepct.mx/resultados/2015/municipal/balancan/0002_BA.jpg
1,27,TABASCO,1,TENOSIQUE,1,BALANCAN,2,C01,55,73,173,7,1,63,5,3,1,2,,,,,,,2,,,,,,0,385,10,395,604,Acta casilla,,,http://iepct.mx/resultados/2015/municipal/balancan/0002_C1.jpg
1,27,TABASCO,1,TENOSIQUE,1,BALANCAN,2,C02,47,76,151,16,1,65,2,9,2,1,,,,,,,4,,,,,,0,374,8,382,604,Acta casilla,,,http://iepct.mx/resultados/2015/municipal/balancan/0002_C2.jpg
1,27,TABASCO,1,TENOSIQUE,1,BALANCAN,3,B,52,60,135,21,0,74,1,7,1,1,,,,,,,0,,,,,,0,352,9,361,559,Acta casilla,,,http://iepct.mx/resultados/2015/municipal/balancan/0003_BA.jpg
1,27,TABASCO,1,TENOSIQUE,1,BALANCAN,3,C01,46,58,148,13,1,67,2,10,0,0,,,,,,,4,,,,,,0,349,9,358,559,Acta casilla,,,http://iepct.mx/resultados/2015/municipal/balancan/0003_C1.jpg
1,27,TABASCO,1,TENOSIQUE,1,BALANCAN,4,B,38,71,114,6,0,81,3,8,0,1,,,,,,,6,,,,,,0,328,1,329,521,Acta casilla,,,http://iepct.mx/resultados/2015/municipal/balancan/0004_BA.jpg
