id_entidad_electoral,fecha_jornada,id_cargo,nombre_cargo,id_estado,id_distrito,id_casilla,tipo_casilla,descripcion,ext_contigua,id_municipio,nombre_municipio,lista_nominal,estatus_casilla,descripcion,resultados_obtenidos,tipo_urna,descripcion,seccion,PAN,PRI,PRD,PT,PVEM,PC,PANAL,PAS,Alianza Guerrero,PRI-PVEM,PT-PC,Nulos,Total
12,5/10/2008,12,Ayuntamientos,12,0,1,B,Basica,0,1,ACAPULCO DE JUAREZ,541,RC,Recuento llevado a cabo en la sede de los Consejos respectivos,P,T,Urna tradicional,4,1,0,85,0,0,0,6,0,0,52,64,7,215
12,5/10/2008,12,Ayuntamientos,12,0,1,B,Basica,0,1,ACAPULCO DE JUAREZ,528,RC,Recuento llevado a cabo en la sede de los Consejos respectivos,P,T,Urna tradicional,8,2,0,75,0,0,0,4,2,0,33,68,1,185
12,5/10/2008,12,Ayuntamientos,12,0,1,C,Contigua,0,1,ACAPULCO DE JUAREZ,528,RC,Recuento llevado a cabo en la sede de los Consejos respectivos,P,T,Urna tradicional,8,4,0,96,0,0,0,3,2,0,47,49,6,207
12,5/10/2008,12,Ayuntamientos,12,0,1,C,Contigua,0,1,ACAPULCO DE JUAREZ,503,RC,Recuento llevado a cabo en la sede de los Consejos respectivos,P,T,Urna tradicional,9,0,0,83,0,0,0,4,0,2,49,72,10,220
12,5/10/2008,12,Ayuntamientos,12,0,1,B,Basica,0,1,ACAPULCO DE JUAREZ,611,RC,Recuento llevado a cabo en la sede de los Consejos respectivos,P,T,Urna tradicional,27,4,0,68,0,0,0,2,0,0,62,80,9,225
12,5/10/2008,12,Ayuntamientos,12,0,1,B,Basica,0,1,ACAPULCO DE JUAREZ,503,RC,Recuento llevado a cabo en la sede de los Consejos respectivos,P,T,Urna tradicional,18,1,0,104,0,0,0,1,3,0,88,108,13,318
12,5/10/2008,12,Ayuntamientos,12,0,1,C,Contigua,0,1,ACAPULCO DE JUAREZ,676,RC,Recuento llevado a cabo en la sede de los Consejos respectivos,P,T,Urna tradicional,19,3,0,94,0,0,0,13,1,0,58,74,5,248
12,5/10/2008,12,Ayuntamientos,12,0,1,B,Basica,0,1,ACAPULCO DE JUAREZ,513,RC,Recuento llevado a cabo en la sede de los Consejos respectivos,P,T,Urna tradicional,21,5,0,68,0,0,0,2,0,0,44,48,5,172
12,5/10/2008,12,Ayuntamientos,12,0,1,B,Basica,0,1,ACAPULCO DE JUAREZ,499,RC,Recuento llevado a cabo en la sede de los Consejos respectivos,P,T,Urna tradicional,82,4,0,52,0,0,0,0,0,0,102,64,2,224
12,5/10/2008,12,Ayuntamientos,12,0,1,B,Basica,0,1,ACAPULCO DE JUAREZ,606,RC,Recuento llevado a cabo en la sede de los Consejos respectivos,P,T,Urna tradicional,30,0,0,93,0,0,0,4,1,2,86,59,4,249
12,5/10/2008,12,Ayuntamientos,12,0,1,C,Contigua,0,1,ACAPULCO DE JUAREZ,715,RC,Recuento llevado a cabo en la sede de los Consejos respectivos,P,T,Urna tradicional,38,3,0,48,0,0,0,1,1,2,98,138,0,291
