ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,NVA_ALIANZA,MORENA,PH,ES,PRI_PVEM,CAND_IND1,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,PARTICIPACION
14,JALISCO,1,ACATIC,11,24,3584,1079,1315,1427,47,558,152,56,53,232,134,0,2,8637,310,8949,15978,0.5601
14,JALISCO,2,ACATLÁN DE JUÁREZ,11,27,1935,2389,121,1056,99,3957,265,539,80,85,5,,4,10531,226,10761,17367,0.6196
14,JALISCO,3,AHUALULCO DE MERCADO,12,29,2248,3544,534,216,47,2638,1842,200,43,51,6,0,0,11369,219,11588,17285,0.6704
14,JALISCO,4,AMACUECA,4,9,686,1052,617,90,15,102,100,39,5,8,13,,0,2727,81,2808,4519,0.6214
14,JALISCO,5,AMATITÁN,8,19,751,1835,1527,425,45,1547,82,407,399,38,139,,0,7195,183,7378,10884,0.6779
14,JALISCO,6,AMECA,43,86,2799,7489,1099,746,1274,4794,1985,1046,759,817,465,,7,23273,1074,24354,47814,0.5093
14,JALISCO,8,ARANDAS,30,83,7978,11361,111,1082,153,2187,650,304,854,3428,500,,5,28608,1074,29687,52235,0.5683
14,JALISCO,10,ATEMAJAC DE BRIZUELA,5,8,1742,1294,98,28,11,228,33,17,10,4,3,,0,3468,97,3565,4530,0.7870
14,JALISCO,11,ATENGO,6,10,1190,1538,7,41,1,244,25,54,8,4,8,,1,3120,59,3180,4572,0.6955
14,JALISCO,12,ATENGUILLO,5,8,172,990,4,16,20,1225,23,4,3,4,20,,1,2481,55,2537,3592,0.7063
14,JALISCO,13,ATOTONILCO EL ALTO,27,74,5406,10792,331,2257,328,3280,428,422,109,189,295,,6,23837,793,24636,45675,0.5394
14,JALISCO,14,ATOYAC,6,14,1642,1535,56,362,96,568,102,22,8,15,16,,3,4422,122,4547,7056,0.6444
14,JALISCO,15,AUTLÁN DE NAVARRO,30,78,5961,6106,2565,506,344,4992,905,633,532,257,185,,8,22986,712,23706,47653,0.4975
