CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,CABECERA_DISTRITAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLA,PAN,PRI,PRD,PVEM,PT,MC,NVA_ALIANZA,MORENA,PH,ES,PRI_PVEM,CAND_IND1,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,ESTATUS_ACTA,TEPJF,OBSERVACIONES,RUTA_ACTA
1,14,JALISCO,3,TEPATITLÁN DE MORELOS,1,ACATIC,1,B,142,61,55,77,2,22,4,4,4,5,13,,0,389,0,389,709,Acta Casilla,Anulada,JIN-036/2015,http://prep2015.iepcjalisco.org.mx/
1,14,JALISCO,3,TEPATITLÁN DE MORELOS,1,ACATIC,1,C01,149,52,79,77,2,19,7,5,2,7,14,,0,413,13,426,709,Acta Casilla,,,http://prep2015.iepcjalisco.org.mx/
1,14,JALISCO,3,TEPATITLÁN DE MORELOS,1,ACATIC,2,B,116,32,67,73,3,11,9,0,1,10,8,,0,330,19,349,620,Acta Casilla,,,http://prep2015.iepcjalisco.org.mx/
1,14,JALISCO,3,TEPATITLÁN DE MORELOS,1,ACATIC,2,C01,128,41,57,66,1,4,4,1,2,9,7,,0,320,26,346,620,Acta Casilla,,,http://prep2015.iepcjalisco.org.mx/
1,14,JALISCO,3,TEPATITLÁN DE MORELOS,1,ACATIC,3,B,461,65,91,49,0,17,5,2,1,5,6,,0,702,14,716,736,Acta Casilla,,,http://prep2015.iepcjalisco.org.mx/
1,14,JALISCO,3,TEPATITLÁN DE MORELOS,1,ACATIC,3,C01,167,47,83,62,0,22,5,2,0,0,9,,0,397,16,413,736,Acta Casilla,,,http://prep2015.iepcjalisco.org.mx/
1,14,JALISCO,3,TEPATITLÁN DE MORELOS,1,ACATIC,3,C02,161,47,91,59,1,23,12,3,4,15,3,,0,419,15,434,736,Acta Casilla,,,http://prep2015.iepcjalisco.org.mx/
1,14,JALISCO,3,TEPATITLÁN DE MORELOS,1,ACATIC,4,B,169,30,94,54,7,54,4,1,2,12,5,,0,432,20,452,803,Acta Casilla,,,http://prep2015.iepcjalisco.org.mx/
1,14,JALISCO,3,TEPATITLÁN DE MORELOS,1,ACATIC,4,C01,177,40,81,50,3,24,8,1,4,8,2,,0,398,8,406,695,Acta Casilla,,,http://prep2015.iepcjalisco.org.mx/
1,14,JALISCO,3,TEPATITLÁN DE MORELOS,1,ACATIC,4,C02,164,39,76,52,4,29,7,3,0,12,2,,0,388,15,403,694,Acta Casilla,,,http://prep2015.iepcjalisco.org.mx/
1,14,JALISCO,3,TEPATITLÁN DE MORELOS,1,ACATIC,5,B,156,37,49,70,1,22,0,1,2,9,8,,1,355,13,369,616,Acta Casilla,,,http://prep2015.iepcjalisco.org.mx/
1,14,JALISCO,3,TEPATITLÁN DE MORELOS,1,ACATIC,5,C01,117,52,42,62,1,14,9,5,0,4,2,,0,308,11,319,616,Acta Casilla,,,http://prep2015.iepcjalisco.org.mx/
1,14,JALISCO,3,TEPATITLÁN DE MORELOS,1,ACATIC,5,C02,135,47,47,67,2,12,8,3,4,10,7,,0,342,15,357,615,Acta Casilla,,,http://prep2015.iepcjalisco.org.mx/
1,14,JALISCO,3,TEPATITLÁN DE MORELOS,1,ACATIC,5,C03,130,44,39,76,1,12,18,5,3,10,6,,1,344,10,355,615,Acta Casilla,,,http://prep2015.iepcjalisco.org.mx/
1,14,JALISCO,3,TEPATITLÁN DE MORELOS,1,ACATIC,6,B,149,46,51,110,4,21,3,2,2,11,10,,0,409,11,420,713,Acta Casilla,,,http://prep2015.iepcjalisco.org.mx/
1,14,JALISCO,3,TEPATITLÁN DE MORELOS,1,ACATIC,6,C01,173,61,48,91,1,17,6,2,2,7,7,,0,415,12,427,712,Acta Casilla,,,http://prep2015.iepcjalisco.org.mx/
1,14,JALISCO,3,TEPATITLÁN DE MORELOS,1,ACATIC,7,B,175,72,93,77,2,16,6,3,3,4,2,,0,453,16,469,754,Acta Casilla,,,http://prep2015.iepcjalisco.org.mx/
