CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,CABECERA_DISTRITAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,PAN,PRI,PRD,PT,PVEM,MC,NVA_ALIANZA,PAS,MORENA,ES,C_COMUN_PRI_NVA_ALIANZA,C_COMUN_MC_PAS,CAND_IND21,CAND_IND22,CAND_IND23,CAND_IND24,CAND_IND25,CAND_IND26,CAND_IND27,CAND_IND28,CAND_IND29,CAND_IND30,CAND_IND31,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
1,25,SINALOA,1,EL FUERTE,7,CHOIX,1726,2,390,205,24,2,,11,19,13,0,,0,1,,,,,,,,,,,,0,665,15,680,1131
1,25,SINALOA,1,EL FUERTE,7,CHOIX,1727,2,255,225,20,1,,26,24,16,1,,0,0,,,,,,,,,,,,1,568,14,583,872
1,25,SINALOA,1,EL FUERTE,7,CHOIX,1728,1,157,101,35,0,,5,19,9,0,,1,0,,,,,,,,,,,,0,327,6,333,533
1,25,SINALOA,1,EL FUERTE,7,CHOIX,1729,2,275,262,18,0,,8,32,27,1,,1,0,,,,,,,,,,,,0,624,11,635,730
1,25,SINALOA,1,EL FUERTE,7,CHOIX,1730,1,242,158,12,0,,24,5,4,0,,0,0,,,,,,,,,,,,0,445,0,445,640
1,25,SINALOA,1,EL FUERTE,7,CHOIX,1731,1,136,103,7,1,,1,6,7,0,,0,0,,,,,,,,,,,,0,261,1,262,349
1,25,SINALOA,1,EL FUERTE,7,CHOIX,1732,1,69,30,2,0,,1,2,1,0,,1,0,,,,,,,,,,,,0,106,1,107,140
1,25,SINALOA,1,EL FUERTE,7,CHOIX,1733,2,510,337,36,2,,12,20,13,1,,1,0,,,,,,,,,,,,0,932,13,945,1350
1,25,SINALOA,1,EL FUERTE,7,CHOIX,1734,1,141,104,11,1,,3,11,11,0,,0,0,,,,,,,,,,,,0,282,3,285,470
1,25,SINALOA,1,EL FUERTE,7,CHOIX,1735,2,381,301,14,1,,8,20,9,0,,0,0,,,,,,,,,,,,0,734,17,751,1076
