ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,CABECERA_DISTRITAL,SECCIONES,CASILLAS,PAN,PRI,PRD,PT,PVEM,MC,NVA_ALIANZA,MORENA,ES,PRI_PT_PVEM_NVA_ALIANZA,CAND_IND2,CAND_IND3,CAND_IND4,CAND_IND5,CAND_IND6,CAND_IND7,CAND_IND8,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,PARTICIPACION
1,AGUASCALIENTES,1,RINCON DE ROMOS,26,74,8036,,951,,,1778,,1034,2277,10475,,,,,,,,19,24551,1041,25611,46287,0.5533
1,AGUASCALIENTES,2,EL LLANO,25,77,9410,,2183,,,117,,624,593,16810,,,,,,,,17,30337,988,31342,46299,0.6769
1,AGUASCALIENTES,3,PABELLON DE ARTEAGA,27,72,8797,,6689,,,603,,675,722,10609,,,,,,,,28,28095,1004,29127,43691,0.6667
1,AGUASCALIENTES,4,SAN FRANCISCO DE LOS ROMO,16,77,10350,,857,,,579,,1393,1097,11065,,,,,,,,76,25341,875,26292,51633,0.5092
1,AGUASCALIENTES,5,AGUASCALIENTES,18,70,8275,,913,,,364,,1270,435,6980,,,,,,1950,,36,20187,793,21016,46255,0.4544
1,AGUASCALIENTES,6,AGUASCALIENTES,37,96,16676,,911,,,1890,,1679,832,8258,,,,,,,,116,30246,1577,31939,55381,0.5767
1,AGUASCALIENTES,7,JESUS MARIA,16,75,10464,8621,387,364,464,332,630,824,450,,,877,,,,,,19,23413,718,24150,49193,0.4909
1,AGUASCALIENTES,8,CALVILLO,38,85,14364,,2200,,,716,,840,452,9629,,,,,,,,18,28201,866,29085,50515,0.5758
1,AGUASCALIENTES,9,AGUASCALIENTES,37,90,9394,,1920,,,372,,1349,809,9312,,,,,,,,58,23156,951,24165,52294,0.4621
1,AGUASCALIENTES,10,AGUASCALIENTES,43,95,13296,,881,,,553,,1438,556,8706,2094,,,,,,,71,27524,1141,28736,54026,0.5319
1,AGUASCALIENTES,11,AGUASCALIENTES,72,112,14188,,1413,,,756,,2044,958,10500,,,,,,,,101,29859,1471,31431,57291,0.5486
1,AGUASCALIENTES,12,AGUASCALIENTES,16,68,5996,,1179,,,591,,,866,7975,,,,,,,,29,16607,554,17190,44877,0.3830
1,AGUASCALIENTES,13,AGUASCALIENTES,33,88,8460,,727,,,522,,1173,427,7931,,,402,673,1927,,,58,22242,889,23189,48844,0.4748
1,AGUASCALIENTES,14,AGUASCALIENTES,32,84,11170,,1174,,,1186,,727,2121,9076,,,,,,,,119,25480,1201,26800,51918,0.5162
1,AGUASCALIENTES,15,AGUASCALIENTES,41,90,8195,,1289,,,1161,,507,1962,8661,,,,,,,,76,21775,1009,22860,49606,0.4608
1,AGUASCALIENTES,16,AGUASCALIENTES,36,75,6780,,1300,,,796,,,1319,7280,,,,,,,,30,17475,748,18253,41517,0.4397
1,AGUASCALIENTES,17,AGUASCALIENTES,63,109,13867,,1051,,,645,,1621,660,8538,,,,,,,2423,82,28805,1225,30112,55892,0.5388
1,AGUASCALIENTES,18,AGUASCALIENTES,24,80,9174,,929,,,701,,1441,897,8078,,,,,,,,99,21220,1091,22410,48117,0.4657
