ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,CABECERA_DISTRITAL,SECCIONES,CASILLAS,PAN,PRI,PRD,PT,PVEM,MC,NVA_ALIANZA,MORENA,ES,PRI_PT_PVEM_NVA_ALIANZA,PRI_PT_PVEM,PRI_PT_NVA_ALIANZA,PRI_PVEM_NVA_ALIANZA,PT_PVEM_NVA_ALIANZA,PRI_PT,PRI_PVEM,PRI_NVA_ALIANZA,PT_PVEM,PT_NVA_ALIANZA,PVEM_NVA_ALIANZA,CAND_IND2,CAND_IND3,CAND_IND4,CAND_IND5,CAND_IND6,CAND_IND7,CAND_IND8,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,PARTICIPACION
1,AGUASCALIENTES,1,RINCON DE ROMOS,26,74,8036,6505,951,549,1762,1778,1427,1034,2277,25,12,28,31,2,21,40,60,4,0,9,,,,,,,,19,24551,1041,25611,46287,0.5533
1,AGUASCALIENTES,2,EL LLANO,25,77,9410,6298,2183,2196,910,717,6962,624,593,57,8,53,39,5,71,28,146,5,7,25,,,,,,,,17,30337,988,31342,46299,0.6769
1,AGUASCALIENTES,3,PABELLON DE ARTEAGA,27,72,8797,3636,6689,802,3038,603,2912,675,722,16,7,21,11,1,18,49,66,6,5,21,,,,,,,,28,28095,1004,29127,43691,0.6667
1,AGUASCALIENTES,4,SAN FRANCISCO DE LOS ROMO,16,77,10350,7823,857,325,1313,579,1483,1393,1097,7,6,3,12,1,21,50,14,2,0,5,,,,,,,,76,25341,875,26292,51633,0.5092
1,AGUASCALIENTES,5,AGUASCALIENTES,18,70,8275,5799,913,233,406,364,472,1270,435,23,5,7,7,4,8,11,3,2,0,0,,,,,,1950,,36,20187,793,21016,46255,0.4544
1,AGUASCALIENTES,6,AGUASCALIENTES,37,96,16676,6593,911,190,746,1890,632,1679,832,19,5,4,15,1,8,26,14,1,0,4,,,,,,,,116,30246,1577,31939,55381,0.5767
1,AGUASCALIENTES,7,JESUS MARIA,16,75,10464,8621,387,364,464,332,630,824,450,,,,,,,,,,,,,877,,,,,,19,23413,718,24150,49193,0.4909
1,AGUASCALIENTES,8,CALVILLO,38,85,14364,6455,2200,1382,754,716,878,840,452,24,13,12,4,3,61,23,14,2,2,2,,,,,,,,18,28201,866,29085,50515,0.5758
1,AGUASCALIENTES,9,AGUASCALIENTES,37,90,9394,7690,1920,307,573,372,558,1349,809,39,8,9,24,1,28,45,20,3,0,7,,,,,,,,58,23156,951,24165,52294,0.4621
1,AGUASCALIENTES,10,AGUASCALIENTES,43,95,13296,6255,881,208,523,553,1554,1438,556,28,4,4,26,7,15,18,49,4,1,10,2094,,,,,,,71,27524,1141,28736,54026,0.5319
1,AGUASCALIENTES,11,AGUASCALIENTES,72,112,14188,7663,1413,275,760,756,1625,2044,958,53,7,15,21,2,8,30,34,0,1,6,,,,,,,,101,29859,1471,31431,57291,0.5486
1,AGUASCALIENTES,12,AGUASCALIENTES,16,68,5996,6592,1179,312,449,591,528,,866,24,6,2,12,1,19,22,6,1,1,0,,,,,,,,29,16607,554,17190,44877,0.383
1,AGUASCALIENTES,13,AGUASCALIENTES,33,88,8460,6535,727,191,532,522,592,1173,427,12,6,2,16,2,8,20,10,1,0,4,,,402,673,1927,,,58,22242,889,23189,48844,0.4748
1,AGUASCALIENTES,14,AGUASCALIENTES,32,84,11167,7213,1174,341,603,727,850,2121,1186,28,4,4,11,1,17,16,10,1,2,4,,,,,,,,119,25480,1201,26800,51918,0.5162
1,AGUASCALIENTES,15,AGUASCALIENTES,41,90,8195,6387,1289,324,600,507,1186,1962,1161,34,9,8,36,4,10,27,29,2,3,2,,,,,,,,76,21775,1009,22860,49606,0.4608
1,AGUASCALIENTES,16,AGUASCALIENTES,36,75,6780,5137,1300,348,643,796,1055,,1319,19,0,5,22,0,7,16,21,0,1,6,,,,,,,,30,17475,748,18253,41517,0.4397
1,AGUASCALIENTES,17,AGUASCALIENTES,63,109,13867,7125,1051,229,528,645,552,1621,660,28,7,3,10,1,15,24,13,3,0,,,,,,,,2423,82,28805,1225,30112,55892,0.5388
1,AGUASCALIENTES,18,AGUASCALIENTES,24,80,9174,6250,929,522,640,701,532,1441,897,23,18,6,11,1,38,21,9,1,1,5,,,,,,,,99,21220,1091,22410,48117,0.4657
