ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,CABECERA_DISTRITAL,SECCIONES,CASILLAS,PAN,PRI,PRD,PT,PVEM,MC,NVA_ALIANZA,MORENA,PH,ES,CAND_IND6,PRI_PVEM,CC_PRD_PT_PH_ES,CC_PRD_PT_PH,CC_PRD_PT_ES,CC_PT_PH_ES,CC_PRD_PT,CC_PRD_ES,CC_PRD_NVA_ALIANZA,CC_PT_ES,CC_PAN_PT,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,PARTICIPACION
16,MICHOACAN,1,LA PIEDAD,147,279,19077,30582,16008,949,1321,377,1228,5373,447,397,0,394,615,0,0,0,0,0,0,0,0,31,76768,2794,79593,151585,0.5251
16,MICHOACAN,2,PURUÁNDIRO,127,239,7784,19875,25485,6690,1745,0,3570,1951,0,1258,0,483,0,0,0,0,0,0,0,0,0,70,68841,3583,72494,129623,0.5593
16,MICHOACAN,3,MARAVATÍO,98,230,12337,18245,22586,1711,1773,7353,3909,1842,876,1014,0,308,0,0,0,0,541,0,0,0,0,44,72495,3516,76055,128194,0.5933
16,MICHOACAN,4,JIQUILPAN,158,295,22552,27516,19758,2127,7112,3637,1689,3293,0,456,0,682,0,0,547,0,0,0,0,0,0,30,89369,2866,92265,152023,0.6069
16,MICHOACAN,5,JACONA,126,276,13502,23013,15631,2419,4670,6189,2000,3158,770,5109,0,919,0,477,0,0,0,0,0,0,0,43,77857,3404,81304,152751,0.5323
16,MICHOACAN,6,ZAMORA,96,238,14154,13064,7073,5582,2640,3453,1473,4261,1186,1470,0,468,0,0,0,59,0,0,0,0,0,107,54883,2894,57884,136998,0.4225
16,MICHOACAN,7,ZACAPU,141,247,12459,16857,22136,3397,3496,7021,2787,5217,0,638,0,116,0,0,251,0,0,0,0,0,0,96,74375,4494,78965,134399,0.5875
16,MICHOACAN,8,ZINAPÉCUARO,141,307,14211,24931,21193,11477,4538,6076,1896,4733,0,1944,0,638,0,0,0,0,768,0,0,0,0,89,92405,4850,97344,172940,0.5629
16,MICHOACAN,9,LOS REYES,110,234,16319,17069,16992,4278,6487,3181,747,1657,0,516,0,584,0,0,846,0,0,0,0,0,0,53,68676,2977,71706,128280,0.559
16,MICHOACAN,10,MORELIA NOROESTE,74,239,11716,16595,11398,2187,5084,2243,1459,4112,2054,2709,0,0,0,0,0,0,379,0,0,0,0,182,59936,5563,65681,146552,0.4482
16,MICHOACAN,11,MORELIA NORESTE,93,211,14107,12942,8821,3102,3579,2067,1149,3767,1806,2173,0,677,0,0,0,0,0,0,0,111,0,145,54301,4643,59089,122027,0.4842
16,MICHOACAN,12,HIDALGO,126,251,4597,8732,13466,2356,1948,464,2814,546,0,400,0,0,0,0,0,0,0,0,636,0,0,14,35959,1733,37706,138010,0.2732
16,MICHOACAN,13,ZITÁCUARO,99,225,13130,16989,15997,6642,4701,2301,2901,3409,1942,1313,0,899,0,0,0,0,1253,0,0,0,0,63,71477,4106,75646,129045,0.5862
16,MICHOACAN,14,URUAPAN NORTE,91,218,11105,13425,20611,1065,2146,1347,1978,3083,2458,650,0,156,0,0,0,0,339,0,0,0,0,57,58363,3227,61647,123219,0.5003
16,MICHOACAN,15,PÁTZCUARO,114,272,16164,22874,28711,2016,5874,3678,1476,4410,0,1752,0,411,0,0,0,0,594,0,0,0,0,151,87960,6064,94175,157008,0.5998
16,MICHOACAN,16,MORELIA SUROESTE,89,265,19673,17499,11124,2034,3607,4319,1544,5357,2643,2948,0,0,0,0,0,0,393,0,0,0,0,260,71141,6706,78107,163797,0.4769
16,MICHOACAN,17,MORELIA SURESTE,93,221,22279,14829,8343,2412,2813,2742,1285,4077,2252,2050,0,737,0,0,0,0,0,0,0,131,0,208,63950,6244,70402,126334,0.5573
16,MICHOACAN,18,HUETAMO,157,225,2820,23169,28049,4060,2252,3697,851,1297,218,290,0,228,0,0,0,0,0,8,0,0,0,13,66939,2577,69529,106125,0.6552
16,MICHOACAN,19,TACÁMBARO,119,220,16056,23352,19397,981,3421,0,1853,1856,0,623,0,531,0,0,839,0,0,0,0,0,0,29,68909,3512,72450,119683,0.6053
16,MICHOACAN,20,URUAPAN SUR,95,266,19776,19942,18788,1727,2931,1426,1841,3131,2360,798,0,387,0,0,842,0,0,0,0,0,0,89,73949,3434,77472,157879,0.4907
16,MICHOACAN,21,COALCOMÁN DE VÁZQUEZ PALLARES,102,191,8148,14348,20975,1583,4346,0,1814,2096,1855,135,0,351,529,0,0,0,0,0,0,0,0,26,56180,1857,58063,103152,0.5629
16,MICHOACAN,22,MÚGICA,108,214,2797,30197,28902,710,596,1503,843,1871,0,146,0,382,0,0,0,0,0,8,0,0,67,25,68022,2101,70148,109325,0.6416
16,MICHOACAN,23,APATZINGÁN,96,199,10284,13760,11552,3658,1354,1850,754,5849,0,2937,0,257,0,0,0,0,0,0,0,0,0,46,52255,2298,54599,105278,0.5186
16,MICHOACAN,24,LÁZARO CÁRDENAS,65,216,6848,17624,15463,903,1293,0,1472,4362,733,1129,2076,183,0,0,0,0,157,0,0,0,0,68,52243,2125,54436,130581,0.4169
