ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,PAN,PRI,PRD,PT,PVEM,MC,NVA_ALIANZA,MORENA,PH,ES,CAND_IND6,PRI_PVEM,CC_PRD_PT_PH_ES,CC_PRD_PT_PH,CC_PRD_PT_ES,CC_PT_PH_ES,CC_PRD_PT,CC_PRD_ES,CC_PRD_NVA_ALIANZA,CC_PT_ES,CC_PAN_PT,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,PARTICIPACION
16,MICHOACAN,93,TIQUICHEO DE NICOLÁS ROMERO,11,18,193,1995,2544,43,1359,16,36,47,13,2,0,16,0,0,0,0,0,1,0,0,0,1,6265,240,6506,9915,0.6562
16,MICHOACAN,94,TLALPUJAHUA,15,36,1322,2420,3827,742,229,1143,1636,337,482,223,0,63,0,0,0,0,38,0,0,0,0,0,12462,552,13014,18989,0.6853
16,MICHOACAN,95,TLAZAZALCA,12,13,298,1600,1559,29,24,11,19,220,0,13,0,8,0,0,5,0,0,0,0,0,0,1,3786,83,3870,7569,0.5113
16,MICHOACAN,96,TOCUMBO,12,18,768,1014,1068,556,982,250,50,40,0,158,0,9,0,0,11,0,0,0,0,0,0,1,4906,228,5135,8668,0.5924
16,MICHOACAN,97,TUMBISCATÍO,7,11,42,1301,1263,14,51,1155,7,11,0,0,0,22,0,0,0,0,0,0,0,0,0,1,3866,75,3942,5803,0.6793
16,MICHOACAN,98,TURICATO,36,49,1730,6107,5961,125,127,0,119,384,0,38,0,144,0,0,429,0,0,0,0,0,0,4,15164,555,15723,23784,0.6611
16,MICHOACAN,99,TÚXPAN,17,34,447,1324,2515,198,219,307,389,39,0,4,0,0,0,0,0,0,0,0,97,0,0,2,5539,302,5843,18365,0.3182
16,MICHOACAN,100,TUZANTLA,20,27,734,3631,4246,37,56,44,51,60,22,15,0,20,0,0,0,0,0,0,0,0,0,2,8916,256,9174,12649,0.7253
16,MICHOACAN,101,TZINTZUNTZAN,9,18,655,1688,2349,108,154,756,62,864,0,57,0,34,0,0,0,0,35,0,0,0,0,19,6762,409,7190,10456,0.6876
16,MICHOACAN,102,TZITZIO,15,20,586,1797,615,41,430,91,73,517,22,9,0,16,0,0,0,0,0,0,0,0,0,6,4197,213,4416,7401,0.5967
16,MICHOACAN,103,URUAPAN,142,379,25342,21618,24293,2398,4508,2272,3244,5050,3727,1308,0,432,0,0,692,0,247,0,0,0,0,144,95131,5278,100553,222836,0.4512
16,MICHOACAN,104,VENUSTIANO CARRANZA,22,37,3311,2846,4701,39,122,295,338,273,0,23,0,54,0,0,40,0,0,0,0,0,0,1,12042,255,12298,18139,0.678
16,MICHOACAN,105,VILLAMAR,18,34,1285,2525,2118,248,112,29,760,241,40,15,0,64,0,26,0,0,0,0,0,0,0,1,7463,399,7863,15335,0.5127
16,MICHOACAN,106,VISTA HERMOSA,13,26,655,2317,1899,68,1939,172,118,1174,0,27,0,12,0,0,11,0,0,0,0,0,0,1,8392,289,8682,14275,0.6082
16,MICHOACAN,107,YURÉCUARO,19,38,1281,3506,2856,158,198,93,150,3598,106,52,0,55,69,0,0,0,0,0,0,0,0,16,12122,770,12908,21084,0.6122
16,MICHOACAN,108,ZACAPU,47,96,5680,5808,5579,1482,1451,4894,783,2083,0,361,0,46,0,0,83,0,0,0,0,0,0,51,28250,2036,30337,55807,0.5436
16,MICHOACAN,109,ZAMORA,96,238,14154,13064,7073,5582,2640,3453,1473,4261,1186,1470,0,468,0,0,0,59,0,0,0,0,0,107,54883,2894,57884,136998,0.4225
16,MICHOACAN,110,ZINÁPARO,7,7,345,877,779,14,8,1,1,23,3,3,0,3,7,0,0,0,0,0,0,0,0,0,2064,50,2114,3459,0.6112
16,MICHOACAN,111,ZINAPÉCUARO,32,67,2067,6058,4495,208,1896,1287,549,1434,0,504,0,178,0,0,0,0,92,0,0,0,0,10,18768,1112,19890,36982,0.5378
16,MICHOACAN,112,ZIRACUARETIRO,8,19,1290,2507,2854,60,114,25,116,386,107,24,0,17,0,0,73,0,0,0,0,0,0,1,7573,216,7790,11095,0.7021
16,MICHOACAN,113,ZITÁCUARO,82,188,11410,13002,14597,2449,1479,2199,2740,3059,1755,1263,0,840,0,0,0,0,1144,0,0,0,0,62,55937,3498,59497,107222,0.5549
