CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,CABECERA_DISTRITAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,PAN,PRI,PRD,PT,PVEM,MC,NVA_ALIANZA,MORENA,PH,ES,CAND_IND6,PRI_PVEM,CC_PRD_PT_PH_ES,CC_PRD_PT_PH,CC_PRD_PT_ES,CC_PT_PH_ES,CC_PRD_PT,CC_PRD_ES,CC_PRD_NVA_ALIANZA,CC_PT_ES,CC_PAN_PT,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
5,16,MICHOACAN,1,LA PIEDAD,28,CHURINTZIO,411,2,20,276,204,9,0,2,1,22,1,2,0,2,4,0,0,0,0,0,0,0,0,0,543,16,559,1070
5,16,MICHOACAN,1,LA PIEDAD,28,CHURINTZIO,412,2,19,243,215,11,1,0,1,22,1,0,0,0,8,0,0,0,0,0,0,0,0,0,521,11,532,925
5,16,MICHOACAN,1,LA PIEDAD,28,CHURINTZIO,413,2,14,237,224,8,4,1,1,22,0,0,0,0,6,0,0,0,0,0,0,0,0,0,517,9,526,888
5,16,MICHOACAN,1,LA PIEDAD,28,CHURINTZIO,414,3,6,247,186,3,5,1,3,38,0,0,0,0,8,0,0,0,0,0,0,0,0,0,497,8,505,910
5,16,MICHOACAN,1,LA PIEDAD,28,CHURINTZIO,416,1,6,100,108,0,2,0,2,19,1,0,0,0,2,0,0,0,0,0,0,0,0,0,240,10,250,689
5,16,MICHOACAN,1,LA PIEDAD,28,CHURINTZIO,417,1,4,80,167,1,0,0,0,15,0,0,0,1,4,0,0,0,0,0,0,0,0,0,272,3,275,615
5,16,MICHOACAN,1,LA PIEDAD,28,CHURINTZIO,418,1,6,44,137,3,2,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,197,0,197,524
5,16,MICHOACAN,1,LA PIEDAD,28,CHURINTZIO,419,1,3,53,40,1,0,0,0,1,0,0,0,1,4,0,0,0,0,0,0,0,0,0,103,2,105,287
5,16,MICHOACAN,1,LA PIEDAD,30,ECUANDUREO,433,2,276,231,38,11,5,2,3,7,1,1,0,3,1,0,0,0,0,0,0,0,0,1,579,21,601,979
5,16,MICHOACAN,1,LA PIEDAD,30,ECUANDUREO,434,2,205,190,48,8,4,4,2,6,1,0,0,2,0,0,0,0,0,0,0,0,0,0,470,23,493,797
5,16,MICHOACAN,1,LA PIEDAD,30,ECUANDUREO,435,2,233,239,34,11,6,0,2,7,2,1,0,10,0,0,0,0,0,0,0,0,0,0,545,15,560,810
5,16,MICHOACAN,1,LA PIEDAD,30,ECUANDUREO,436,2,369,348,102,7,10,4,5,12,0,6,0,4,4,0,0,0,0,0,0,0,0,0,871,16,887,1376
5,16,MICHOACAN,1,LA PIEDAD,30,ECUANDUREO,437,2,178,169,69,7,1,2,2,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,431,10,441,791
5,16,MICHOACAN,1,LA PIEDAD,30,ECUANDUREO,438,2,176,293,45,4,7,0,5,4,3,2,0,0,0,0,0,0,0,0,0,0,0,0,539,18,557,984
5,16,MICHOACAN,1,LA PIEDAD,30,ECUANDUREO,439,3,322,657,61,4,10,1,4,2,0,2,0,8,1,0,0,0,0,0,0,0,0,0,1072,18,1090,1785
5,16,MICHOACAN,1,LA PIEDAD,30,ECUANDUREO,440,2,196,268,29,4,12,0,3,4,1,0,0,2,1,0,0,0,0,0,0,0,0,1,520,8,529,940
5,16,MICHOACAN,1,LA PIEDAD,30,ECUANDUREO,441,1,66,238,25,2,6,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,339,9,348,669
