CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,TIPO_CASILLA,ID_CASILLA,EXT_CONTIGUA,CASILLA,PAN,PRI,PRD,PVEM,PT,MC,NA,MORENA,ES,PSD,HUMANISTA,C_COMUN_PAN_MC,PRD_PSD,PT_MORENA_ES,PT_MORENA,PT_ES,MORENA_ES,C_COMUN_PRD_PVEM_PSD,PRD_PVEM,PRD_PSD,PVEM_PSD,C_COMUN_PT_MORENA_ES,PT_MORENA,PT_ES,MORENA_ES,CAND_IND1,CAND_IND2,CAND_IND3,CAND_IND4,CAND_IND5,CAND_IND6,CAND_IND7,CAND_IND8,CAND_IND9,CAND_IND10,CAND_IND11,CAND_IND12,CAND_IND13,CAND_IND14,CAND_IND15,CAND_IND16,CAND_IND17,CAND_IND18,CAND_IND19,CAND_IND20,CAND_IND21,CAND_IND22,CAND_IND23,CAND_IND24,CAND_IND25,CAND_IND26,CAND_IND27,CAND_IND28,CAND_IND29,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,ESTATUS_ACTA,TRIBUNAL,OBSERVACIONES,RUTA_ACTA
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,189,B,1,0,B,44,19,17,8,8,11,11,88,7,13,2,1,,0,0,0,0,0,0,1,0,,,,,,,,,,,,38,3,27,,,,,,,,,,,,,,,,,,,,298,0,9,307,521,Acta casilla,,,
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,189,C,2,0,C02,65,15,31,17,13,10,5,76,16,14,5,1,,0,0,0,3,1,1,0,0,,,,,,,,,,,,21,9,22,,,,,,,,,,,,,,,,,,,,325,0,13,338,520,Acta del consejo,,,
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,189,C,1,0,C01,55,26,23,10,9,11,6,82,11,4,4,0,,3,1,0,0,1,0,1,0,,,,,,,,,,,,37,6,28,,,,,,,,,,,,,,,,,,,,318,0,10,328,520,Acta casilla,,,
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,190,B,1,0,B,79,28,28,19,9,9,7,118,18,9,2,6,,3,1,0,4,0,2,2,0,,,,,,,,,,,,49,14,24,,,,,,,,,,,,,,,,,,,,431,0,26,457,735,Acta casilla,,,
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,190,C,1,0,C01,84,26,21,17,9,16,12,120,14,16,6,2,,7,1,0,0,2,2,3,1,,,,,,,,,,,,50,11,27,,,,,,,,,,,,,,,,,,,,447,0,17,464,734,Acta casilla,,,
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,190,C,2,0,C02,92,16,17,18,15,9,15,121,14,23,6,6,,2,4,0,4,0,0,0,0,,,,,,,,,,,,52,10,37,,,,,,,,,,,,,,,,,,,,461,0,17,478,734,Acta casilla,,,
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,190,C,3,0,C03,86,19,27,24,15,10,12,107,15,20,6,3,,6,3,0,0,2,0,0,1,,,,,,,,,,,,46,12,26,,,,,,,,,,,,,,,,,,,,440,2,18,460,734,Acta casilla,,,
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,191,B,1,0,B,108,20,19,15,18,4,6,110,11,16,4,4,,5,0,0,2,0,1,0,1,,,,,,,,,,,,44,8,30,,,,,,,,,,,,,,,,,,,,426,2,14,442,684,Acta casilla,,,
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,191,C,2,0,C02,90,21,26,17,12,11,5,103,13,18,4,4,,0,0,1,6,1,0,2,0,,,,,,,,,,,,43,7,30,,,,,,,,,,,,,,,,,,,,414,0,23,437,683,Acta casilla,,,
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,191,C,1,0,C01,90,16,26,11,20,7,10,104,16,13,2,1,,5,0,1,1,2,0,0,0,,,,,,,,,,,,41,8,38,,,,,,,,,,,,,,,,,,,,412,0,16,428,684,Acta casilla,,,
