ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,NA,MORENA,ES,PSD,HUMANISTA,C_COMUN_PAN_MC,PRD_PSD,PT_MORENA_ES,C_COMUN_PRD_PVEM_PSD,C_COMUN_PT_MORENA_ES,CAND_IND1,CAND_IND2,CAND_IND3,CAND_IND4,CAND_IND5,CAND_IND6,CAND_IND7,CAND_IND8,CAND_IND9,CAND_IND10,CAND_IND11,CAND_IND12,CAND_IND13,CAND_IND14,CAND_IND15,CAND_IND16,CAND_IND17,CAND_IND18,CAND_IND19,CAND_IND20,CAND_IND21,CAND_IND22,CAND_IND23,CAND_IND24,CAND_IND25,CAND_IND26,CAND_IND27,CAND_IND28,CAND_IND29,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
17,MORELOS,1,AMACUZAC,11,23,,1110,,1340,,,41,,,,68,607,164,4565,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7895,2,428,8325,13369,
17,MORELOS,2,ATLATLAHUCAN,12,28,,307,,288,,,236,,,,2489,2251,471,2795,,,254,1644,913,,,,,,,,,,,,,,,,,,,,,,,,,,,11648,5,330,11983,16998,
17,MORELOS,3,AXOCHIAPAN,20,45,2367,2326,,156,,2249,893,,,,2312,,2461,2699,,,,,,2063,,,,,,,,,,,,,,,,,,,,,,,,,,17526,1,479,18006,25912,
17,MORELOS,4,AYALA,42,104,,6761,,354,,,9090,,,,458,2997,3503,8957,,,,,,,5727,,,,,,,,,,,,,,,,,,,,,,,,,37847,8,1529,39384,61774,
17,MORELOS,5,COATLAN DEL RIO,11,18,,667,29,1728,,,5,,,1217,10,53,,76,,,,,,,,2322,,,,,,,,,,,,,,,,,,,,,,,,6107,1,286,6394,8246,
17,MORELOS,6,CUAUTLA,91,236,,6026,,3370,,,1735,,,,1684,22782,11209,28527,,,,,,,,,11599,,,,,,,,,,,,,,,,,,,,,,,86932,45,3178,90155,142231,
17,MORELOS,7,CUERNAVACA,205,527,,8856,,,,,4914,,,,2138,49784,,62210,25751,,,,,,,,,27431,4439,10484,,,,,,,,,,,,,,,,,,,,196007,157,7167,203331,312635,
17,MORELOS,8,EMILIANO ZAPATA,21,97,,973,,18933,,,240,,,,292,1641,4665,5631,,,,,,,,,,,,,7387,,,,,,,,,,,,,,,,,,,39762,31,1286,41079,62469,
17,MORELOS,9,HUITZILAC,11,27,,2564,,1393,,,703,,,,1707,521,247,3299,,,,,,,,,,,,,,506,,,,,,,,,,,,,,,,,,10940,2,304,11246,14751,
17,MORELOS,10,JANTETELCO,8,20,,2138,,95,,,1002,,,,2405,30,159,166,,,,,,,,,,,,,,,2255,1293,,,,,,,,,,,,,,,,9543,0,230,9773,12685,
17,MORELOS,11,JIUTEPEC,70,260,7215,6384,,,,2117,2104,,,,1378,,,49955,34702,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103855,102,2972,106929,164437,
17,MORELOS,12,JOJUTLA,36,79,,3509,,241,,,206,,,,386,2062,2346,18094,,,,,,,,,,,,,,,,,2392,480,,,,,,,,,,,,,,29716,13,643,30372,46785,
17,MORELOS,13,JONACATEPEC,11,22,,127,,169,,,672,,,,1411,1341,2185,1879,,,,,,,,,,,,,,,,,,,935,,,,,,,,,,,,,8719,0,227,8946,11879,
17,MORELOS,14,MAZATEPEC,7,15,,2969,,5,,,121,,,,405,24,92,2289,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5905,0,128,6033,8015,
17,MORELOS,15,MIACATLAN,14,35,43,2232,,37,,92,69,,,,107,,6117,4483,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13180,4,471,13655,20101,
17,MORELOS,16,OCUITUCO,10,22,,20,,3443,,,1132,,,,2560,1055,1823,375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10408,0,224,10632,13010,
17,MORELOS,17,PUENTE DE IXTLA,32,80,,3953,,150,,,554,,,,276,307,7924,14986,,,,,,,,,,,,,,,,,,,,1654,1297,377,,,,,,,,,,31478,4,886,32368,48691,
17,MORELOS,18,TEMIXCO,42,139,,6686,,3499,,,708,,,,1112,5007,9866,21056,,,,,,,,,,,,,,,,,,,,,,,1803,,,,,,,,,49737,30,1923,51690,86373,
17,MORELOS,19,TEPALCINGO,16,36,,1324,,5217,,,561,,,,2644,986,1939,933,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13604,7,426,14037,20210,
17,MORELOS,20,TEPOZTLAN,19,52,,1102,,381,,,1066,,,,43,3557,4206,8693,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19048,12,520,19580,29119,
17,MORELOS,21,TETECALA,6,13,,2287,,2,,,6,,,,5,2326,18,333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4977,9,144,5130,6324,
17,MORELOS,22,TETELA DEL VOLCAN,8,22,,232,2622,43,,,2521,,,17,15,66,,5285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10801,2,282,11085,14454,
17,MORELOS,23,TLALNEPANTLA,4,9,,41,,,,,1815,,,,1195,26,,,238,440,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3755,0,171,3926,5027,
17,MORELOS,24,TLALTIZAPAN DE ZAPATA,27,67,,4721,,368,,,96,,,,4258,3466,6463,4509,,,,,,,,,,,,,,,,,,,,,,,,191,,,,,,,,24072,4,751,24827,37694,
17,MORELOS,25,TLAQUILTENANGO,26,53,,2496,,1838,,,2896,,,,1065,1266,1512,4507,,,,,,,,,,,,,,,,,,,,,,,,,315,,,,,,,15895,0,435,16330,24975,
