ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,PAN,PRI,PRD,PT,PVEM,PCP,MC,NVA_ALIANZA,MORENA,PH,ES,CAND_IND1,CAND_IND2,CAND_IND3,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,PARTICIPACION
24,SAN LUIS POTOSI,37,TAMAZUNCHALE,59,120,13450,7209,1406,486,4346,,,7738,2243,263,,,,,4,37145,2083,39228,67102,0.5846
24,SAN LUIS POTOSI,38,TAMPACAN,16,24,756,2470,3350,1199,209,485,,235,133,39,,,,,0,8876,202,9078,11183,0.8118
24,SAN LUIS POTOSI,39,TAMPAMOLON CORONA,16,20,503,893,1251,678,134,935,357,1536,120,,,,,,0,6407,251,6658,9636,0.691
24,SAN LUIS POTOSI,40,TAMUIN,35,53,2799,4437,1633,230,456,929,2289,423,164,968,20,,,,6,14354,419,14773,25286,0.5842
24,SAN LUIS POTOSI,41,TANLAJAS,16,25,1361,1516,2441,169,214,163,102,899,2582,,,,,,0,9447,309,9756,12603,0.7741
24,SAN LUIS POTOSI,42,TANQUIAN DE ESCOBEDO,11,19,2219,3408,177,92,,,,1581,,,,,,,1,7478,153,7631,9799,0.7788
24,SAN LUIS POTOSI,43,TIERRA NUEVA,10,14,648,2015,,,363,641,449,159,43,,,,,,3,4321,175,4496,7132,0.6304
24,SAN LUIS POTOSI,44,VANEGAS,13,14,854,361,1128,,546,,,730,,,,,,,0,3619,94,3713,5314,0.6987
24,SAN LUIS POTOSI,45,VENADO,20,25,1780,1026,1743,443,2145,,,109,94,50,21,,,,2,7413,262,7675,10375,0.7398
24,SAN LUIS POTOSI,46,VILLA DE ARISTA,13,22,1722,2678,587,,138,83,1873,,248,111,,,,,0,7440,222,7662,10730,0.7141
