ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,PAN,PRI,PRD,PT,PVEM,PCP,MC,NVA_ALIANZA,MORENA,PH,ES,PAN_PRD_PT,PAN_PRD_PT_MC,PAN_PRD_PT_PVEM_MC_NVA_ALIANZA,PAN_PT,PAN_PT_MC,PAN_PVEM_NVA_ALIANZA,PAN_PCP,PAN_MC,PRI_PVEM,PRI_NVA_ALIANZA,PRI_PVEM_NVA_ALIANZA,PRD_PT,PRD_PCP,PRD_MC,PRD_PVEM_PCP,PRD_PT_PCP,PRD_PCP_MC,PRD_PT_MC,PRD_PT_NVA_ALIANZA,PRD_PT_PCP_MC,PRD_PT_MC_NVA_ALIANZA,PT_MC,PVEM_MC,PVEM_NVA_ALIANZA,PCP_NVA_ALIANZA,PCP_MC_NVA_ALIANZA,MC_NVA_ALIANZA,CAND_IND1,CAND_IND2,CAND_IND3,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,PARTICIPACION
24,SAN LUIS POTOSI,1,AHUALULCO,14,27,2547,1399,2376,336,154,972,51,98,32,,,,,,,,,,258,315,,,,,,,,,,688,,,,,,,,,,,,1,9227,239,9466,13632,0.6944
24,SAN LUIS POTOSI,2,ALAQUINES,18,19,1838,1622,,120,,,,214,80,,,,,,212,,,,,,181,,,,,,,,,,,,,,,,,,,,,1,4268,96,4364,6125,0.7125
24,SAN LUIS POTOSI,3,AQUISMON,26,58,8579,9481,747,90,155,,827,86,,,,900,,,,,,,,,,1023,,,,,,,,,,,,,,,,,,,,7,21895,875,22770,29628,0.7685
24,SAN LUIS POTOSI,4,ARMADILLO DE LOS INFANTE,11,11,679,1505,,,64,,,50,124,,,,,,,,,,,,,256,,,,,,,,,,,,,,,,,,,,0,2678,87,2765,3721,0.7431
24,SAN LUIS POTOSI,5,CARDENAS,20,29,4288,2539,129,220,105,133,223,191,206,,,,,,,245,,,,,,188,,28,,,,,,,,,,,,,,,161,,,0,8656,177,8833,14703,0.6008
24,SAN LUIS POTOSI,6,CATORCE,18,20,2299,1944,,235,56,119,,,59,,,,,,145,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4857,126,4983,6691,0.7447
24,SAN LUIS POTOSI,7,CEDRAL,17,28,2831,3107,,,361,,,860,110,,44,,,,,,,,,405,,,,,,,,,,,,,,,,,,,,,,1,7719,153,7872,13154,0.5984
24,SAN LUIS POTOSI,8,CERRITOS,26,39,3258,2120,255,487,2366,588,,132,,497,25,,,,,,,,,,102,,,,,,,,,,,,,,,,,,,,,3,9833,218,10051,16907,0.5945
24,SAN LUIS POTOSI,9,CERRO DE SAN PEDRO,6,9,748,1041,146,,381,71,13,79,44,,,,,,,,,17,,,91,,,,3,,,,,,,,,,,,,,,,,7,2641,69,2710,3466,0.0199
24,SAN LUIS POTOSI,10,CIUDAD DEL MAIZ,30,49,4708,5377,902,858,131,192,,172,23,,,,,,,,,,,,,831,,,,,340,,,,,,,,,,,,,257,,1,13792,286,14078,22682,0.6207
