ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,PAN_UDC_PPC_ES,PRI_PVEM_NVA_ALIANZA_PSI_PJ_PRC_PCP,PRD,PT,MORENA,CAND_IND1,CAND_IND2,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,PARTICIPACION
5,COAHUILA,0,EXTRANJERO,0,1,64,16,2,2,26,18,1,0,129,1,130,0,0
5,COAHUILA,1,ABASOLO,2,2,299,420,0,2,45,5,1,0,772,11,783,1096,0.7144
5,COAHUILA,2,ACUÑA,64,173,30473,18953,2306,478,2674,3659,109,30,58652,1021,59703,112033,0.5329
5,COAHUILA,3,ALLENDE,15,32,5164,3861,80,132,694,555,12,0,10498,190,10688,19054,0.5609
5,COAHUILA,4,ARTEAGA,21,37,3101,6849,209,209,720,707,161,11,11956,497,12464,18604,0.6700
5,COAHUILA,5,CANDELA,3,4,589,625,0,0,26,35,2,0,1277,21,1298,1681,0.7722
5,COAHUILA,6,CASTAÑOS,23,40,3263,4994,1348,146,1350,1146,36,0,12283,234,12517,21467,0.5831
5,COAHUILA,7,CUATROCIENEGAS,14,23,2094,2458,261,83,255,933,13,0,6097,136,6233,10008,0.6228
5,COAHUILA,8,ESCOBEDO,4,6,317,815,243,15,212,74,1,0,1677,42,1719,2479,0.6934
5,COAHUILA,9,FRANCISCO I.MADERO,42,76,8592,12465,447,254,2625,3255,51,0,27689,529,28218,43557,0.6478
5,COAHUILA,10,FRONTERA,41,95,9184,12149,309,1217,5112,3195,168,6,31334,437,31777,60794,0.5227
5,COAHUILA,11,GRAL. CEPEDA,16,20,2603,2986,47,31,524,74,5,7,6270,136,6413,9565,0.6705
5,COAHUILA,12,GUERRERO,5,5,531,528,3,1,35,94,0,0,1192,31,1223,1797,0.6806
5,COAHUILA,13,HIDALGO,2,3,286,517,2,2,9,28,0,0,844,6,850,1160,0.7328
5,COAHUILA,14,JIMENEZ,10,15,1747,2447,100,412,209,116,4,1,5035,170,5206,8318,0.6259
5,COAHUILA,15,JUAREZ,4,4,349,454,128,3,15,26,1,0,976,18,994,1433,0.6936
5,COAHUILA,16,LAMADRID,2,3,584,501,1,3,69,96,1,0,1255,19,1274,1631,0.7811
5,COAHUILA,17,MATAMOROS,62,134,21199,23520,533,688,5406,2035,203,3,53584,902,54489,82229,0.6626
5,COAHUILA,18,MONCLOVA,124,282,32868,29802,795,1053,17068,9986,747,23,92319,1173,93515,173863,0.5379
5,COAHUILA,19,MORELOS,6,12,1815,1453,224,71,354,261,3,2,4181,70,4253,6756,0.6295
5,COAHUILA,20,MUZQUIZ,48,91,10830,12865,147,347,3404,1741,96,38,29430,645,30113,54044,0.5572
5,COAHUILA,21,NADADORES,8,12,1238,1726,19,162,213,114,2,0,3474,48,3522,5292,0.6655
5,COAHUILA,22,NAVA,15,34,4054,4198,128,118,1164,1574,30,0,11266,218,11484,20513,0.5598
5,COAHUILA,23,OCAMPO,13,19,1039,1726,59,22,1269,149,7,1,4271,124,4396,7878,0.5580
5,COAHUILA,24,PARRAS,34,65,4876,11253,248,296,1226,1680,63,5,19642,514,20161,35742,0.5641
5,COAHUILA,25,PIEDRAS NEGRAS,87,207,21449,20312,695,807,5116,13725,592,99,62696,1435,64230,128598,0.4995
5,COAHUILA,26,PROGRESO,6,6,254,1091,58,8,510,33,5,0,1959,33,1992,3017,0.6603
5,COAHUILA,27,RAMOS ARIZPE,35,100,8909,14138,974,335,3472,2107,284,7,30219,688,30914,62617,0.4937
5,COAHUILA,28,SABINAS,37,85,13941,10865,96,114,2290,2105,63,27,29474,461,29962,51028,0.5872
5,COAHUILA,29,SACRAMENTO,2,4,560,741,4,37,81,127,4,0,1554,25,1579,1984,0.7959
5,COAHUILA,30,SALTILLO,378,923,99650,126722,4876,3748,46693,22359,4667,185,308715,5839,314739,579755,0.5429
5,COAHUILA,31,SAN BUENAVENTURA,17,31,3273,4398,67,178,1824,915,30,1,10685,120,10806,18207,0.5935
5,COAHUILA,32,SAN JUAN DE SABINAS,33,63,8748,7201,62,92,3518,1318,44,1,20983,292,21276,35176,0.6048
5,COAHUILA,33,SAN PEDRO,75,133,14669,16634,729,439,2957,11202,84,3,46714,1115,47832,75444,0.6340
5,COAHUILA,34,SIERRA MOJADA,5,9,750,940,10,14,211,134,3,0,2062,67,2129,4140,0.5143
5,COAHUILA,35,TORREON,367,819,118997,104692,4348,7213,36253,16001,1988,87,289492,4181,293760,509526,0.5765
5,COAHUILA,36,VIESCA,22,30,3238,5530,362,57,525,390,7,0,10109,232,10341,15628,0.6617
5,COAHUILA,37,VILLA UNION,7,10,1032,1104,156,13,179,567,6,1,3057,116,3174,5317,0.5970
5,COAHUILA,38,ZARAGOZA,13,20,2520,2025,738,31,265,641,10,1,6230,180,6411,10695,0.5994
