ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,CABECERA_DISTRITAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,NVA_ALIANZA,MORENA,ES,PRI_PVEM_PT_NVA_ALIANZA,PRI_PVEM_PT,PRI_PVEM_NVA_ALIANZA,PRI_PT_NVA_ALIANZA,PVEM_PT_NVA_ALIANZA,PRI_PVEM,PRI_PT,PRI_NVA_ALIANZA,PVEM_PT,PVEM_NVA_ALIANZA,PT_NVA_ALIANZA,C_COMUN_PRI_NVA_ALIANZA,C_COMUN_PRI_PVEM_NVA_ALIANZA,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
8,CHIHUAHUA,1,NUEVO CASAS GRANDES,13,CASAS GRANDES,242,2,47,100,47,7,14,8,4,21,,1,0,0,0,0,0,1,0,0,0,0,,,0,250,17,267,546
8,CHIHUAHUA,1,NUEVO CASAS GRANDES,13,CASAS GRANDES,243,2,65,34,157,7,15,45,14,34,,0,0,0,0,0,0,0,0,0,1,1,,,0,373,27,400,805
8,CHIHUAHUA,1,NUEVO CASAS GRANDES,13,CASAS GRANDES,244,1,55,27,29,0,5,19,3,6,,0,0,0,0,0,1,0,1,0,0,0,,,0,146,9,155,308
8,CHIHUAHUA,1,NUEVO CASAS GRANDES,13,CASAS GRANDES,245,2,167,34,30,5,23,118,6,42,,0,0,0,0,0,0,1,0,0,0,0,,,0,426,26,452,1001
8,CHIHUAHUA,1,NUEVO CASAS GRANDES,13,CASAS GRANDES,248,1,55,70,18,3,8,20,4,10,,1,1,0,0,1,0,2,0,0,0,1,,,0,194,12,206,435
8,CHIHUAHUA,1,NUEVO CASAS GRANDES,13,CASAS GRANDES,249,1,37,25,7,2,6,10,5,7,,0,0,0,0,0,0,0,0,0,0,0,,,0,99,6,105,207
8,CHIHUAHUA,1,NUEVO CASAS GRANDES,13,CASAS GRANDES,250,1,28,11,31,1,13,8,1,6,,0,0,0,0,0,0,0,0,0,0,0,,,0,99,7,106,238
8,CHIHUAHUA,1,NUEVO CASAS GRANDES,13,CASAS GRANDES,251,2,210,37,257,2,9,79,8,22,,2,0,0,0,0,0,4,0,0,0,0,,,1,630,26,657,1019
8,CHIHUAHUA,1,NUEVO CASAS GRANDES,13,CASAS GRANDES,252,1,6,7,5,0,2,9,1,15,,0,0,0,0,0,0,0,0,0,0,0,,,0,45,1,46,110
8,CHIHUAHUA,1,NUEVO CASAS GRANDES,23,GALEANA,1042,2,25,260,,5,4,,7,168,,3,1,1,2,0,3,1,1,0,0,0,,,0,481,15,496,756
8,CHIHUAHUA,1,NUEVO CASAS GRANDES,23,GALEANA,1044,3,102,290,,5,23,,5,371,,5,0,0,0,0,0,7,0,0,0,0,,,1,808,32,841,1541
8,CHIHUAHUA,1,NUEVO CASAS GRANDES,23,GALEANA,1045,3,75,613,,15,18,,19,330,,15,0,0,0,0,4,4,2,0,0,0,,,0,1095,37,1132,1702
8,CHIHUAHUA,1,NUEVO CASAS GRANDES,25,GOMEZ FARIAS,1053,1,51,,16,,16,,,23,,,,,,,,,,,,,,148,0,254,23,277,619
8,CHIHUAHUA,1,NUEVO CASAS GRANDES,25,GOMEZ FARIAS,1054,1,54,,22,,30,,,42,,,,,,,,,,,,,,140,3,288,15,306,626
8,CHIHUAHUA,1,NUEVO CASAS GRANDES,25,GOMEZ FARIAS,1055,1,43,,37,,43,,,34,,,,,,,,,,,,,,144,0,301,21,322,664
8,CHIHUAHUA,1,NUEVO CASAS GRANDES,25,GOMEZ FARIAS,1056,1,25,,17,,14,,,14,,,,,,,,,,,,,,100,0,170,16,186,379
8,CHIHUAHUA,1,NUEVO CASAS GRANDES,25,GOMEZ FARIAS,1057,1,38,,18,,29,,,43,,,,,,,,,,,,,,163,0,291,21,312,626
8,CHIHUAHUA,1,NUEVO CASAS GRANDES,25,GOMEZ FARIAS,1058,2,70,,22,,45,,,71,,,,,,,,,,,,,,183,1,391,26,418,822
8,CHIHUAHUA,1,NUEVO CASAS GRANDES,25,GOMEZ FARIAS,1059,1,44,,26,,51,,,20,,,,,,,,,,,,,,142,0,283,17,300,655
8,CHIHUAHUA,1,NUEVO CASAS GRANDES,25,GOMEZ FARIAS,1060,1,30,,7,,10,,,5,,,,,,,,,,,,,,169,0,221,10,231,490
8,CHIHUAHUA,1,NUEVO CASAS GRANDES,25,GOMEZ FARIAS,1061,1,48,,3,,11,,,13,,,,,,,,,,,,,,140,0,215,3,218,492
8,CHIHUAHUA,1,NUEVO CASAS GRANDES,25,GOMEZ FARIAS,1062,1,23,,4,,3,,,4,,,,,,,,,,,,,,61,0,95,9,104,178
8,CHIHUAHUA,1,NUEVO CASAS GRANDES,25,GOMEZ FARIAS,1063,1,23,,10,,7,,,4,,,,,,,,,,,,,,57,0,101,14,115,224
8,CHIHUAHUA,1,NUEVO CASAS GRANDES,25,GOMEZ FARIAS,1064,1,39,,6,,2,,,4,,,,,,,,,,,,,,68,0,119,6,125,205
8,CHIHUAHUA,1,NUEVO CASAS GRANDES,25,GOMEZ FARIAS,1065,1,21,,56,,15,,,10,,,,,,,,,,,,,,156,0,258,15,273,568
8,CHIHUAHUA,1,NUEVO CASAS GRANDES,25,GOMEZ FARIAS,1066,1,15,,5,,3,,,4,,,,,,,,,,,,,,41,0,68,6,74,128
8,CHIHUAHUA,1,NUEVO CASAS GRANDES,25,GOMEZ FARIAS,1067,1,39,,23,,11,,,7,,,,,,,,,,,,,,184,0,264,17,281,609
8,CHIHUAHUA,1,NUEVO CASAS GRANDES,34,IGNACIO ZARAGOZA,1357,1,95,62,,14,11,86,5,31,,0,0,0,1,0,0,1,0,0,0,0,,,1,306,15,322,473
8,CHIHUAHUA,1,NUEVO CASAS GRANDES,34,IGNACIO ZARAGOZA,1358,2,191,121,,6,8,171,5,44,,1,1,2,0,0,1,0,1,1,0,0,,,0,553,33,586,1085
8,CHIHUAHUA,1,NUEVO CASAS GRANDES,34,IGNACIO ZARAGOZA,1359,2,250,162,,18,11,163,6,100,,2,1,0,0,0,1,1,1,0,0,0,,,0,716,22,738,1349
8,CHIHUAHUA,1,NUEVO CASAS GRANDES,34,IGNACIO ZARAGOZA,1360,1,22,44,,3,2,14,2,5,,3,0,0,0,0,1,0,2,0,0,0,,,0,98,8,106,218
8,CHIHUAHUA,1,NUEVO CASAS GRANDES,34,IGNACIO ZARAGOZA,1361,1,25,45,,1,4,18,0,8,,3,1,1,3,0,0,1,0,1,0,0,,,0,111,9,120,222
8,CHIHUAHUA,1,NUEVO CASAS GRANDES,34,IGNACIO ZARAGOZA,1362,1,59,51,,1,4,18,0,8,,3,1,1,1,3,0,1,0,1,0,0,,,0,152,9,161,275
8,CHIHUAHUA,1,NUEVO CASAS GRANDES,34,IGNACIO ZARAGOZA,1363,1,21,24,,2,3,29,2,3,,6,0,0,0,0,0,2,0,0,0,0,,,0,92,4,96,166
8,CHIHUAHUA,1,NUEVO CASAS GRANDES,34,IGNACIO ZARAGOZA,1366,1,16,20,,0,4,21,0,0,,0,0,0,0,0,0,0,0,0,0,0,,,0,61,1,62,115
8,CHIHUAHUA,1,NUEVO CASAS GRANDES,34,IGNACIO ZARAGOZA,1367,1,54,50,,7,5,70,3,11,,1,0,0,0,0,0,0,0,0,0,0,,,0,201,14,215,387
8,CHIHUAHUA,1,NUEVO CASAS GRANDES,34,IGNACIO ZARAGOZA,1368,1,128,57,,8,1,87,2,21,,1,1,0,0,0,1,1,0,0,0,0,,,0,308,29,337,592
8,CHIHUAHUA,1,NUEVO CASAS GRANDES,34,IGNACIO ZARAGOZA,1369,1,91,74,,7,7,93,4,8,,0,0,0,0,0,0,0,1,0,0,0,,,0,285,16,301,504
8,CHIHUAHUA,1,NUEVO CASAS GRANDES,34,IGNACIO ZARAGOZA,1371,1,39,19,,1,3,48,3,6,,0,0,0,0,0,0,0,0,0,0,0,,,0,119,34,153,235
8,CHIHUAHUA,1,NUEVO CASAS GRANDES,34,IGNACIO ZARAGOZA,1372,1,9,24,,4,0,17,1,10,,0,0,0,0,0,1,0,0,0,0,0,,,0,66,9,75,127
8,CHIHUAHUA,1,NUEVO CASAS GRANDES,34,IGNACIO ZARAGOZA,1374,1,68,63,,9,2,25,0,5,,5,0,0,1,0,0,0,0,1,0,1,,,0,180,18,198,349
8,CHIHUAHUA,1,NUEVO CASAS GRANDES,35,JANOS,1375,2,148,211,,6,6,201,5,3,,2,0,2,1,0,0,0,0,0,0,0,,,0,585,11,596,963
