ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,NVA_ALIANZA,MORENA,ES,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,PARTICIPACION
8,CHIHUAHUA,1,AHUMADA,15,22,939,1587,34,64,20,2511,70,,,0,5225,153,5378,8909,0.6037
8,CHIHUAHUA,2,ALDAMA,20,35,5499,2223,2171,69,55,,137,139,219,0,10512,233,10745,18678,0.5753
8,CHIHUAHUA,3,ALLENDE,13,16,2473,1078,,539,,,539,,258,1,4887,121,5009,7280,0.688
8,CHIHUAHUA,4,AQUILES SERDAN,3,17,945,1016.5,2592,,,344,1016.5,125,,9,6039,215,6263,10327,0.6065
8,CHIHUAHUA,5,ASCENSION,21,33,4128,3033,88,108,97,253,82,50,,1,7839,227,8067,17014,0.4741
8,CHIHUAHUA,6,BACHINIVA,18,18,1695,1368,169,38,19,,51,,,0,3340,148,3488,5582,0.6249
8,CHIHUAHUA,7,BALLEZA,14,24,3044,4537,46,132,53,,138,,,2,7950,407,8359,12851,0.6505
8,CHIHUAHUA,8,BATOPILAS,11,17,1211,1107.5,,,,,1107.5,,,9,3426,560,3995,8459,0.4723
8,CHIHUAHUA,9,BOCOYNA,22,42,4032,1706,136,853,173,2288,853,,1675,26,11716,817,12559,20561,0.6108
8,CHIHUAHUA,10,BUENAVENTURA,26,38,3497,5219,209,144,129,,188,64,,3,9450,233,9686,17751,0.5457
8,CHIHUAHUA,11,CAMARGO,40,71,11817,6952,898,167,164,298,577,411,321,13,21605,490,22108,37310,0.5925
8,CHIHUAHUA,12,CARICHI,16,18,1275,660.5,675,,,713,660.5,239,,0,4223,410,4633,7058,0.6564
8,CHIHUAHUA,13,CASAS GRANDES,13,22,1375,832,859,89,244,698,152,553,,3,4802,252,5057,9716,0.5205
8,CHIHUAHUA,14,CORONADO,4,5,502,236.5,,118.25,510,,118.25,8,,1,1493,26,1520,1890,0.8042
8,CHIHUAHUA,15,COYAME DEL SOTOL,3,4,835,687,,8,8,,13,8,,0,1559,13,1572,2150,0.7312
8,CHIHUAHUA,16,LA CRUZ,5,7,1087,788,51,32,21,,87,52,,0,2118,64,2182,3330,0.6553
8,CHIHUAHUA,17,CUAUHTEMOC,111,225,22219,14265,1478,1147,699,4734,1671,1724,2273,113,50210,2303,52626,121142,0.4344
8,CHIHUAHUA,18,CUSIHUIRIACHI,13,14,500,444.5,173,190,225,337,444.5,,391,3,2705,158,2866,5164,0.555
8,CHIHUAHUA,19,CHIHUAHUA,647,1205,200560,67145,5816,6147,4057,11015,9988,14137,16865,785,335730,11627,348142,651314,0.5345
8,CHIHUAHUA,20,CHINIPAS,8,15,713,2398,,15,34,,11,,,0,3171,96,3267,5146,0.6349
8,CHIHUAHUA,21,DELICIAS,109,195,22083,15096,4085,896,1198,1890,1888,2619,2172,65,51927,1582,53574,108796,0.4924
8,CHIHUAHUA,22,DR. BELISARIO DOMINGUEZ,8,8,1060,627,,23,17,,46,30,,0,1803,56,1859,3116,0.5966
8,CHIHUAHUA,23,GALEANA,3,8,202,1184,,33,58,,38,869,,1,2384,84,2469,3999,0.6174
8,CHIHUAHUA,24,SANTA ISABEL,7,9,1504,924,,33,19,,23,49,,3,2552,48,2603,4035,0.6451
8,CHIHUAHUA,25,GOMEZ FARIAS,15,16,563,948,272,474,290,,474,298,,4,3319,219,3542,7285,0.4862
8,CHIHUAHUA,26,GRAN MORELOS,13,13,821,974,20,31,15,,18,,,0,1879,52,1931,3243,0.5954
8,CHIHUAHUA,27,GUACHOCHI,43,67,4575,6835,600,404,337,752,1301,296,438,66,15538,2060,17664,33832,0.5221
8,CHIHUAHUA,28,GUADALUPE,8,12,610,1064,276,53,25,,73,229,,0,2330,70,2400,5296,0.4532
8,CHIHUAHUA,29,GUADALUPE Y CALVO,31,57,1494,8074,,370,254,408,1115,202,,5,11917,758,12680,29607,0.4283
8,CHIHUAHUA,30,GUAZAPARES,14,18,1154,1358,18,51,66,1006,35,87,,0,3775,272,4047,6758,0.5988
8,CHIHUAHUA,31,GUERRERO,68,82,5786,5852,777,220,106,128,514,269,399,9,14051,650,14710,30026,0.4899
8,CHIHUAHUA,32,HIDALGO DEL PARRAL,86,157,14262,17417,,1139,668,5059,1668,2316,3070,123,45599,2396,48118,83776,0.5744
8,CHIHUAHUA,33,HUEJOTITAN,2,2,555,479,,14,7,,6,,,0,1061,39,1100,1402,0.7846
8,CHIHUAHUA,34,IGNACIO ZARAGOZA,14,16,1068,839,,95,81,860,45,260,,1,3248,221,3470,6097,0.5691
