ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,NVA_ALIANZA,MORENA,ES,PRI_PVEM_PT_NVA_ALIANZA,PRI_PVEM_PT,PRI_PVEM_NVA_ALIANZA,PRI_PT_NVA_ALIANZA,PVEM_PT_NVA_ALIANZA,PRI_PVEM,PRI_PT,PRI_NVA_ALIANZA,PVEM_PT,PVEM_NVA_ALIANZA,PT_NVA_ALIANZA,C_COMUN_PRI_NVA_ALIANZA,C_COMUN_PRI_PVEM_NVA_ALIANZA,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,PARTICIPACION
8,CHIHUAHUA,1,AHUMADA,15,22,939,1556,34,37,10,2511,56,,,26,11,7,0,2,26,3,4,1,1,1,,,0,5225,153,5378,8909,0.6037
8,CHIHUAHUA,2,ALDAMA,20,35,5499,2192,2171,49,43,,120,139,219,33,5,14,4,0,13,5,5,0,0,1,,,0,10512,233,10745,18678,0.5753
8,CHIHUAHUA,3,ALLENDE,13,16,2473,,,,,,,,258,,,,,,,,,,,,,2156,1,4887,121,5009,7280,0.688
8,CHIHUAHUA,4,AQUILES SERDAN,3,17,945,,2592,,,344,,125,,,,,,,,,,,,,2033,,9,6039,215,6263,10327,0.6065
8,CHIHUAHUA,5,ASCENSION,21,33,4128,2989,88,71,81,253,67,50,,36,6,7,0,1,44,5,9,2,1,1,,,1,7839,227,8067,17014,0.4741
8,CHIHUAHUA,6,BACHINIVA,18,18,1695,1344,169,23,15,,37,,,13,0,28,1,0,7,3,5,0,0,0,,,0,3340,148,3488,5582,0.6249
8,CHIHUAHUA,7,BALLEZA,14,24,3044,4453,46,56,34,,81,,,62,5,98,0,2,48,5,12,2,2,0,,,2,7950,407,8359,12851,0.6505
8,CHIHUAHUA,8,BATOPILAS,11,17,1211,,,,,,,,,,,,,,,,,,,,2215,,9,3426,560,3995,8459,0.4723
8,CHIHUAHUA,9,BOCOYNA,22,42,4032,,136,,173,2288,,,1675,,,,,,,,,,,,,3412,26,11716,817,12559,20561,0.6108
8,CHIHUAHUA,10,BUENAVENTURA,26,38,3497,5178,209,113,114,,159,64,,37,2,42,2,2,17,8,4,0,1,1,,,3,9450,233,9686,17751,0.5457
8,CHIHUAHUA,11,CAMARGO,40,71,11817,6907,898,131,149,298,556,411,321,33,8,18,2,3,38,4,10,1,0,0,,,13,21605,490,22108,37310,0.5925
8,CHIHUAHUA,12,CARICHI,16,18,1275,,675,,,713,,239,,,,,,,,,,,,,1321,,0,4223,410,4633,7058,0.6564
8,CHIHUAHUA,13,CASAS GRANDES,13,22,1375,811,859,81,228,698,142,553,,15,5,4,1,2,5,13,3,2,1,4,,,3,4802,252,5057,9716,0.5205
8,CHIHUAHUA,14,CORONADO,4,5,502,,,,510,,,8,,,,,,,,,,,,,,473,1,1493,26,1520,1890,0.8042
8,CHIHUAHUA,15,COYAME DEL SOTOL,3,4,835,676,,5,3,,11,8,,7,1,1,1,0,2,9,0,0,0,0,,,0,1559,13,1572,2150,0.7312
8,CHIHUAHUA,16,LA CRUZ,5,7,1087,764,51,16,13,,69,52,,22,3,17,6,1,10,1,5,0,1,0,,,0,2118,64,2182,3330,0.6553
8,CHIHUAHUA,17,CUAUHTEMOC,111,225,22219,14152,1478,1052,664,4734,1625,1724,2273,59,15,26,10,1,121,16,21,6,9,5,,,113,50210,2303,52626,121142,0.4344
8,CHIHUAHUA,18,CUSIHUIRIACHI,13,14,500,,173,190,225,337,,,391,,,,,,,,,,,,889,,3,2705,158,2866,5164,0.555
8,CHIHUAHUA,19,CHIHUAHUA,647,1205,200560,66688,5816,5749,3855,11015,9757,14137,16865,501,57,87,22,13,411,59,77,9,23,29,,,785,335730,11627,348142,651314,0.5345
8,CHIHUAHUA,20,CHINIPAS,8,15,713,2365,,4,9,,4,,,29,2,1,1,0,8,35,0,0,0,0,,,0,3171,96,3267,5146,0.6349
8,CHIHUAHUA,21,DELICIAS,109,195,22083,14959,4085,831,1097,1890,1790,2619,2172,56,16,13,189,7,73,12,11,6,2,16,,,65,51927,1582,53574,108796,0.4924
8,CHIHUAHUA,22,DR. BELISARIO DOMINGUEZ,8,8,1060,611,,14,7,,34,30,,33,0,2,0,0,2,4,5,0,0,1,,,0,1803,56,1859,3116,0.5966
8,CHIHUAHUA,23,GALEANA,3,8,202,1163,,25,45,,31,869,,23,1,1,2,0,7,12,3,0,0,0,,,1,2384,84,2469,3999,0.6174
8,CHIHUAHUA,24,SANTA ISABEL,7,9,1504,903,,17,9,,16,49,,22,4,3,0,0,14,8,2,1,0,0,,,3,2552,48,2603,4035,0.6451
8,CHIHUAHUA,25,GOMEZ FARIAS,15,16,563,,272,,290,,,298,,,,,,,,,,,,,,1896,4,3319,219,3542,7285,0.4862
8,CHIHUAHUA,26,GRAN MORELOS,13,13,821,961,20,20,12,,12,,,10,0,13,0,0,6,2,1,0,1,0,,,0,1879,52,1931,3243,0.5954
8,CHIHUAHUA,27,GUACHOCHI,43,67,4575,6654,600,288,278,752,1187,296,438,61,21,83,20,5,115,38,92,4,13,18,,,66,15538,2060,17664,33832,0.5221
8,CHIHUAHUA,28,GUADALUPE,8,12,610,1038,276,31,14,,55,229,,43,3,17,0,0,10,1,3,0,0,0,,,0,2330,70,2400,5296,0.4532
8,CHIHUAHUA,29,GUADALUPE Y CALVO,31,57,1494,7955,,303,205,408,1035,202,,67,22,31,28,7,51,22,71,5,7,4,,,5,11917,758,12680,29607,0.4283
8,CHIHUAHUA,30,GUAZAPARES,14,18,1154,1320,18,22,49,1006,25,87,,31,5,3,1,1,39,9,2,3,0,0,,,0,3775,272,4047,6758,0.5988
8,CHIHUAHUA,31,GUERRERO,68,82,5786,5783,777,166,89,128,482,269,399,53,5,21,4,0,61,5,19,1,3,0,,,9,14051,650,14710,30026,0.4899
8,CHIHUAHUA,32,HIDALGO DEL PARRAL,86,157,14262,17275,,1029,570,5059,1576,2316,3070,214,24,33,21,10,59,41,22,8,4,6,,,123,45599,2396,48118,83776,0.5744
8,CHIHUAHUA,33,HUEJOTITAN,2,2,555,469,,8,1,,3,,,11,1,0,0,0,5,6,0,2,0,0,,,0,1061,39,1100,1402,0.7846
8,CHIHUAHUA,34,IGNACIO ZARAGOZA,14,16,1068,816,,81,65,860,33,260,,25,5,4,6,3,5,7,5,4,0,1,,,1,3248,221,3470,6097,0.5691
8,CHIHUAHUA,35,JANOS,12,18,711,1104,,34,27,1543,21,9,,12,2,3,8,0,2,8,2,0,0,0,,,0,3486,74,3560,7325,0.486
8,CHIHUAHUA,36,JIMENEZ,36,58,4606,5205,687,179,1136,1852,549,1485,,34,6,8,7,2,33,13,5,3,0,0,,,9,15810,481,16300,29522,0.5521
8,CHIHUAHUA,37,JUAREZ,1174,1935,130367,100679,8192,15081,7990,34157,23542,46030,27159,629,77,204,27,22,760,85,160,26,59,48,,,3259,395294,25827,424380,1023228,0.4147
8,CHIHUAHUA,38,JULIMES,6,9,1353,1209,,30,13,,81,48,,18,5,5,1,1,4,16,7,1,1,0,,,0,2793,87,2880,4656,0.6186
8,CHIHUAHUA,39,LOPEZ,6,8,884,725,135,29,259,,15,214,,30,17,3,3,0,4,32,3,0,0,0,,,0,2353,71,2424,3484,0.6958
8,CHIHUAHUA,40,MADERA,47,59,6175,3875,1533,142,141,,220,,,43,3,31,1,1,19,11,3,4,0,3,,,5,12205,381,12591,22370,0.5629
8,CHIHUAHUA,41,MAGUARICHI,5,5,110,566,,11,2,,19,,,23,2,0,0,0,7,11,0,0,0,0,,,0,751,26,777,1414,0.5495
8,CHIHUAHUA,42,MANUEL BENAVIDES,5,5,174,,47,91,327,,,,,,,,,,,,,,,,678,,0,1317,45,1362,1927,0.7068
8,CHIHUAHUA,43,MATACHI,7,8,858,333,,22,7,314,24,,,15,0,7,3,0,1,1,2,0,0,0,,,1,1587,67,1655,2636,0.6278
8,CHIHUAHUA,44,MATAMOROS,8,10,1302,654,,38,60,312,28,15,,35,2,1,9,1,9,5,1,1,1,3,,,16,2477,54,2547,3959,0.6433
8,CHIHUAHUA,45,MEOQUI,35,64,6105,3371,1112,197,212,2756,892,575,,42,7,10,6,1,28,3,14,3,1,1,,,878,15336,490,16704,33726,0.4953
8,CHIHUAHUA,46,MORELOS,8,11,1025,1507,858,24,38,9,18,,,16,8,8,1,1,34,13,6,0,1,1,,,0,3568,242,3810,5331,0.7147
8,CHIHUAHUA,47,MORIS,8,11,997,,,,,,,,,,,,,,,,,,,,,1371,6,2368,148,2522,4012,0.6286
8,CHIHUAHUA,48,NAMIQUIPA,44,51,2848,,1797,263,,,,162,,,,,,,,,,,,,3110,,4,8180,432,8616,18913,0.4556
8,CHIHUAHUA,49,NONOAVA,5,7,1030,914,,10,8,,10,,,38,4,5,0,1,5,17,1,0,0,0,,,0,2043,22,2065,2547,0.8108
8,CHIHUAHUA,50,NVO. CASAS GRANDES,64,90,5160,3862,8779,316,1313,506,458,545,736,41,18,9,6,3,21,30,5,4,1,8,,,8,21821,778,22607,47026,0.4807
8,CHIHUAHUA,51,OCAMPO,14,16,655,,227,1325,,273,,31,,,,,,,,,,,,,1099,,0,3610,201,3811,5813,0.6556
8,CHIHUAHUA,52,OJINAGA,26,42,5640,,92,,183,70,,92,111,,,,,,,,,,,,,4890,4,11078,608,11690,21390,0.5465
8,CHIHUAHUA,53,PRAXEDIS G. GUERRERO,9,12,801,,513,,,134,,53,,,,,,,,,,,,,,1299,3,2800,160,2963,6141,0.4825
8,CHIHUAHUA,54,RIVA PALACIO,8,15,1355,,80,,,,,19,,,,,,,,,,,,,1157,,0,2611,74,2685,7330,0.3663
8,CHIHUAHUA,55,ROSALES,16,26,3406,2576,412,41,95,,172,107,289,25,8,20,2,0,15,1,8,1,2,1,,,1,7181,221,7403,13135,0.5636
8,CHIHUAHUA,56,ROSARIO,4,4,811,,,,,,,,,,,,,,,,,,,,,767,0,1578,9,1587,2007,0.7907
8,CHIHUAHUA,57,SAN FRANCISCO DE BORJA,7,7,697,,,,25,91,,,,,,,,,,,,,,,,779,0,1592,50,1642,2358,0.6964
8,CHIHUAHUA,58,SAN FRANCISCO DE CONCHOS,5,5,652,660,382,17,19,,20,19,,9,0,6,2,0,5,2,0,0,0,0,,,0,1793,30,1823,2590,0.7039
8,CHIHUAHUA,59,SAN FRANCISCO DEL ORO,11,12,582,1137,822,17,33,128,47,,117,12,2,4,0,0,9,4,5,0,0,0,,,2,2919,84,3005,4295,0.6997
8,CHIHUAHUA,60,SANTA BARBARA,20,22,859,967,918,50,85,2110,51,135,263,9,4,1,3,0,9,1,2,1,1,0,,,4,5469,196,5669,8584,0.6604
8,CHIHUAHUA,61,SATEVO,13,13,1482,1221,,14,15,,11,,,16,3,2,1,1,13,9,2,1,0,0,,,2,2791,67,2860,4088,0.6996
8,CHIHUAHUA,62,SAUCILLO,32,45,5677,3773,1836,95,128,,486,278,,34,5,31,2,0,13,3,17,0,0,3,,,7,12381,321,12709,24234,0.5244
8,CHIHUAHUA,63,TEMOSACHIC,13,16,1681,882,,34,16,76,30,136,,19,3,2,3,0,7,7,4,0,0,1,,,0,2901,155,3056,5315,0.575
8,CHIHUAHUA,64,EL TULE,6,6,820,,,,,,,,,,,,,,,,,,,,,831,1,1651,17,1669,2210,0.7552
8,CHIHUAHUA,65,URIQUE,16,28,2677,3491,255,37,35,43,80,,,146,2,3,4,3,34,6,17,1,3,1,,,0,6838,536,7374,13291,0.5548
8,CHIHUAHUA,66,URUACHI,11,15,1236,1195,434,23,22,,31,,,20,4,31,0,6,18,6,9,0,3,1,,,0,3039,156,3195,5462,0.585
8,CHIHUAHUA,67,VALLE DE ZARAGOZA,13,15,701,1213,590,20,22,39,14,,,27,12,9,1,0,25,5,1,1,0,0,,,0,2680,107,2787,4346,0.6413
