Dtto,Cve Mpio,Municipio,Seccion,Tipo    Casilla,Contigua,Contigua Ext.,PAN,PRI,PRD,PT,PVEM,CONVERGENCIA,PANAL,PSD,PRI-PANAL,PRD-PT,PT-CONVERGENCIA,Total PRI-PANAL,Total PRD-PT,Total PT-CONVERGENCIA,NULOS,No Registrados,Total
3,1,ACATIC,1,B,0,,75,114,27,1,120,2,5,1,0,,,119,,,13,0,358
3,1,ACATIC,1,C,1,,69,101,37,0,101,3,0,0,0,,,101,,,9,3,323
3,1,ACATIC,2,B,0,,56,77,63,0,76,1,3,0,3,,,83,,,8,6,293
3,1,ACATIC,2,C,1,,71,78,50,0,85,1,0,0,0,,,78,,,10,0,295
3,1,ACATIC,3,B,0,,87,63,53,0,80,3,66,0,0,,,129,,,4,7,363
3,1,ACATIC,3,C,1,,72,68,78,2,78,2,1,0,0,,,69,,,7,0,308
3,1,ACATIC,3,C,2,,68,69,70,0,69,2,71,0,0,,,140,,,5,2,356
3,1,ACATIC,3,C,3,,79,59,76,0,74,4,5,0,1,,,65,,,6,5,309
3,1,ACATIC,4,B,0,,98,43,86,0,90,3,4,0,0,,,47,,,12,2,338
3,1,ACATIC,4,C,1,,91,51,56,0,122,1,3,0,0,,,54,,,4,5,333
3,1,ACATIC,4,C,2,,87,52,68,1,127,4,0,3,0,,,52,,,8,0,350
3,1,ACATIC,5,B,0,,86,62,55,2,95,4,2,2,1,,,65,,,6,0,315
3,1,ACATIC,5,C,1,,91,90,25,3,83,4,0,0,0,,,90,,,5,0,301
3,1,ACATIC,5,C,2,,73,87,36,0,88,2,2,0,0,,,89,,,13,1,302
3,1,ACATIC,5,C,3,,90,60,53,1,101,3,2,1,0,,,62,,,6,2,319
3,1,ACATIC,6,B,0,,85,71,43,3,155,5,2,2,1,,,74,,,10,0,377
3,1,ACATIC,6,C,1,,90,74,32,0,155,2,5,0,1,,,80,,,13,1,373
3,1,ACATIC,7,B,0,,110,88,30,6,76,0,1,0,1,,,90,,,14,0,326
3,1,ACATIC,8,B,0,,25,40,9,3,56,3,1,1,0,,,41,,,1,0,139
