CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,NA,PAS,MORENA,ES,PAIS,PAN_PRD_MC_PAS,PAN_PRD_MC,PAN_PRD_PAS,PAN_MC_PAS,PRD_MC_PAS,PAN_PRD,PAN_MC,PAN_PAS,PRD_MC,PRD_PAS,MC_PAS,PRI_PVEM_NA,PRI_PVEM,PRI_NA,PVEM_NA,PT_MORENA_ES,PT_MORENA,PT_ES,MORENA_ES,C_COMUN_PRI_PVEM_NA,C_COMUN_PRI_PVEM,C_COMUN_PRI_NA,C_COMUN_PVEM_NA,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
1,25,SINALOA,1,EL FUERTE,7,CHOIX,1726,2,91,179,13,12,8,10,56,10,293,4,4,0,1,1,0,0,0,0,1,0,0,0,3,2,4,0,7,0,1,1,,,,,701,0,36,737,1181
1,25,SINALOA,1,EL FUERTE,7,CHOIX,1727,2,64,151,3,8,9,9,30,12,260,4,4,0,0,0,0,0,1,0,0,0,0,2,3,4,2,3,2,0,0,5,,,,,576,0,24,600,888
1,25,SINALOA,1,EL FUERTE,7,CHOIX,1728,1,32,89,3,2,2,3,24,4,199,3,2,0,0,0,0,0,0,0,2,0,0,0,2,2,0,0,1,0,0,0,,,,,370,0,17,387,542
1,25,SINALOA,1,EL FUERTE,7,CHOIX,1729,2,158,243,19,12,18,11,59,41,457,10,5,4,0,1,0,0,1,0,0,0,0,2,3,4,3,0,11,7,0,0,,,,,1069,2,27,1098,722
1,25,SINALOA,1,EL FUERTE,7,CHOIX,1730,1,119,117,2,6,0,2,28,11,153,0,2,1,0,2,0,0,3,0,0,0,0,0,2,0,0,0,0,2,0,1,,,,,451,0,12,463,643
1,25,SINALOA,1,EL FUERTE,7,CHOIX,1731,1,44,75,3,2,2,0,26,3,61,1,2,0,2,0,1,0,1,0,0,0,0,0,1,1,0,0,0,2,0,0,,,,,227,0,10,237,339
1,25,SINALOA,1,EL FUERTE,7,CHOIX,1732,1,18,25,1,0,0,1,8,2,55,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,,,,,114,1,0,115,146
1,25,SINALOA,1,EL FUERTE,7,CHOIX,1733,2,127,214,20,18,11,8,74,17,378,3,3,0,2,0,0,0,0,1,0,0,0,0,6,3,2,0,5,5,0,3,,,,,900,0,36,936,1417
1,25,SINALOA,1,EL FUERTE,7,CHOIX,1734,1,42,80,4,6,2,2,27,8,101,1,2,0,0,0,0,0,0,0,5,0,0,0,1,1,0,1,3,2,1,0,,,,,289,0,10,299,474
1,25,SINALOA,1,EL FUERTE,7,CHOIX,1735,2,103,140,9,7,9,10,45,7,364,4,4,0,0,1,1,0,0,1,1,0,0,0,5,3,1,2,0,0,1,3,,,,,721,0,43,764,1104
1,25,SINALOA,1,EL FUERTE,7,CHOIX,1736,1,9,22,1,6,2,1,24,0,19,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,,,,,86,0,5,91,112
1,25,SINALOA,1,EL FUERTE,7,CHOIX,1740,1,13,36,1,4,2,20,0,53,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,,,,131,0,8,139,196
1,25,SINALOA,1,EL FUERTE,7,CHOIX,1741,1,14,30,2,2,0,0,19,3,53,1,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,,,,,130,0,1,131,163
1,25,SINALOA,1,EL FUERTE,7,CHOIX,1742,1,33,53,2,4,1,1,18,5,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,,,,,191,0,5,196,304
1,25,SINALOA,1,EL FUERTE,7,CHOIX,1743,1,33,13,5,0,3,3,9,2,58,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,,,,,130,0,6,136,211
