uniqueid,year,incumbent_party_JL,incumbent_candidate_JL
26001,1991,PRI,BALTAZAR DEGOLLADO DURON
26001,1992,PRI,BALTAZAR DEGOLLADO DURON
26001,1993,PRI,BALTAZAR DEGOLLADO DURON
26001,1994,PRI,BALTAZAR DEGOLLADO DURON
26001,1995,PAN,FRANCISCO FERNANDO TRIGUERAS DOMINGUEZ
26001,1996,PAN,FRANCISCO FERNANDO TRIGUERAS DOMINGUEZ
26001,1997,PAN,FRANCISCO FERNANDO TRIGUERAS DOMINGUEZ
26001,1998,PRI,JESUS RAFAEL BOJORQUEZ QUIJADA
26001,1999,PRI,JESUS RAFAEL BOJORQUEZ QUIJADA
26001,2000,PRI,JESUS RAFAEL BOJORQUEZ QUIJADA
26001,2001,PAN,JESUS LUGO DURON
26001,2002,PAN,JESUS LUGO DURON
26001,2003,PAN,JESUS LUGO DURON
26001,2004,PAN,NOE HERRERA BORQUEZ
26001,2005,PAN,NOE HERRERA BORQUEZ
26001,2006,PAN,NOE HERRERA BORQUEZ
26001,2007,ALIANZA_,FRANCISCO MARIO HERRERA LOPEZ
26001,2008,ALIANZA_,FRANCISCO MARIO HERRERA LOPEZ
26001,2009,ALIANZA_,FRANCISCO MARIO HERRERA LOPEZ
26001,2010,ALIANZA,JOSE DAVID FIGUEROA VINDIOLA
26001,2011,ALIANZA,JOSE DAVID FIGUEROA VINDIOLA
26001,2012,ALIANZA,JOSE DAVID FIGUEROA VINDIOLA
26001,2013,COAL,PEDRO ARMANDO LUGO LOPEZ
26001,2014,COAL,PEDRO ARMANDO LUGO LOPEZ
26001,2015,COAL,PEDRO ARMANDO LUGO LOPEZ
26001,2016,CPUGHYE,JOSE JESUS SOUFFLE ENRIQUEZ
26001,2017,CPUGHYE,JOSE JESUS SOUFFLE ENRIQUEZ
26001,2018,CPUGHYE,JOSE JESUS SOUFFLE ENRIQUEZ
26001,2019,COAL,CELIA NARES LOERA
26001,2020,COAL,CELIA NARES LOERA
26001,2021,COAL,CELIA NARES LOERA
26001,2022,PMC,RAFAEL TOBILLAS DURON LOPEZ
26001,2023,PMC,RAFAEL TOBILLAS DURON LOPEZ
26001,2024,PMC,RAFAEL TOBILLAS DURON LOPEZ
26002,1991,PRI,BERNARDINO IBARROLA SERRANO
26002,1992,PRI,BERNARDINO IBARROLA SERRANO
26002,1993,PRI,BERNARDINO IBARROLA SERRANO
