CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,CABECERA_DISTRITAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLA,PAN,PRI,PRD,PVEM,PT,MC,NVA_ALIANZA,MORENA,PH,ES,PAN_PRD,PAN_PRD_PT,PAN_NVA_ALIANZA,PRI_PVEM,PRI_NVA_ALIANZA,PRI_PH,PRI_ES,PRI_PVEM_NVA_ALIANZA,PRI_PVEM_ES,PRI_NVA_ALIANZA_ES,PRI_PH_ES,PRI_PVEM_NVA_ALIANZA_PH,PRI_PVEM_NVA_ALIANZA_ES,PRI_PVEM_PH_ES,PRI_NVA_ALIANZA_PH_ES,PRI_PVEM_NVA_ALIANZA_PH_ES,PRD_PT,PRD_PT_NVA_ALIANZA,CAND_IND1,CAND_IND2,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,ESTATUS_ACTA,TEPJF,OBSERVACIONES,RUTA_ACTA
,31,YUCATAN,8,UMAN,1,ABALA,1,B,166,207,2,94,0,0,0,0,0,0,,,,,,,,,,,0,,,,,,0,,,,0,469,4,473,527,Acta casilla,,,
,31,YUCATAN,8,UMAN,1,ABALA,1,C01,204,189,8,88,2,0,0,0,0,0,,,,,,,,,,,0,,,,,,2,,,,0,493,3,496,527,Acta casilla,,,
,31,YUCATAN,8,UMAN,1,ABALA,1,C02,196,152,3,108,1,0,0,0,0,0,,,,,,,,,,,0,,,,,,1,,,,0,461,3,464,527,Acta casilla,,,
,31,YUCATAN,8,UMAN,1,ABALA,2,B,38,84,1,40,0,0,0,0,0,0,,,,,,,,,,,1,,,,,,0,,,,0,164,2,166,181,Acta casilla,,,
,31,YUCATAN,8,UMAN,1,ABALA,3,B,64,79,3,42,0,0,0,0,0,0,,,,,,,,,,,0,,,,,,0,,,,0,188,0,188,203,Acta casilla,,,
,31,YUCATAN,8,UMAN,1,ABALA,4,B,164,234,1,80,1,0,0,0,0,0,,,,,,,,,,,0,,,,,,0,,,,0,480,5,485,520,Acta casilla,,,
,31,YUCATAN,8,UMAN,1,ABALA,4,E01,98,97,1,26,0,0,0,0,0,0,,,,,,,,,,,0,,,,,,0,,,,0,222,2,224,237,Acta casilla,,,
,31,YUCATAN,8,UMAN,1,ABALA,5,B,252,324,1,48,0,0,0,0,0,0,,,,,,,,,,,0,,,,,,0,,,,0,625,5,630,740,Acta casilla,,,
,31,YUCATAN,8,UMAN,1,ABALA,5,C01,263,318,0,48,1,0,0,0,0,0,,,,,,,,,,,0,,,,,,0,,,,0,630,1,631,739,Acta casilla,,,
,31,YUCATAN,8,UMAN,1,ABALA,6,B,149,144,11,48,0,0,0,0,0,0,,,,,,,,,,,0,,,,,,0,,,,0,352,4,356,361,Acta casilla,,,
,31,YUCATAN,14,TIXKOKOB,2,ACANCEH,7,B,90,133,12,8,0,0,206,7,0,1,,,,,,,,,,,0,,,,,,,,36,,0,493,11,504,612,Acta casilla,,,
,31,YUCATAN,14,TIXKOKOB,2,ACANCEH,7,C01,84,128,18,8,0,0,223,6,0,1,,,,,,,,,,,0,,,,,,,,39,,0,507,9,516,612,Acta casilla,,,
,31,YUCATAN,14,TIXKOKOB,2,ACANCEH,7,C02,137,120,16,10,0,0,180,2,1,2,,,,,,,,,,,0,,,,,,,,28,,0,496,9,505,611,Acta casilla,,,
,31,YUCATAN,14,TIXKOKOB,2,ACANCEH,8,B,103,124,19,6,0,0,221,5,0,0,,,,,,,,,,,0,,,,,,,,57,,0,535,6,541,645,Acta casilla,,,
,31,YUCATAN,14,TIXKOKOB,2,ACANCEH,8,C01,102,145,22,8,0,0,214,5,0,0,,,,,,,,,,,1,,,,,,,,51,,0,548,5,553,645,Acta casilla,,,
,31,YUCATAN,14,TIXKOKOB,2,ACANCEH,8,C02,121,159,9,12,0,0,193,0,0,0,,,,,,,,,,,0,,,,,,,,0,,0,494,7,501,645,Acta casilla,,,
,31,YUCATAN,14,TIXKOKOB,2,ACANCEH,9,B,115,152,4,7,0,0,208,1,0,1,,,,,,,,,,,1,,,,,,,,43,,0,532,9,541,624,Acta casilla,,,
,31,YUCATAN,14,TIXKOKOB,2,ACANCEH,9,C01,130,137,21,10,0,0,182,1,1,1,,,,,,,,,,,0,,,,,,,,23,,0,506,8,514,624,Acta casilla,,,
,31,YUCATAN,14,TIXKOKOB,2,ACANCEH,9,C02,84,192,10,9,0,0,175,8,0,0,,,,,,,,,,,0,,,,,,,,35,,0,513,9,522,624,Acta casilla,,,
,31,YUCATAN,14,TIXKOKOB,2,ACANCEH,9,C03,112,150,20,3,0,0,170,0,0,2,,,,,,,,,,,0,,,,,,,,25,,0,482,12,494,624,Acta casilla,,,
,31,YUCATAN,14,TIXKOKOB,2,ACANCEH,10,B,105,123,9,4,0,0,217,6,0,0,,,,,,,,,,,0,,,,,,,,24,,0,488,8,496,577,Acta casilla,,,
,31,YUCATAN,14,TIXKOKOB,2,ACANCEH,10,C01,97,142,2,7,0,0,183,2,0,0,,,,,,,,,,,0,,,,,,,,29,,0,462,14,476,577,Acta casilla,,,
,31,YUCATAN,14,TIXKOKOB,2,ACANCEH,10,C02,81,158,14,4,0,0,214,1,1,0,,,,,,,,,,,1,,,,,,,,23,,0,497,6,503,577,Acta casilla,,,
,31,YUCATAN,14,TIXKOKOB,2,ACANCEH,10,C03,98,141,13,4,0,0,188,5,0,0,,,,,,,,,,,0,,,,,,,,23,,0,472,9,481,576,Acta casilla,,,
,31,YUCATAN,14,TIXKOKOB,2,ACANCEH,11,B,204,139,11,3,0,0,244,2,0,0,,,,,,,,,,,0,,,,,,,,5,,0,608,6,614,674,Acta casilla,,,
,31,YUCATAN,14,TIXKOKOB,2,ACANCEH,12,B,83,134,6,2,0,0,222,11,0,0,,,,,,,,,,,0,,,,,,,,29,,0,487,15,502,596,Acta casilla,,,
,31,YUCATAN,14,TIXKOKOB,2,ACANCEH,12,C01,90,136,13,0,0,0,204,4,0,0,,,,,,,,,,,0,,,,,,,,34,,0,481,10,491,595,Acta casilla,,,
,31,YUCATAN,14,TIXKOKOB,2,ACANCEH,13,B,115,124,17,0,0,0,208,5,0,1,,,,,,,,,,,0,,,,,,,,23,,0,493,3,496,561,Acta casilla,,,
,31,YUCATAN,12,TEKAX,3,AKIL,14,B,65,189,167,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,4,,,,,0,426,5,431,519,Acta casilla,,,
,31,YUCATAN,12,TEKAX,3,AKIL,14,C01,42,220,159,2,0,1,0,0,0,0,,,,,,,,,,,,,,,,3,,,,,0,427,0,427,519,Acta casilla,,,
,31,YUCATAN,12,TEKAX,3,AKIL,14,C02,43,215,154,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,3,,,,,0,416,3,419,518,Acta casilla,,,
,31,YUCATAN,12,TEKAX,3,AKIL,15,B,97,215,211,0,0,0,1,0,0,0,,,,,,,,,,,,,,,,5,,,,,0,529,8,537,644,Acta casilla,,,
,31,YUCATAN,12,TEKAX,3,AKIL,15,C01,102,221,199,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,0,,,,,0,522,8,530,644,Acta casilla,,,
,31,YUCATAN,12,TEKAX,3,AKIL,15,C02,69,266,197,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,0,,,,,0,532,4,536,644,Acta casilla,,,
