"coalitions","components_1","components_2","components_3","components_4","components_5","components_6","components_7"
"PVEM_MC","PVEM","MC",NA,NA,NA,NA,NA
"PAN_PC","PAN","PC",NA,NA,NA,NA,NA
"PAN_PRD_PT_PC","PAN","PRD","PT","PC",NA,NA,NA
"PRI_PVEM_PANAL_PSD_PFD","PRI","PVEM","PANAL","PSD","PFD",NA,NA
"VIA_RADICAL","VIA","RADICAL",NA,NA,NA,NA,NA
"PRD_PT_PC_PVEM_PAS_PSN","PRD","PT","PC","PVEM","PAS","PSN",NA
"PAN_PRI","PAN","PRI",NA,NA,NA,NA,NA
"PAN_PRI_PVEM","PAN","PRI","PVEM",NA,NA,NA,NA
"PAN_PVEM_PANAL","PAN","PVEM","PANAL",NA,NA,NA,NA
"PAN_PRI_PVEM_PANAL","PAN","PRI","PVEM","PANAL",NA,NA,NA
"PAN_PRI_PANAL","PAN","PRI","PANAL",NA,NA,NA,NA
"PRI_PRD_PVEM_PC_PANAL","PRI","PRD","PVEM","PC","PANAL",NA,NA
"PRD_PT_PMC","PRD","PT","PMC",NA,NA,NA,NA
"PT_MORENA","PT","MORENA",NA,NA,NA,NA,NA
"PRD_PT_PANAL","PRD","PT","PANAL",NA,NA,NA,NA
"PRD_PT_PANAL_PES","PRD","PT","PANAL","PES",NA,NA,NA
"PRD_PANAL","PRD","PANAL",NA,NA,NA,NA,NA
"PRD_PANAL_PES","PRD","PANAL","PES",NA,NA,NA,NA
"PT_PANAL_PH","PT","PANAL","PH",NA,NA,NA,NA
"PAN_PH","PAN","PH",NA,NA,NA,NA,NA
"PRD_PES","PRD","PES",NA,NA,NA,NA,NA
"PRD_PT_PES","PRD","PT","PES",NA,NA,NA,NA
"PT_PES_PH","PT","PES","PH",NA,NA,NA,NA
"PRD_PT_PANAL_PH","PRD","PT","PANAL","PH",NA,NA,NA
"PRD_PT_PH","PRD","PT","PH",NA,NA,NA,NA
"PT_PH","PT","PH",NA,NA,NA,NA,NA
"PAN_PRI_PRD_PANAL_PH_PES","PAN","PRI","PRD","PANAL","PH","PES",NA
"PAN_PRD_PT_PANAL_PES","PAN","PRD","PT","PANAL","PES",NA,NA
"PAN_PRD_PT_PANAL_PH","PAN","PRD","PT","PANAL","PH",NA,NA
"PAN_PRD_PANAL","PAN","PRD","PANAL",NA,NA,NA,NA
"PRD_PC_PCD_PSN","PRD","PC","PCD","PSN",NA,NA,NA
"PAN_PSD","PAN","PSD",NA,NA,NA,NA,NA
"PRI_PC","PRI","PC",NA,NA,NA,NA,NA
"PRD_PT_PRS","PRD","PT","PRS",NA,NA,NA,NA
"PC_PRS","PC","PRS",NA,NA,NA,NA,NA
"PAN_PRD_PT_PRS","PAN","PRD","PT","PRS",NA,NA,NA
"PRD_PC_PPN_PSN_PAS","PRD","PC","PPN","PSN","PAS",NA,NA
"PRI_PVEM_PLM_FC","PRI","PVEM","PLM","FC",NA,NA,NA
"PRI_PT_PVEM_PLM_FC","PRI","PT","PVEM","PLM","FC",NA,NA
"PRI_PVEM_PD_CC","PRI","PVEM","PD","CC",NA,NA,NA
"PANAL_PSD","PANAL","PSD",NA,NA,NA,NA,NA
"PRD_MC_PUP","PRD","MC","PUP",NA,NA,NA,NA
"PAN_PRD_PANAL_CPP","PAN","PRD","PANAL","CPP",NA,NA,NA
"PAN_PRD_PANAL_CPP_PC","PAN","PRD","PANAL","CPP","PC",NA,NA
"PAN_PRD_PANAL_CPP_PC_PSI","PAN","PRD","PANAL","CPP","PC","PSI",NA
"PAN_PRD_PANAL_CPP_PSI","PAN","PRD","PANAL","CPP","PSI",NA,NA
"PAN_PRD_PANAL_CPP_PT","PAN","PRD","PANAL","CPP","PT",NA,NA
"PAN_PRD_PANAL_CPP_PT_PSI","PAN","PRD","PANAL","CPP","PT","PSI",NA
"PAN_PRD_PANAL_CP_PSI","PAN","PRD","PANAL","CP","PSI",NA,NA
"PAN_PRD_MC_PCPP_PSI","PAN","PRD","MC","PCPP","PSI",NA,NA
"PAN_PRD_MC_PSI","PAN","PRD","MC","PSI",NA,NA,NA
"PAN_PRD_PCPP_PSI","PAN","PRD","PCPP","PSI",NA,NA,NA
"PAN_PRD_MC_PCPP","PAN","PRD","MC","PCPP",NA,NA,NA
"PAN_MC_PCPP_PSI","PAN","MC","PCPP","PSI",NA,NA,NA
"PAN_PCPP_PSI","PAN","PCPP","PSI",NA,NA,NA,NA
"PAN_MC_PSI","PAN","MC","PSI",NA,NA,NA,NA
"PAN_MC_PCPP","PAN","MC","PCPP",NA,NA,NA,NA
"PAN_PRD_PSI","PAN","PRD","PSI",NA,NA,NA,NA
"PAN_PRD_PCPP","PAN","PRD","PCPP",NA,NA,NA,NA
"PAN_PSI","PAN","PSI",NA,NA,NA,NA,NA
"PAN_PCPP","PAN","PCPP",NA,NA,NA,NA,NA
"PRD_MC_PSI","PRD","MC","PSI",NA,NA,NA,NA
"PRD_MC_PCPP","PRD","MC","PCPP",NA,NA,NA,NA
"PRD_PCPP_PSI","PRD","PCPP","PSI",NA,NA,NA,NA
"PRD_PCPP","PRD","PCPP",NA,NA,NA,NA,NA
"PRD_PSI","PRD","PSI",NA,NA,NA,NA,NA
"MC_PCPP_PSI","MC","PCPP","PSI",NA,NA,NA,NA
"MC_PCPP","MC","PCPP",NA,NA,NA,NA,NA
"MC_PSI","MC","PSI",NA,NA,NA,NA,NA
"PANAL_PCPP","PANAL","PCPP",NA,NA,NA,NA,NA
"PVEM_PCPP_PSI","PVEM","PCPP","PSI",NA,NA,NA,NA
"PVEM_PSI","PVEM","PSI",NA,NA,NA,NA,NA
"PVEM_PCPP","PVEM","PCPP",NA,NA,NA,NA,NA
"PCPP_PSI","PCPP","PSI",NA,NA,NA,NA,NA
"PT_PVEM_MORENA_PES","PT","PVEM","MORENA","PES",NA,NA,NA
"PAN_CPP","PAN","CPP",NA,NA,NA,NA,NA
"PAN_PRD_MC_CPP","PAN","PRD","MC","CPP",NA,NA,NA
"PRI_CPP","PRI","CPP",NA,NA,NA,NA,NA
"PRD_MC_CPP","PRD","MC","CPP",NA,NA,NA,NA
"PVEM_PCP","PVEM","PCP",NA,NA,NA,NA,NA
"PRD_PT_PCD_PSN","PRD","PT","PCD","PSN",NA,NA,NA
"PRI_PVEM_PCP","PRI","PVEM","PCP",NA,NA,NA,NA
"PCP_PC","PCP","PC",NA,NA,NA,NA,NA
"PCP_PAS_PC","PCP","PAS","PC",NA,NA,NA,NA
"PRD_PT_PCP_PC","PRD","PT","PCP","PC",NA,NA,NA
"PRI_PCP","PRI","PCP",NA,NA,NA,NA,NA
"PRI_PT_PVEM_PAS","PRI","PT","PVEM","PAS",NA,NA,NA
"PT_PCP","PT","PCP",NA,NA,NA,NA,NA
"PT_PCP_PC","PT","PCP","PC",NA,NA,NA,NA
"PRD_PT_PSN_PC","PRD","PT","PSN","PC",NA,NA,NA
"PRI_PVEM_PT_PAS","PRI","PVEM","PT","PAS",NA,NA,NA
"PAN_PCP_PANAL","PAN","PCP","PANAL",NA,NA,NA,NA
"PRI_PASC","PRI","PASC",NA,NA,NA,NA,NA
"PRI_PCP_PASC","PRI","PCP","PASC",NA,NA,NA,NA
"PVEM_PCP_PANAL","PVEM","PCP","PANAL",NA,NA,NA,NA
"PCP_PANAL","PCP","PANAL",NA,NA,NA,NA,NA
"PAN_PT_PANAL","PAN","PT","PANAL",NA,NA,NA,NA
"PRD_PCP","PRD","PCP",NA,NA,NA,NA,NA
"PRD_PCP_PC","PRD","PCP","PC",NA,NA,NA,NA
"PRD_PT_PCP","PRD","PT","PCP",NA,NA,NA,NA
"PRD_PT_PCP_PSD","PRD","PT","PCP","PSD",NA,NA,NA
"PT_PSD","PT","PSD",NA,NA,NA,NA,NA
"PAN_PT_PC_PANAL","PAN","PT","PC","PANAL",NA,NA,NA
"PAN_PRD_PT_PVEM_PCP_PC_PANAL","PAN","PRD","PT","PVEM","PCP","PC","PANAL"
"PAN_PRD_PT_PVEM_MC_PANAL","PAN","PRD","PT","PVEM","MC","PANAL",NA
"PAN_PT_MC","PAN","PT","MC",NA,NA,NA,NA
"PRD_PT_PCP_MC","PRD","PT","PCP","MC",NA,NA,NA
"PAN_PCP","PAN","PCP",NA,NA,NA,NA,NA
"PRD_PT_MC_PANAL","PRD","PT","MC","PANAL",NA,NA,NA
"PRD_PVEM_PCP","PRD","PVEM","PCP",NA,NA,NA,NA
"PCP_MC_PANAL","PCP","MC","PANAL",NA,NA,NA,NA
"PAN_PRD_PT_MC","PAN","PRD","PT","MC",NA,NA,NA
"PRD_PCP_MC","PRD","PCP","MC",NA,NA,NA,NA
"MC_PANAL","MC","PANAL",NA,NA,NA,NA,NA
"PRI_PANAL_PCP","PRI","PANAL","PCP",NA,NA,NA,NA
"PRI_PVEM_PANAL_PCP","PRI","PVEM","PANAL","PCP",NA,NA,NA
"PAN_PRD_PVEM","PAN","PRD","PVEM",NA,NA,NA,NA
"PT_PSN","PT","PSN",NA,NA,NA,NA,NA
"PSN_PBS","PSN","PBS",NA,NA,NA,NA,NA
"PT_PAS_PC_PSN","PT","PAS","PC","PSN",NA,NA,NA
"PT_PBS","PT","PBS",NA,NA,NA,NA,NA
"PT_PC_PSN","PT","PC","PSN",NA,NA,NA,NA
"PT_PC_PBS","PT","PC","PBS",NA,NA,NA,NA
"PRD_PT_PBS","PRD","PT","PBS",NA,NA,NA,NA
"PRD_PBS","PRD","PBS",NA,NA,NA,NA,NA
"PRI_PVEM_PBS","PRI","PVEM","PBS",NA,NA,NA,NA
"PRI_PRD_PANAL","PRI","PRD","PANAL",NA,NA,NA,NA
"PRI_PC_PANAL","PRI","PC","PANAL",NA,NA,NA,NA
"PT_PAS","PT","PAS",NA,NA,NA,NA,NA
"PRI_PVEM_PANAL_PAS","PRI","PVEM","PANAL","PAS",NA,NA,NA
"MC_PAS","MC","PAS",NA,NA,NA,NA,NA
"PAN_PRD_MC_PAS","PAN","PRD","MC","PAS",NA,NA,NA
"PAS_PMP","PAS","PMP",NA,NA,NA,NA,NA
"PRD_PC_PAS","PRD","PC","PAS",NA,NA,NA,NA
"PSN_PAS","PSN","PAS",NA,NA,NA,NA,NA
"PAS_PT_PVEM","PAS","PT","PVEM",NA,NA,NA,NA
"PT_PCDT_PJS","PT","PCDT","PJS",NA,NA,NA,NA
"PCDT_PJS","PCDT","PJS",NA,NA,NA,NA,NA
"PT_PCDT","PT","PCDT",NA,NA,NA,NA,NA
"PT_PJS","PT","PJS",NA,NA,NA,NA,NA
"PAN_PAC","PAN","PAC",NA,NA,NA,NA,NA
"PRI_PVEM_PS","PRI","PVEM","PS",NA,NA,NA,NA
"PRI_PST","PRI","PST",NA,NA,NA,NA,NA
"PAC_PS","PAC","PS",NA,NA,NA,NA,NA
"PT_PAC","PT","PAC",NA,NA,NA,NA,NA
"PRI_PVEM_PANAL_PS","PRI","PVEM","PANAL","PS",NA,NA,NA
"PRI_PANAL_PS","PRI","PANAL","PS",NA,NA,NA,NA
"PRI_PS","PRI","PS",NA,NA,NA,NA,NA
"PVEM_PS","PVEM","PS",NA,NA,NA,NA,NA
"PC_PCD","PC","PCD",NA,NA,NA,NA,NA
"PAN_PDS","PAN","PDS",NA,NA,NA,NA,NA
"PARM_PDS","PARM","PDS",NA,NA,NA,NA,NA
"PARM_PDS_PAS","PARM","PDS","PAS",NA,NA,NA,NA
"PARM_PAS","PARM","PAS",NA,NA,NA,NA,NA
"PAS_PC","PAS","PC",NA,NA,NA,NA,NA
"PAS_PVEM","PAS","PVEM",NA,NA,NA,NA,NA
"PRD_PC_PSN_PARM","PRD","PC","PSN","PARM",NA,NA,NA
