CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,CABECERA_DISTRITAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLA,PAN_PRS,PRI,PRD_PT_MC,PVEM,NVA_ALIANZA,MORENA,BRE,PRI_PVEM_NVA_ALIANZA,PRI_PVEM,PRI_NVA_ALIANZA,PVEM_NVA_ALIANZA,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,ESTATUS_ACTA,TEPJF,OBSERVACIONES,RUTA_ACTA
1,3,BAJA CALIFORNIA SUR,1,LA PAZ,3,LA PAZ,121,B,133,78,20,3,1,19,7,5,2,0,0,3,271,6,277,505,Acta casilla,,,
1,3,BAJA CALIFORNIA SUR,1,LA PAZ,3,LA PAZ,121,C01,142,72,11,3,0,25,7,3,2,1,0,0,266,7,273,504,Grupo de Recuento,,,
1,3,BAJA CALIFORNIA SUR,1,LA PAZ,3,LA PAZ,122,B,168,113,30,11,1,29,8,12,11,1,0,1,385,19,404,723,Acta casilla,,,
1,3,BAJA CALIFORNIA SUR,1,LA PAZ,3,LA PAZ,123,B,132,83,20,0,2,20,3,4,4,0,0,1,269,12,281,425,Acta casilla,,,
1,3,BAJA CALIFORNIA SUR,1,LA PAZ,3,LA PAZ,123,C01,127,72,13,2,2,20,0,5,3,2,0,0,246,6,252,425,Acta casilla,,,
1,3,BAJA CALIFORNIA SUR,1,LA PAZ,3,LA PAZ,124,B,140,92,9,5,24,8,6,2,0,0,0,1,287,8,295,499,Acta casilla,,,
1,3,BAJA CALIFORNIA SUR,1,LA PAZ,3,LA PAZ,124,C01,151,95,15,3,0,25,5,7,5,1,0,1,308,5,313,499,Acta casilla,,,
1,3,BAJA CALIFORNIA SUR,1,LA PAZ,3,LA PAZ,125,B,170,120,14,0,2,14,6,10,7,0,0,1,344,4,348,567,Grupo de Recuento,,,
1,3,BAJA CALIFORNIA SUR,1,LA PAZ,3,LA PAZ,125,M,9,5,0,0,0,1,1,0,0,0,0,0,16,0,16,18,Acta casilla,,,
1,3,BAJA CALIFORNIA SUR,1,LA PAZ,3,LA PAZ,126,B,206,136,15,3,8,21,11,5,2,1,0,1,409,13,422,717,Acta casilla,,,
1,3,BAJA CALIFORNIA SUR,1,LA PAZ,3,LA PAZ,127,B,157,117,24,9,7,31,6,4,4,1,0,1,361,9,370,736,Acta casilla,,,
1,3,BAJA CALIFORNIA SUR,1,LA PAZ,3,LA PAZ,128,B,129,106,31,8,5,26,3,6,10,2,0,1,327,8,335,601,Acta casilla,,,
1,3,BAJA CALIFORNIA SUR,1,LA PAZ,3,LA PAZ,129,B,127,60,18,9,1,16,7,6,3,0,0,0,247,18,265,479,Acta casilla,,,
1,3,BAJA CALIFORNIA SUR,1,LA PAZ,3,LA PAZ,129,C01,121,51,6,15,3,21,4,5,5,0,0,0,231,3,234,479,Acta casilla,,,
1,3,BAJA CALIFORNIA SUR,1,LA PAZ,3,LA PAZ,130,B,81,49,13,5,1,7,4,0,2,0,0,0,162,4,166,375,Acta casilla,,,
1,3,BAJA CALIFORNIA SUR,1,LA PAZ,3,LA PAZ,131,B,93,63,24,6,2,25,6,10,5,0,0,2,236,9,245,514,Grupo de Recuento,,,
1,3,BAJA CALIFORNIA SUR,1,LA PAZ,3,LA PAZ,132,B,72,59,14,5,1,20,10,5,2,0,0,0,188,6,194,422,Acta casilla,,,
1,3,BAJA CALIFORNIA SUR,1,LA PAZ,3,LA PAZ,133,B,61,52,12,3,3,11,9,3,2,0,0,1,157,5,162,362,Grupo de Recuento,,,
1,3,BAJA CALIFORNIA SUR,1,LA PAZ,3,LA PAZ,134,B,70,48,8,0,1,12,1,1,1,0,0,0,142,3,145,306,Acta casilla,,,
1,3,BAJA CALIFORNIA SUR,1,LA PAZ,3,LA PAZ,135,B,123,78,23,4,3,19,1,6,7,3,0,0,267,15,282,516,Acta casilla,,,
1,3,BAJA CALIFORNIA SUR,1,LA PAZ,3,LA PAZ,135,C01,115,56,25,11,1,22,5,1,10,0,0,2,248,6,254,516,Grupo de Recuento,,,
1,3,BAJA CALIFORNIA SUR,1,LA PAZ,3,LA PAZ,136,B,126,61,23,0,3,14,0,0,2,0,0,0,229,8,237,396,Acta casilla,,,
1,3,BAJA CALIFORNIA SUR,1,LA PAZ,3,LA PAZ,136,C01,137,39,15,4,2,21,11,4,3,2,0,1,239,5,244,396,Acta casilla,,,
1,3,BAJA CALIFORNIA SUR,1,LA PAZ,3,LA PAZ,137,B,103,87,10,1,1,16,4,10,4,0,0,0,236,7,243,409,Acta casilla,,,
1,3,BAJA CALIFORNIA SUR,1,LA PAZ,3,LA PAZ,137,C01,120,82,14,1,0,10,7,11,6,0,0,0,251,7,258,408,Acta casilla,,,
1,3,BAJA CALIFORNIA SUR,1,LA PAZ,3,LA PAZ,138,B,166,106,20,5,1,33,5,3,10,0,0,1,350,14,364,654,Acta casilla,,,
1,3,BAJA CALIFORNIA SUR,1,LA PAZ,3,LA PAZ,139,B,118,77,19,7,2,56,2,4,6,1,0,0,292,9,301,555,Acta casilla,,,
1,3,BAJA CALIFORNIA SUR,1,LA PAZ,3,LA PAZ,140,B,97,56,20,3,6,22,5,3,4,0,0,1,217,10,227,504,Acta casilla,,,
1,3,BAJA CALIFORNIA SUR,1,LA PAZ,3,LA PAZ,141,B,74,45,14,13,3,21,2,5,3,0,0,0,180,11,191,385,Acta casilla,,,
1,3,BAJA CALIFORNIA SUR,1,LA PAZ,3,LA PAZ,141,C01,92,39,12,6,1,12,4,1,0,1,0,1,169,10,179,384,Acta casilla,,,
1,3,BAJA CALIFORNIA SUR,1,LA PAZ,3,LA PAZ,142,B,82,73,27,7,2,16,7,15,12,0,0,0,241,11,252,512,Grupo de Recuento,,,
1,3,BAJA CALIFORNIA SUR,1,LA PAZ,3,LA PAZ,142,C01,82,88,20,10,0,16,6,9,7,1,0,1,240,6,246,511,Acta casilla,,,
1,3,BAJA CALIFORNIA SUR,1,LA PAZ,3,LA PAZ,143,B,104,75,18,11,1,11,9,3,7,0,0,0,239,12,251,572,Grupo de Recuento,,,
1,3,BAJA CALIFORNIA SUR,1,LA PAZ,3,LA PAZ,143,C01,124,77,9,9,5,14,5,6,10,1,1,1,262,9,271,572,Acta casilla,,,
1,3,BAJA CALIFORNIA SUR,1,LA PAZ,3,LA PAZ,143,C02,98,97,18,9,3,19,8,4,4,0,1,0,261,7,268,571,Acta casilla,,,
1,3,BAJA CALIFORNIA SUR,1,LA PAZ,3,LA PAZ,144,B,138,102,28,23,2,21,6,8,6,0,1,0,335,8,343,704,Acta casilla,,,
1,3,BAJA CALIFORNIA SUR,1,LA PAZ,3,LA PAZ,144,C01,147,76,24,17,1,21,7,2,10,1,0,2,308,10,318,703,Acta casilla,,,
1,3,BAJA CALIFORNIA SUR,1,LA PAZ,3,LA PAZ,145,B,73,57,16,1,2,15,6,2,4,0,0,0,176,6,182,376,Acta casilla,,,
1,3,BAJA CALIFORNIA SUR,1,LA PAZ,3,LA PAZ,145,C01,64,49,17,5,2,18,3,3,4,0,0,0,165,5,170,376,Acta casilla,,,
1,3,BAJA CALIFORNIA SUR,1,LA PAZ,3,LA PAZ,146,B,112,83,29,7,2,41,5,4,4,1,0,1,289,4,293,637,Acta casilla,,,
1,3,BAJA CALIFORNIA SUR,1,LA PAZ,3,LA PAZ,147,B,145,95,27,14,1,50,4,6,9,0,0,0,351,18,369,688,Acta casilla,,,
1,3,BAJA CALIFORNIA SUR,1,LA PAZ,3,LA PAZ,148,B,147,97,20,6,2,25,5,5,8,0,0,0,315,0,315,541,Grupo de Recuento,,,
1,3,BAJA CALIFORNIA SUR,1,LA PAZ,3,LA PAZ,149,B,125,99,27,7,2,35,8,8,6,0,0,2,319,5,324,597,Acta casilla,,,
1,3,BAJA CALIFORNIA SUR,1,LA PAZ,3,LA PAZ,150,B,97,79,34,5,2,38,7,7,10,1,0,1,281,9,290,499,Acta casilla,,,
1,3,BAJA CALIFORNIA SUR,1,LA PAZ,3,LA PAZ,151,B,117,78,25,5,1,24,11,5,11,1,0,0,278,13,291,636,Acta casilla,,,
1,3,BAJA CALIFORNIA SUR,1,LA PAZ,3,LA PAZ,152,B,62,60,13,12,2,24,7,4,1,0,0,0,185,4,189,437,Acta casilla,,,
1,3,BAJA CALIFORNIA SUR,1,LA PAZ,3,LA PAZ,152,C01,79,64,10,7,2,18,5,3,7,1,0,1,197,5,202,437,Acta casilla,,,
1,3,BAJA CALIFORNIA SUR,1,LA PAZ,3,LA PAZ,153,B,86,116,33,12,1,28,7,13,0,0,0,0,296,22,318,658,Acta casilla,,,
1,3,BAJA CALIFORNIA SUR,1,LA PAZ,3,LA PAZ,153,C01,85,100,31,13,4,25,10,9,16,0,0,1,294,9,303,658,Grupo de Recuento,,,
1,3,BAJA CALIFORNIA SUR,1,LA PAZ,3,LA PAZ,154,B,87,96,38,6,3,38,4,7,0,0,0,2,281,9,290,570,Acta casilla,,,
1,3,BAJA CALIFORNIA SUR,1,LA PAZ,3,LA PAZ,154,C01,117,74,23,1,2,31,11,8,6,0,0,2,275,12,287,569,Grupo de Recuento,,,
1,3,BAJA CALIFORNIA SUR,1,LA PAZ,3,LA PAZ,155,B,106,77,20,6,1,31,5,1,7,0,0,1,255,10,265,490,Acta casilla,,,
1,3,BAJA CALIFORNIA SUR,1,LA PAZ,3,LA PAZ,155,C01,127,88,21,6,2,31,3,6,6,1,0,0,291,6,297,490,Acta casilla,,,
1,3,BAJA CALIFORNIA SUR,1,LA PAZ,3,LA PAZ,156,B,85,67,23,5,3,22,10,1,3,0,0,1,220,7,227,458,Grupo de Recuento,,,
1,3,BAJA CALIFORNIA SUR,1,LA PAZ,3,LA PAZ,156,C01,83,73,19,12,0,29,5,10,3,0,0,0,234,5,239,458,Acta casilla,,,
