ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,CABECERA_DISTRITAL,SECCIONES,CASILLAS,PAN_PRS,PRI_PVEM_NVA_ALIANZA,PRD_PT_MC,MORENA,BRE,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,PARTICIPACION
3,BAJA CALIFORNIA SUR,1,LA PAZ,38,62,6952,6021,1187,1368,355,43,15926,523,16449,31854,0.5164
3,BAJA CALIFORNIA SUR,2,LA PAZ,25,38,5548,3876,651,875,247,46,11243,330,11573,19608,0.5902
3,BAJA CALIFORNIA SUR,3,LA PAZ,23,39,5659,4251,728,965,345,56,12004,343,12347,20418,0.6047
3,BAJA CALIFORNIA SUR,4,LA PAZ,84,126,15709,11104,2166,3119,1060,189,33347,862,34209,65271,0.5241
3,BAJA CALIFORNIA SUR,5,LA PAZ,35,69,9132,7302,961,1722,538,84,19739,555,20294,34177,0.5938
3,BAJA CALIFORNIA SUR,6,TODOS SANTOS,18,36,4631,3501,346,366,52,19,8915,321,9236,15264,0.6051
3,BAJA CALIFORNIA SUR,7,SAN JOSE DEL CABO,45,121,11808,10778,5638,2049,480,88,30841,1072,31913,65869,0.4845
3,BAJA CALIFORNIA SUR,8,CABO SAN LUCAS,69,144,14564,9023,4431,2400,672,180,31270,1092,32362,80334,0.4028
3,BAJA CALIFORNIA SUR,9,CIUDAD CONSTITUCION,20,26,3863,3877,456,310,80,10,8596,150,8746,13104,0.6674
3,BAJA CALIFORNIA SUR,10,CIUDAD CONSTITUCION,19,38,4392,4790,762,330,102,5,10381,303,10684,18516,0.577
3,BAJA CALIFORNIA SUR,11,CIUDAD INSURGENTES,24,35,4559,4553,365,234,73,4,9788,246,10034,15613,0.6427
3,BAJA CALIFORNIA SUR,12,LORETO,19,33,5970,4451,228,212,42,6,10909,195,11104,14955,0.7425
3,BAJA CALIFORNIA SUR,13,SANTA ROSALIA,17,32,4899,3784,203,210,114,6,9216,296,9512,14621,0.6506
3,BAJA CALIFORNIA SUR,14,GUERRERO NEGRO,12,29,3879,3224,455,449,95,12,8114,349,8463,15884,0.5328
3,BAJA CALIFORNIA SUR,15,BAHIA TORTUGAS,15,21,2583,1574,249,136,23,1,4566,133,4699,7382,0.6365
3,BAJA CALIFORNIA SUR,16,CABO SAN LUCAS,20,55,6300,4760,2282,1079,83,62,14566,505,15071,32546,0.4631
