Distrito,CONS.,SECCION,CASILLA,PAN-PC,PRI-PVEM,PRD-PT,VOTOS NULOS,VOTOS VÁLIDOS,VOTOS TOTALES,
I,1,300,300-B,167,201,18,10,386,396,
I,2,300,300-C,170,221,36,3,427,430,
I,3,301,301-B,47,49,7,4,103,107,
I,4,302,302-B,84,146,28,5,258,263,
I,5,302,302-C,118,104,18,12,240,252,
I,6,308,308-B,121,120,35,11,276,287,
I,7,308,308-C,128,149,21,10,298,308,
I,8,309,309-B,186,137,37,11,360,371,
I,9,309,309-C,186,166,36,0,388,388,
I,10,310,310-B,149,149,40,11,338,349,
I,11,310,310-C,156,149,37,6,342,348,
I,12,311,311-B,124,138,33,10,295,305,
I,13,311,311-C,128,131,27,4,286,290,
I,14,312,312-B,139,115,38,16,292,308,
I,15,312,312-C,132,150,21,7,303,310,
I,16,313,313-B,154,129,28,7,311,318,
I,17,314,314-B,130,128,21,6,279,285,
I,18,324,324-B,48,60,11,4,119,123,
I,19,325,325-B,103,101,25,6,229,235,
I,20,325,325-C,89,132,17,11,238,249,
I,21,326,326-B,148,137,32,8,317,325,
I,22,326,326-C,136,133,35,12,304,316,
I,23,327,327-B,186,201,30,5,417,422,
I,24,328,328-B,117,140,12,5,269,274,
I,25,328,328-C,122,134,13,4,269,273,
I,26,345,345-B,127,184,34,15,345,360,
I,27,346,346-B,116,116,15,4,247,251,
I,28,346,346-C,93,136,14,9,243,252,
I,29,347,347-B,166,131,17,7,314,321,
I,30,347,347-C,151,132,37,7,320,327,
I,31,348,348-B,180,188,27,7,395,402,
I,32,349,349-B,96,122,22,2,240,242,
I,33,349,349-C,113,116,16,168,245,413,
I,34,350,350-B,101,139,30,4,270,274,
I,35,351,351-B,130,139,16,5,285,290,
I,36,352,352-B,142,150,28,2,320,322,
I,37,352,352-C,126,144,25,6,295,301,
I,38,353,353-B,136,121,15,0,272,272,
I,39,353,353-C,114,122,26,9,262,271,
I,40,354,354-B,116,116,14,8,246,254,
I,41,354,354-C,113,130,14,0,257,257,
I,42,369,369-B,125,160,19,11,304,315,
I,43,370,370-B,174,211,31,13,416,429,
I,44,371,371-B,209,159,27,293,395,688,
I,45,371,371-C,168,201,40,15,409,424,
I,46,372,372-B,86,155,33,5,274,279,
I,47,372,372-S,0,0,0,0,0,0,
I,48,381,381-B,100,141,14,5,255,260,
I,49,382,382-B,95,140,34,13,269,282,
I,50,382,382-C,106,133,24,11,263,274,
I,51,383,383-B,203,213,27,3,443,446,
I,52,411,411-B,73,181,39,9,293,302,
I,53,412,412-B,92,179,12,21,283,304,
I,54,426,426-B,124,126,34,16,284,300,
I,55,426,426-C,129,138,34,7,301,308,
I,56,427,427-B,148,172,32,9,352,361,
I,57,427,427-C,141,161,38,12,340,352,
I,58,428,428-B,119,117,19,11,255,266,
I,59,428,428-C,91,140,24,13,255,268,
,,,,,,,,,,
II,1,298,298-B,127,110,30,11,267,278,
II,2,299,299-B,84,100,71,0,255,255,
II,3,303,303-B,140,115,49,11,304,315,
II,4,303,303-C,156,128,44,8,328,336,
II,5,304,304-B,128,123,27,10,278,288,
II,6,304,304-C,133,107,36,1,276,277,
II,7,305,305-B,171,129,16,8,316,324,
II,8,305,305-C,122,118,23,10,263,273,
II,9,306,306-B,122,168,24,4,314,318,
II,10,306,306-C,131,153,22,3,306,309,
II,11,307,307-B,147,135,58,5,340,345,
II,12,307,307-C01,165,128,60,14,353,367,
II,13,307,307-C02,138,138,46,8,322,330,
II,14,307,307-C03,139,154,52,7,345,352,
II,15,307,307-C04,131,131,42,11,304,315,
II,16,307,307-C05,162,124,57,13,343,356,
II,17,315,315-B,158,180,39,9,377,386,
II,18,315,315-C,188,183,30,3,401,404,
II,19,315,315-S,0,0,0,0,0,0,
II,20,316,316-B,2,7,5,0,14,14,
II,21,317,317-B,118,144,24,7,286,293,
II,22,317,317-C,128,132,30,3,290,293,
II,23,318,318-B,156,134,39,10,329,339,
II,24,318,318-C,141,160,26,8,327,335,
II,25,320,320-B,123,154,18,4,295,299,
II,26,320,320-C,112,147,32,5,291,296,
II,27,329,329-B,117,104,17,6,238,244,
II,28,329,329-C,84,133,13,7,230,237,
II,29,330,330-B,165,155,39,268,359,627,
II,30,330,330-C,150,180,33,11,363,374,
II,31,331,331-B,109,140,10,6,259,265,
II,32,331,331-C,121,134,14,3,269,272,
II,33,343,343-B,159,171,26,8,356,364,
II,34,343,343-C,128,169,47,11,344,355,
II,35,344,344-B,161,148,31,3,340,343,
II,36,344,344-C,148,167,27,3,342,345,
II,37,355,355-B,141,202,31,7,374,381,
II,38,356,356-B,100,137,19,8,256,264,
II,39,357,357-B,165,146,25,4,336,340,
II,40,357,357-C,162,174,20,8,356,364,
II,41,358,358-B,115,133,26,12,274,286,
II,42,358,358-C,116,154,27,6,297,303,
II,43,365,365-B,161,181,41,11,383,394,
II,44,365,365-C,170,186,32,6,388,394,
II,45,366,366-B,172,237,32,7,441,448,
II,46,367,367-B,91,141,14,6,246,252,
II,47,367,367-C,106,119,14,3,239,242,
II,48,368,368-B,103,158,22,6,283,289,
II,49,368,368-C,93,174,17,5,284,289,
II,50,374,374-B,90,90,12,3,192,195,
II,51,374,374-C,94,103,22,2,219,221,
II,52,375,375-B,136,145,25,9,306,315,
II,53,375,375-C,121,147,22,15,290,305,
II,54,376,376-B,5,11,2,0,18,18,
II,55,379,379-B,180,179,30,10,389,399,
II,56,380,380-B,131,134,12,7,277,284,
II,57,380,380-C,113,155,25,5,293,298,
II,58,449,449-B,174,167,53,11,394,405,
II,59,449,449-C01,149,182,74,13,405,418,
II,60,449,449-C02,151,155,54,9,360,369,
II,61,449,449-C03,152,157,62,10,371,381,
II,62,449,449-C04,160,161,66,8,387,395,
II,63,449,449-C05,159,144,60,17,363,380,
II,64,449,449-C06,175,141,70,8,386,394,
II,65,449,449-C07,162,141,68,17,371,388,
II,66,449,449-C08,158,170,61,9,389,398,
II,67,449,449-C09,164,134,74,12,372,384,
II,68,449,449-C10,145,153,67,14,365,379,
II,69,449,449-C11,170,164,65,8,399,407,
,,,,,,,,,,
III,1,319,319-B,105,139,12,2,256,258,
III,2,319,319-C,105,134,11,3,250,253,
III,3,321,321-B,179,190,27,9,396,405,
III,4,322,322-B,148,163,40,14,351,365,
III,5,323,323-B,91,129,16,3,236,239,
III,6,323,323-C,95,127,17,6,239,245,
III,7,332,332-B,151,179,14,7,344,351,
III,8,332,332-C,168,157,22,5,347,352,
III,9,333,333-B,185,209,30,8,424,432,
III,10,333,333-C,181,206,35,15,422,437,
III,11,334,334-B,207,215,25,8,447,455,
III,12,334,334-C,194,215,17,9,426,435,
III,13,335,335-B,143,117,46,6,306,312,
III,14,335,335-C,137,124,36,7,297,304,
III,15,336,336-B,120,128,64,8,312,320,
III,16,337,337-B,129,145,41,6,315,321,
III,17,337,337-C,121,159,43,4,323,327,
III,18,338,338-B,92,132,34,6,258,264,
III,19,338,338-C,94,127,57,4,278,282,
III,20,339,339-B,108,97,32,14,237,251,
III,21,339,339-C,92,119,26,11,237,248,
III,22,340,340-B,106,155,18,4,279,283,
III,23,341,341-B,161,177,17,3,355,358,
III,24,342,342-B,139,166,19,9,324,333,
III,25,342,342-C,158,148,45,2,351,353,
III,26,359,359-B,149,179,30,5,358,363,
III,27,359,359-C,153,174,31,6,358,364,
III,28,360,360-B,214,192,32,8,438,446,
III,29,361,361-B,116,153,40,13,309,322,
III,30,361,361-C,139,161,30,11,330,341,
III,31,362,362-B,110,120,31,7,261,268,
III,32,362,362-C,107,132,20,9,259,268,
III,33,363,363-B,156,163,53,14,372,386,
III,34,363,363-C,144,182,37,6,363,369,
III,35,364,364-B,155,313,15,5,483,488,
III,36,377,377-B,162,272,15,8,449,457,
III,37,377,377-C,171,260,11,7,442,449,
III,38,378,378-B,140,157,18,8,315,323,
III,39,378,378-C,133,171,17,9,321,330,
III,40,413,413-B,92,169,42,6,303,309,
III,41,413,413-C,72,191,33,16,296,312,
III,42,414,414-B,68,87,53,13,208,221,
III,43,414,414-C,51,90,51,6,192,198,
III,44,415,415-B,83,142,114,15,339,354,
III,45,415,415-C,84,162,84,27,330,357,
III,46,416,416-B,134,134,65,15,333,348,
III,47,417,417-B,134,117,56,13,307,320,
III,48,417,417-C,143,115,44,11,302,313,
III,49,418,418-B,111,143,44,9,298,307,
III,50,418,418-C,127,134,51,10,312,322,
III,51,419,419-B,102,173,63,12,338,350,
III,52,419,419-C,106,206,68,16,380,396,
III,53,420,420-B,119,112,20,4,251,255,
III,54,420,420-C,93,95,22,15,210,225,
III,55,420,420-X,63,110,46,0,219,219,
III,56,421,421-B,112,85,24,7,221,228,
III,57,421,421-C,113,97,26,7,236,243,
III,58,424,424-B,105,95,14,11,214,225,
III,59,424,424-C,88,108,24,9,220,229,
III,60,425,425-B,96,148,21,6,265,271,
III,61,425,425-C,102,167,24,8,293,301,
III,62,448,448-B,103,97,12,6,212,218,
III,63,448,448-C,109,102,24,4,235,239,
,,,,,,,,,,
IV,1,422,422-B,114,148,60,7,322,329,
IV,2,422,422-C,137,142,48,7,327,334,
IV,3,423,423-B,38,113,54,7,205,212,
IV,4,423,423-C,43,106,52,17,201,218,
IV,5,423,423-X,98,161,72,7,331,338,
IV,6,429,429-B,93,147,54,14,294,308,
IV,7,429,429-C,94,123,72,19,289,308,
IV,8,429,429-X,52,140,144,14,336,350,
IV,9,430,430-B,124,195,45,14,364,378,
IV,10,431,431-B,104,134,36,8,274,282,
IV,11,431,431-C,56,130,37,42,223,265,
IV,12,432,432-B,124,206,79,17,409,426,
IV,13,433,433-B,105,168,45,16,318,334,
IV,14,433,433-C,85,169,80,13,334,347,
IV,15,434,434-B,6,27,8,2,41,43,
IV,16,435,435-B,58,146,55,21,259,280,
IV,17,436,436-B,64,130,91,7,285,292,
IV,18,437,437-B,101,201,36,6,338,344,
IV,19,437,437-C,107,210,32,7,349,356,
IV,20,438,438-B,106,147,70,9,323,332,
IV,21,438,438-C,89,116,80,8,285,293,
IV,22,439,439-B,33,136,192,11,361,372,
IV,23,439,439-C,52,126,163,12,341,353,
IV,24,440,440-B,95,127,123,10,345,355,
IV,25,441,441-B,69,104,130,13,303,316,
IV,26,441,441-C,79,96,109,11,284,295,
IV,27,442,442-B,48,58,31,5,137,142,
IV,28,443,443-B,131,71,18,13,220,233,
IV,29,444,444-B,105,63,88,17,256,273,
IV,30,445,445-B,44,15,88,6,147,153,
IV,31,446,446-B,82,64,71,217,217,434,
IV,32,446,446-C,82,46,55,6,183,189,
IV,33,447,447-B,51,71,77,5,199,204,
IV,34,450,450-B,32,130,56,56,218,274,
,,,,,,,,,,
V,1,384,384-B,119,156,64,12,339,351,
V,2,385,385-B,26,92,107,5,225,230,
V,3,385,385-C,27,113,123,4,263,267,
V,4,386,386-B,80,86,35,7,201,208,
V,5,387,387-B,70,94,111,25,275,300,
V,6,388,388-B,29,122,129,8,280,288,
V,7,389,389-B,155,149,83,17,387,404,
