CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,TIPO_CASILLA,ID_CASILLA,EXT_CONTIGUA,CASILLA,PAN,PRI,PRD,PVEM,PT,MC,NA,MORENA,ES,PAN_PRD_MC,PAN_PRD,PAN_MC,PRD_MC,PT_MORENA,CAND_IND10,CAND_IND11,CAND_IND12,CAND_IND13,CAND_IND14,CAND_IND15,CAND_IND16,CAND_IND17,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,ESTATUS_ACTA,TRIBUNAL,OBSERVACIONES,RUTA_ACTA
,27,TABASCO,1,TENOSIQUE,1,BALANCAN,1,B,1,0,B,7,84,28,62,,13,1,169,58,0,0,0,0,,24,,,,,,,,446,0,29,475,667,Acta casilla,,,http://iepct.mx/elecciones2018/PMR/1/PMR_0001_B.jpg
,27,TABASCO,1,TENOSIQUE,1,BALANCAN,1,C,1,0,C01,9,92,32,56,,7,2,136,32,0,0,0,4,,26,,,,,,,,396,0,14,410,667,Acta casilla,,,http://iepct.mx/elecciones2018/PMR/1/PMR_0001_C01.jpg
,27,TABASCO,1,TENOSIQUE,1,BALANCAN,1,C,2,0,C02,4,82,24,57,,12,5,162,48,1,0,0,1,,22,,,,,,,,418,0,30,448,666,Acta casilla,,,http://iepct.mx/elecciones2018/PMR/1/PMR_0001_C02.jpg
,27,TABASCO,1,TENOSIQUE,1,BALANCAN,1,C,3,0,C03,5,75,29,76,,8,4,153,55,0,0,0,0,,18,,,,,,,,423,0,14,437,666,Acta casilla,,,http://iepct.mx/elecciones2018/PMR/1/PMR_0001_C03.jpg
,27,TABASCO,1,TENOSIQUE,1,BALANCAN,2,B,1,0,B,6,84,13,85,,12,4,135,55,0,0,0,0,,22,,,,,,,,416,0,16,432,649,Acta casilla,,,http://iepct.mx/elecciones2018/PMR/1/PMR_0002_B.jpg
,27,TABASCO,1,TENOSIQUE,1,BALANCAN,2,C,1,0,C01,6,86,27,91,,6,5,146,47,1,0,0,0,,28,,,,,,,,443,0,21,464,649,Acta casilla,,,http://iepct.mx/elecciones2018/PMR/1/PMR_0002_C01.jpg
,27,TABASCO,1,TENOSIQUE,1,BALANCAN,2,C,2,0,C02,5,78,25,107,,10,4,128,46,1,0,0,1,,24,,,,,,,,429,0,15,444,648,Acta casilla,,,http://iepct.mx/elecciones2018/PMR/1/PMR_0002_C02.jpg
,27,TABASCO,1,TENOSIQUE,1,BALANCAN,3,B,1,0,B,2,80,17,67,,5,3,116,54,0,0,0,0,,24,,,,,,,,368,0,13,381,549,Acta casilla,,,http://iepct.mx/elecciones2018/PMR/1/PMR_0003_B.jpg
,27,TABASCO,1,TENOSIQUE,1,BALANCAN,3,C,1,0,C01,5,97,13,53,,2,3,138,48,0,0,0,0,,21,,,,,,,,380,0,10,390,549,Acta casilla,,,http://iepct.mx/elecciones2018/PMR/1/PMR_0003_C01.jpg
,27,TABASCO,1,TENOSIQUE,1,BALANCAN,4,B,1,0,B,2,65,29,88,,6,1,132,39,0,0,1,1,,18,,,,,,,,382,0,12,394,531,Acta casilla,,,http://iepct.mx/elecciones2018/PMR/1/PMR_0004_B.jpg
