ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,NA,MORENA,ES,CAND_IND10,CAND_IND11,CAND_IND12,CAND_IND13,CAND_IND14,CAND_IND15,CAND_IND16,CAND_IND17,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
27,TABASCO,1,BALANCAN,44,81,337,5324,1277,5448,,583,194,8681,4755,852,,,,,,,,27451,49,1466,28966,40024,http://iepct.mx/elecciones2018/PMR/1.pdf
27,TABASCO,2,CARDENAS,122,302,815,6308,27421,1422,1699,1402,879,69365,801,,,,,,,,,110112,47,4326,114485,172275,http://iepct.mx/elecciones2018/PMR/2.pdf
27,TABASCO,3,CENTLA,64,135,1319,6650,13232,827,611,1146,632,18896,7328,,570,,,,,,,51211,16,2453,53680,72426,http://iepct.mx/elecciones2018/PMR/3.pdf
27,TABASCO,4,CENTRO,278,824,11625,34601,23585,8879,8949,13381,4056,228552,,,,,,,,,,333628,247,8261,342136,505368,http://iepct.mx/elecciones2018/PMR/4.pdf
27,TABASCO,5,COMALCALCO,97,259,1195,16078,28454,1622,787,1220,1025,55563,704,,,,,,,,,106648,16,3196,109860,148837,http://iepct.mx/elecciones2018/PMR/5.pdf
27,TABASCO,6,CUNDUACAN,59,154,1517,6287,10357,1298,1257,1679,528,25651,381,,,8426,,,,,,57381,8,2728,60117,91994,http://iepct.mx/elecciones2018/PMR/6.pdf
27,TABASCO,7,EMILIANO ZAPATA,16,41,3826,1275,487,5143,766,782,53,3483,,,,,,,,,,15815,2,786,16603,22973,http://iepct.mx/elecciones2018/PMR/7.pdf
27,TABASCO,8,HUIMANGUILLO,97,238,626,14979,29481,873,1079,1001,490,37096,503,,,,,,,,,86128,53,4820,91001,128545,http://iepct.mx/elecciones2018/PMR/8.pdf
27,TABASCO,9,JALAPA,28,54,173,3548,3947,4833,,247,313,5471,204,,,,278,,,,,19014,0,896,19910,27884,http://iepct.mx/elecciones2018/PMR/9.pdf
27,TABASCO,10,JALPA DE MENDEZ,37,100,275,6649,7025,5621,673,581,639,21963,,,,,,3323,,,,46749,25,1745,48519,62418,http://iepct.mx/elecciones2018/PMR/10.pdf
27,TABASCO,11,JONUTA,26,47,89,601,7321,86,,162,5770,4649,,,,,,,,,,18678,2,656,19336,22847,http://iepct.mx/elecciones2018/PMR/11.pdf
27,TABASCO,12,MACUSPANA,82,202,1217,3679,8022,11870,893,1044,490,38877,3993,,,,,,,1756,,71841,142,3538,75521,116099,http://iepct.mx/elecciones2018/PMR/12.pdf
27,TABASCO,13,NACAJUCA,37,144,3198,3071,5251,12057,1036,1391,521,38386,351,,,,,,,,,65262,38,2728,68028,92145,http://iepct.mx/elecciones2018/PMR/13.pdf
27,TABASCO,14,PARAISO,45,117,801,4117,11790,891,425,769,645,23437,181,,,,,,3189,,,46245,91,1747,48083,68267,http://iepct.mx/elecciones2018/PMR/14.pdf
27,TABASCO,15,TACOTALPA,27,64,387,2350,2246,4809,266,3166,454,7564,446,,,,,,,,817,22505,2,1400,23907,33033,http://iepct.mx/elecciones2018/PMR/15.pdf
27,TABASCO,16,TEAPA,26,68,264,4324,1921,5181,413,545,3817,8202,503,,,,,,,,,25170,3,1404,26577,39754,http://iepct.mx/elecciones2018/PMR/16.pdf
27,TABASCO,17,TENOSIQUE,44,82,205,10779,1539,1329,,388,166,14716,228,,,,,,,,,29350,3,1013,30366,42729,http://iepct.mx/elecciones2018/PMR/17.pdf
