ID_ESTADO,ESTADO,ID_DISTRITO,DISTRITO,ID_MUNICIPIO,MUNICIPIO,SECCION,ID_CASILLA,TIPO_CASILLA,EXT_CONTIGUA,UBICACION_CASILLA,TIPO_ACTA,NUM_BOLETAS_SOBRANTES,TOTAL_CIUDADANOS_VOTARON,NUM_BOLETAS_EXTRAIDAS,PAN,PRI,PRD,PVEM,PT,MC,NO_REGISTRADOS,NULOS,TOTAL_VOTOS,LISTA_NOMINAL,OBSERVACIONES,CONTABILIZADA,CRYT,SHA,HORA_ACOPIO,HORA_CAPTURA,HORA_REGISTRO  
13,HIDALGO,9,Metepec,45,Omitlán de Juárez,812,0812B,BASICA,,0,AYUNTAMIENTO,139,405,405,7,207,14,144,11,18,0,4,405,532,,1,,2d8e21c3633c7fac8b387f0a42916ff32125029d78f9f6ef65198a9a83dd1b67,4/12/2016 20:32,4/12/2016 20:46,4/12/2016 20:46
13,HIDALGO,9,Metepec,45,Omitlán de Juárez,812,0812C01,CONTIGUA 1,,0,AYUNTAMIENTO,131,544,413,6,195,12,146,14,35,0,5,413,532,,1,,954d548f375adb3292face836ec05f52b30aa5803f1331ad9a7f997e840032cd,4/12/2016 20:34,4/12/2016 20:49,4/12/2016 20:49
13,HIDALGO,9,Metepec,45,Omitlán de Juárez,812,0812C02,CONTIGUA 2,,0,AYUNTAMIENTO,154,389,389,2,171,11,169,10,19,0,7,389,531,,1,,6462b79a5e8dd4c17c1167c3d8b0cfb51f5be9168ba81a9af36d30016ed385bc,4/12/2016 19:54,4/12/2016 21:22,4/12/2016 21:22
13,HIDALGO,9,Metepec,45,Omitlán de Juárez,813,0813B,BASICA,,0,AYUNTAMIENTO,185,385,385,22,127,50,164,14,4,0,4,385,558,,1,,7d3fbb06968c56f19b1189d8c5b0c9adad7f5f92937be2eee393f5cc6ae3c8fc,4/12/2016 21:03,4/12/2016 21:13,4/12/2016 21:13
13,HIDALGO,9,Metepec,45,Omitlán de Juárez,813,0813C01,CONTIGUA 1,,0,AYUNTAMIENTO,185,384,384,9,143,42,157,21,10,0,2,384,557,,1,,34d6dd629db9b3be7431edaaa9a59d2461f8ca29d9f165cc80fb449d05bddffa,4/12/2016 21:04,4/12/2016 21:18,4/12/2016 21:18
13,HIDALGO,9,Metepec,45,Omitlán de Juárez,814,0814B,BASICA ,,0,AYUNTAMIENTO,127,280,280,11,116,11,122,13,1,1,5,280,395,,1,,a252b74471614ca34593e00424c5462afbfd3ed722627c39608e59040acaed2d,4/12/2016 20:24,4/12/2016 20:36,4/12/2016 20:36
13,HIDALGO,9,Metepec,45,Omitlán de Juárez,815,0815B,BASICA ,,0,AYUNTAMIENTO,128,401,401,4,159,6,181,23,19,0,9,401,517,,1,,845c5988cd23f4c8aa9125a472c89ddb973fe2e2b7cdc4dda1b85df5d6b22e6b,4/12/2016 20:38,4/12/2016 20:56,4/12/2016 20:56
13,HIDALGO,9,Metepec,45,Omitlán de Juárez,816,0816B,BASICA,,0,AYUNTAMIENTO,149,397,397,3,161,7,120,93,9,0,4,397,534,,1,,24935bde4b2f2f42468dacd41fd5b0d86756dadbe735b59c268843b279b5591c,4/12/2016 19:49,4/12/2016 20:00,4/12/2016 20:00
13,HIDALGO,9,Metepec,45,Omitlán de Juárez,817,0817B,BASICA,,0,AYUNTAMIENTO,189,463,463,3,213,22,210,3,6,0,7,464,641,,1,,8479a8e395f352a112858e8c285fb5b78e09cb4a7837c5c35205f80416050794,4/12/2016 20:47,4/12/2016 20:58,4/12/2016 20:58
13,HIDALGO,9,Metepec,45,Omitlán de Juárez,818,0818B,BASICA,,0,AYUNTAMIENTO,164,167,309,7,143,2,139,11,1,0,6,309,460,,1,,189b0407c8b082c73b5a2428db43dfce44a3ceeeb274431b407df086674363b1,4/12/2016 20:51,4/12/2016 21:06,4/12/2016 21:06
13,HIDALGO,9,Metepec,45,Omitlán de Juárez,818,0818C01,CONTIGUA 1,,0,AYUNTAMIENTO,139,332,332,4,145,2,157,15,2,0,7,332,460,,1,,8056ec64215aff9535dcdc0913174c1f705c5e0942844a705e93bb6443eb6c9b,4/12/2016 20:49,4/12/2016 21:01,4/12/2016 21:01
13,HIDALGO,9,Metepec,45,Omitlán de Juárez,819,0819B,BASICA,,0,AYUNTAMIENTO,146,401,401,2,234,3,133,21,5,0,3,401,535,,1,,f550181be025ea4e86960030fb21938b961c39e2bbd59971408f818c98d86f9f,4/12/2016 20:30,4/12/2016 20:38,4/12/2016 20:38
13,HIDALGO,9,Metepec,45,Omitlán de Juárez,820,0820B,BASICA,,0,AYUNTAMIENTO,91,269,269,1,117,2,116,12,14,0,7,269,348,,1,,6a4f6646a2c25f9014502811d2c2c36ab4573fe8ac6963cee598bd81fa8ecf27,4/12/2016 20:10,4/12/2016 20:27,4/12/2016 20:27
13,HIDALGO,9,Metepec,45,Omitlán de Juárez,821,0821B,BASICA,,0,AYUNTAMIENTO,61,197,197,0,119,2,71,4,0,0,1,197,246,,1,,c104ebcdfe9b62f9d3e15cd32d5695b93eba73e369243d419eda3099a6a52c42,4/12/2016 19:24,4/12/2016 21:26,4/12/2016 21:26
