CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,NA,MORENA,ES,PAN_MC,PRI_PVEM_NA,PRI_PVEM,PRI_NA,PVEM_NA,PT_MORENA_ES,PT_MORENA,PT_ES,MORENA_ES,CAND_IND1,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
,31,YUCATAN,9,PROGRESO,52,MOTUL,671,1,103,237,32,111,5,2,57,65,3,0,0,0,1,0,0,0,0,1,,617,0,28,645,728
,31,YUCATAN,9,PROGRESO,52,MOTUL,672,1,82,175,34,53,2,5,17,49,1,0,0,0,1,0,0,0,0,0,,419,0,25,444,515
,31,YUCATAN,9,PROGRESO,52,MOTUL,673,1,24,35,2,36,0,5,19,16,0,0,0,0,0,0,0,0,0,0,,137,0,10,147,159
,31,YUCATAN,9,PROGRESO,52,MOTUL,674,2,269,329,24,148,7,10,91,144,8,1,0,0,1,0,1,1,0,0,,1034,0,47,1081,1296
,31,YUCATAN,9,PROGRESO,52,MOTUL,675,1,60,71,2,31,5,2,9,18,1,1,0,0,1,0,0,0,0,0,,201,4,0,205,220
,31,YUCATAN,9,PROGRESO,52,MOTUL,676,2,288,304,48,157,17,12,88,141,6,1,0,0,1,0,1,0,0,0,,1064,0,45,1109,1500
,31,YUCATAN,9,PROGRESO,52,MOTUL,677,3,457,569,25,249,11,16,71,175,12,2,0,0,0,0,4,0,0,2,,1593,0,55,1648,1934
,31,YUCATAN,9,PROGRESO,52,MOTUL,678,1,104,139,6,103,5,3,35,73,2,2,0,0,0,0,1,1,0,0,,474,0,25,499,555
,31,YUCATAN,9,PROGRESO,52,MOTUL,679,2,181,290,4,125,10,10,26,74,5,0,0,0,1,0,0,0,0,0,,726,0,34,760,817
,31,YUCATAN,9,PROGRESO,54,MUXUPIP,687,1,130,176,1,7,1,7,230,90,3,0,0,0,1,0,0,0,0,0,,646,0,10,656,750
,31,YUCATAN,9,PROGRESO,54,MUXUPIP,688,2,289,314,5,22,1,10,344,178,5,8,0,0,1,0,0,0,0,0,,1177,0,27,1204,1324
,31,YUCATAN,9,PROGRESO,54,MUXUPIP,689,1,142,100,1,4,2,0,83,20,1,0,0,0,0,0,0,0,0,0,,353,0,8,361,285
,31,YUCATAN,9,PROGRESO,59,PROGRESO,734,2,280,506,4,5,13,6,8,94,7,6,0,0,6,0,2,1,0,1,,939,0,28,967,1171
,31,YUCATAN,9,PROGRESO,59,PROGRESO,735,1,104,154,1,2,2,4,3,34,1,1,0,0,0,0,0,0,0,0,,306,0,11,317,401
,31,YUCATAN,9,PROGRESO,59,PROGRESO,736,1,95,128,0,4,2,2,2,34,5,5,0,0,1,0,0,0,0,0,,278,0,10,288,381
,31,YUCATAN,9,PROGRESO,59,PROGRESO,737,4,434,735,3,12,8,7,7,134,10,15,0,0,5,0,3,0,0,4,,1377,2,61,1440,1877
,31,YUCATAN,9,PROGRESO,59,PROGRESO,738,1,80,156,0,2,2,1,2,35,2,2,0,0,2,0,0,0,0,0,,284,0,25,309,448
,31,YUCATAN,9,PROGRESO,59,PROGRESO,739,3,345,487,9,8,17,11,13,223,7,9,0,0,6,0,1,2,0,3,,1141,0,35,1176,1884
,31,YUCATAN,9,PROGRESO,59,PROGRESO,740,4,486,517,9,14,14,11,12,301,10,11,0,0,1,0,7,4,0,2,,1399,1,58,1458,2408
,31,YUCATAN,9,PROGRESO,59,PROGRESO,741,4,455,656,9,13,14,18,17,282,6,14,0,0,8,0,8,3,0,9,,1512,0,75,1587,2422
,31,YUCATAN,9,PROGRESO,59,PROGRESO,742,2,244,489,4,6,19,12,15,210,12,2,0,0,7,0,9,3,0,3,,1035,0,26,1061,1448
,31,YUCATAN,9,PROGRESO,59,PROGRESO,743,1,137,185,0,10,2,1,5,134,7,4,0,0,3,0,2,2,0,0,,492,1,21,514,734
,31,YUCATAN,9,PROGRESO,59,PROGRESO,744,1,122,228,2,11,3,2,9,92,5,3,0,0,1,0,2,0,3,0,,483,0,14,497,683
,31,YUCATAN,9,PROGRESO,59,PROGRESO,745,2,172,265,4,4,7,6,7,126,4,2,0,0,2,0,1,0,0,2,,602,0,23,625,930
,31,YUCATAN,9,PROGRESO,59,PROGRESO,746,2,262,324,4,8,14,7,11,207,8,5,0,0,10,0,6,1,0,3,,870,0,28,898,1376
,31,YUCATAN,9,PROGRESO,59,PROGRESO,747,2,172,294,4,8,13,4,4,149,1,1,0,0,2,0,1,1,0,1,,655,0,23,678,1030
,31,YUCATAN,9,PROGRESO,59,PROGRESO,748,3,393,491,12,8,12,17,23,266,20,8,0,0,5,0,7,5,0,2,,1269,0,49,1318,2156
,31,YUCATAN,9,PROGRESO,59,PROGRESO,749,3,369,546,6,10,19,13,14,177,18,19,0,0,4,0,2,1,0,2,,1200,0,61,1261,1815
,31,YUCATAN,9,PROGRESO,59,PROGRESO,750,2,287,372,8,9,18,10,13,141,2,8,0,0,5,0,2,1,0,1,,877,0,47,924,1398
,31,YUCATAN,9,PROGRESO,59,PROGRESO,752,1,67,48,1,2,3,2,0,23,0,0,0,0,1,0,1,0,0,0,,148,0,0,148,212
,31,YUCATAN,9,PROGRESO,59,PROGRESO,753,5,489,1064,23,17,33,26,22,364,26,12,0,0,13,0,10,5,2,2,,2108,0,105,2213,3747
,31,YUCATAN,9,PROGRESO,59,PROGRESO,754,4,413,748,22,17,20,18,26,373,26,10,0,0,5,0,13,6,1,5,,1703,2,71,1776,2787
,31,YUCATAN,9,PROGRESO,59,PROGRESO,755,3,284,605,11,14,11,10,18,205,12,4,0,0,10,0,11,1,0,1,,1197,0,44,1241,1897
,31,YUCATAN,9,PROGRESO,59,PROGRESO,756,3,107,147,4,6,4,1,6,69,2,1,0,0,1,0,1,0,0,0,,349,0,13,362,994
,31,YUCATAN,9,PROGRESO,59,PROGRESO,757,3,301,583,8,10,14,9,13,265,11,4,0,0,8,0,8,2,0,0,,1236,0,58,1294,1968
,31,YUCATAN,9,PROGRESO,59,PROGRESO,758,3,471,569,11,14,23,8,9,235,13,6,0,0,4,0,2,2,0,2,,1369,0,29,1398,2164
,31,YUCATAN,9,PROGRESO,59,PROGRESO,759,1,39,37,3,3,3,2,6,70,3,0,0,0,1,0,1,60,0,0,,228,0,6,234,408
,31,YUCATAN,9,PROGRESO,59,PROGRESO,760,3,279,413,7,15,13,8,14,190,6,7,0,0,10,0,3,3,2,3,,973,9,20,1002,1706
,31,YUCATAN,9,PROGRESO,59,PROGRESO,761,3,274,371,15,8,20,13,18,189,11,11,0,0,4,0,10,0,0,1,,945,0,12,957,1674
