ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,CABECERA_DISTRITAL,SECCIONES,CASILLAS,PAN,PRD,MORENA,ES,PRI_PT_PVEM_NVA_ALIANZA,CAND_IND1,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,PARTICIPACION
1,AGUASCALIENTES,1,RINCON DE ROMOS,26,74,11862,446,551,537,10719,392,31,24507,605,25143,46287,0.5432
1,AGUASCALIENTES,2,EL LLANO,25,77,9886,1524,482,314,17741,481,5,30428,782,31215,46299,0.6742
1,AGUASCALIENTES,3,PABELLON DE ARTEAGA,27,72,10143,3664,516,328,13581,445,24,28677,794,29495,43691,0.6751
1,AGUASCALIENTES,4,SAN FRANCISCO DE LOS ROMO,16,77,10530,1108,807,466,11838,776,56,25525,567,26148,51633,0.5064
1,AGUASCALIENTES,5,AGUASCALIENTES,18,70,9245,1185,889,355,8011,894,27,20579,520,21126,46255,0.4567
1,AGUASCALIENTES,6,AGUASCALIENTES,37,97,18070,1002,938,345,9986,1023,44,31364,1006,32414,55381,0.5853
1,AGUASCALIENTES,7,JESUS MARIA,16,75,10690,719,601,349,10934,648,38,23942,510,24489,49193,0.4978
1,AGUASCALIENTES,8,CALVILLO,38,85,14527,1611,585,289,10825,427,24,28264,752,29040,50515,0.5749
1,AGUASCALIENTES,9,AGUASCALIENTES,37,90,10480,1322,845,448,9710,710,66,23515,702,24283,52294,0.4644
1,AGUASCALIENTES,10,AGUASCALIENTES,43,95,14790,1195,906,360,9849,879,60,27979,692,28731,54026,0.5318
1,AGUASCALIENTES,11,AGUASCALIENTES,72,112,15195,1379,1161,360,11685,845,65,30625,752,31442,57291,0.5488
1,AGUASCALIENTES,12,AGUASCALIENTES,16,68,6141,1014,526,323,8359,436,17,16799,420,17236,44877,0.3841
1,AGUASCALIENTES,13,AGUASCALIENTES,33,88,9711,1245,967,412,9510,759,43,22604,615,23262,48844,0.4763
1,AGUASCALIENTES,14,AGUASCALIENTES,32,84,11654,1425,1277,454,10154,976,45,25940,702,26687,51918,0.514
1,AGUASCALIENTES,15,AGUASCALIENTES,41,90,8470,1502,1115,487,9800,710,65,21814,669,22818,49606,0.46
1,AGUASCALIENTES,16,AGUASCALIENTES,36,75,6864,1016,760,425,7904,564,38,17532,453,18023,41517,0.4341
1,AGUASCALIENTES,17,AGUASCALIENTES,63,109,15726,1496,1008,414,9997,951,58,29592,723,30373,55892,0.5434
1,AGUASCALIENTES,18,AGUASCALIENTES,24,80,9433,1000,875,356,9250,806,30,21720,576,22326,48117,0.464
1,AGUASCALIENTES,VOTO EN EL EXTRANJERO,NO APLICA,NO APLICA,NO APLICA,18,1,2,0,8,2,0,31,0,31,129,0.2403
