ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,NVA_ALIANZA,MORENA,PH,ES,PFD,PRI_PVEM,CAND_IND9,CAND_IND10,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,PARTICIPACION
15,MEXICO,1,ACAMBAY DE RUIZ CASTAÑEDA,32,82,7201,11146,842,902,450,207,1207,789,197,361,46,143,0,0,13,23491,1066,24570,43206,0.5687
15,MEXICO,2,ACOLMAN,26,114,2492,18026,6792,1040,1293,1144,1259,3620,931,2412,193,168,0,0,41,39370,1429,40840,72755,0.5613
15,MEXICO,3,ACULCO,23,57,2078,11344,2292,481,532,123,539,844,178,290,30,179,0,0,6,18910,819,19735,30662,0.6436
15,MEXICO,4,ALMOLOYA DE ALQUISIRAS,12,23,3789,3942,149,32,222,37,36,84,135,19,27,0,0,0,0,8472,215,8687,11259,0.7716
15,MEXICO,5,ALMOLOYA DE JUAREZ,57,171,7151,19700,6784,2734,7216,1973,2654,2131,2646,1782,332,666,0,0,27,55769,2338,58134,103614,0.5611
15,MEXICO,6,ALMOLOYA DEL RIO,5,13,760,1948,1075,44,342,30,73,228,72,604,16,6,0,0,4,5198,250,5452,7737,0.7047
15,MEXICO,7,AMANALCO,10,28,2301,4658,587,63,3407,64,214,191,48,75,7,27,0,0,7,11642,331,11980,16143,0.7421
15,MEXICO,8,AMATEPEC,27,46,2263,5323,6399,134,69,18,97,219,20,24,8,58,0,0,20,14632,595,15247,20617,0.7395
15,MEXICO,9,AMECAMECA,26,65,2747,8474,1964,576,482,1253,430,1509,332,3025,619,80,0,0,11,21491,925,22427,36762,0.6101
15,MEXICO,10,APAXCO,14,33,3164,4056,244,182,355,1859,311,417,146,973,31,164,0,0,13,11902,401,12316,19755,0.6234
15,MEXICO,11,ATENCO,14,55,1032,6726,1608,376,3042,401,446,4262,625,782,78,165,0,0,8,19543,707,20258,36365,0.5571
15,MEXICO,12,ATIZAPAN,3,13,360,1398,278,58,436,52,259,1538,0,88,33,4,0,0,1,4504,207,4712,7460,0.6316
15,MEXICO,13,ATIZAPAN DE ZARAGOZA,167,594,53220,40362,6808,5353,2239,4719,5598,16945,4222,9686,954,1087,0,0,327,151193,8582,160102,378410,0.4231
15,MEXICO,14,ATLACOMULCO,39,118,5155,14913,1262,815,5157,1410,1580,1921,609,1135,168,173,0,0,53,34298,1584,35935,69062,0.5203
15,MEXICO,15,ATLAUTLA,13,31,2942,4505,690,152,154,1262,105,839,78,664,662,17,0,0,3,12070,330,12403,19214,0.6455
15,MEXICO,16,AXAPUSCO,20,32,2923,4698,1287,110,1929,52,411,367,172,192,13,6,0,0,2,12160,255,12417,16671,0.7448
15,MEXICO,17,AYAPANGO,5,9,297,1607,838,63,105,514,31,165,29,79,35,7,0,0,0,3770,104,3874,5144,0.7531
15,MEXICO,18,CALIMAYA,16,53,4480,7860,691,309,3230,402,432,1031,1304,401,79,283,0,0,9,20502,721,21232,32458,0.6541
15,MEXICO,19,CAPULHUAC,12,37,1923,3423,2379,171,585,360,347,767,0,805,118,14,0,0,5,10892,404,11301,22525,0.5017
15,MEXICO,20,COACALCO DE BERRIOZABAL,106,339,17208,25011,17002,4329,1682,4623,3389,13943,3222,7527,831,1062,0,0,254,99829,4773,104856,215406,0.4868
15,MEXICO,21,COATEPEC HARINAS,19,47,3707,8994,583,155,2274,53,112,1110,0,36,25,70,0,0,3,17119,454,17576,24805,0.7086
15,MEXICO,22,COCOTITLAN,6,17,555,2058,2052,104,435,519,131,675,0,392,140,22,0,0,1,7083,268,7352,10609,0.693
15,MEXICO,23,COYOTEPEC,11,51,3936,3735,1178,267,829,1595,344,1326,1041,1123,949,27,0,0,19,16350,472,16841,33615,0.501
15,MEXICO,24,CUAUTITLAN,27,113,10449,10117,3547,765,1286,1055,1125,3559,884,2118,230,232,0,0,96,35367,1495,36958,72832,0.5074
