ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,PAN,PRI,PRD,PT,PVEM,NVA_ALIANZA,PCPP,PSI,MORENA,ES,PAN_PT_NVA_ALIANZA_PCPP_PSI,PAN_PT_NVA_ALIANZA_PCPP,PAN_PT_NVA_ALIANZA_PSI,PAN_PT_PCPP_PSI,PAN_NVA_ALIANZA_PCPP_PSI,PT_NVA_ALIANZA_PCPP_PSI,PAN_PT_NVA_ALIANZA,PAN_PT_PCPP,PAN_PT_PSI,PAN_NVA_ALIANZA_PCPP,PAN_NVA_ALIANZA_PSI,PAN_PCPP_PSI,PT_NVA_ALIANZA_PCPP,PT_NVA_ALIANZA_PSI,PT_PCPP_PSI,NVA_ALIANZA_PCPP_PSI,PAN_PT,PAN_NVA_ALIANZA,PAN_PCPP,PAN_PSI,PT_NVA_ALIANZA,PT_PCPP,PT_PSI,NVA_ALIANZA_PCPP,NVA_ALIANZA_PSI,PCPP_PSI,PRI_PVEM_ES,PRI_PVEM,PRI_ES,PVEM_ES,CAND_IND1,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,PARTICIPACION
21,PUEBLA,001,ACAJETE,19,64,3332,4655,883,213,483,492,257,1359,1419,38,39,4,5,5,4,3,5,2,6,10,8,7,1,4,0,0,12,47,31,69,4,0,16,1,5,8,54,211,12,3,210,7,13924,378,14302,41836,0.3419
21,PUEBLA,002,ACATENO,8,14,1581,1588,27,43,133,40,7,14,200,11,4,1,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,5,2,0,0,0,1,0,0,0,8,39,1,1,43,1,3753,121,3874,6446,0.6010
21,PUEBLA,003,ACATLAN,17,52,3652,5015,182,303,127,481,414,42,1254,61,37,12,7,3,5,0,11,3,2,12,1,0,0,4,0,0,29,67,20,1,5,0,4,10,5,2,58,174,7,2,188,6,12206,406,12612,27791,0.4538
21,PUEBLA,004,ACATZINGO,16,52,4354,4950,574,240,138,442,269,86,1015,66,22,11,9,0,3,2,7,2,0,11,2,1,0,0,1,0,30,69,37,10,1,0,2,3,0,1,42,262,15,5,222,12,12916,322,13238,33461,0.3956
21,PUEBLA,005,ACTEOPAN,3,4,349,473,22,146,25,31,54,8,10,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,13,0,1,5,1,0,0,1,2,25,0,0,12,1,1187,51,1238,2262,0.5473
21,PUEBLA,006,AHUACATLAN,7,19,1731,1612,767,63,34,159,186,77,132,11,3,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,3,12,3,2,1,0,0,0,2,0,4,56,1,0,24,0,4889,270,5159,9953,0.5183
21,PUEBLA,007,AHUATLAN,4,6,499,481,11,8,11,21,20,27,26,1,0,1,1,1,1,1,0,0,0,0,0,2,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,16,0,1,4,0,1137,16,1153,2662,0.4331
21,PUEBLA,008,AHUAZOTEPEC,4,13,878,1124,28,28,639,100,48,7,135,14,8,0,2,0,1,0,1,0,0,2,0,0,0,0,0,0,0,19,0,1,0,0,3,0,1,0,4,62,3,1,41,0,3150,160,3310,7166,0.4619
21,PUEBLA,009,AHUEHUETITLA,1,4,112,358,4,15,4,16,10,0,66,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,19,0,0,3,1,616,8,624,1863,0.3349
21,PUEBLA,010,AJALPAN,22,69,4906,6264,481,193,279,6323,1687,406,1031,65,21,21,1,0,2,2,5,2,2,12,4,3,0,4,0,3,9,186,182,4,12,1,16,15,14,3,25,103,4,8,186,6,22491,899,23390,38978,0.6001
21,PUEBLA,011,ALBINO ZERTUCHE,1,2,292,374,8,1,5,7,4,0,25,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,25,1,0,0,0,744,11,755,1472,0.5129
21,PUEBLA,012,ALJOJUCA,4,9,962,690,50,143,45,18,33,183,87,8,1,0,3,1,1,0,0,0,1,0,0,0,0,0,0,0,6,3,2,1,0,0,0,0,0,0,4,24,1,0,47,0,2314,73,2387,4886,0.4885
21,PUEBLA,013,ALTEPEXI,6,20,1661,1501,135,28,51,354,550,93,632,15,6,2,1,0,2,0,3,2,0,5,0,1,0,0,1,0,2,34,116,1,2,0,2,4,1,2,8,60,3,11,43,2,5334,104,5438,12995,0.4185
21,PUEBLA,014,AMIXTLAN,3,7,384,795,60,29,30,47,477,18,55,3,0,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,3,4,0,3,0,1,0,1,0,4,19,0,0,23,1,1962,89,2051,3402,0.6029
21,PUEBLA,015,AMOZOC,18,96,10060,5426,858,383,637,415,1175,1529,2633,197,206,18,22,8,19,2,14,2,7,29,14,14,0,4,0,1,42,127,90,86,7,2,26,6,2,8,143,249,24,34,788,29,25336,939,26275,62306,0.4217
21,PUEBLA,016,AQUIXTLA,5,9,1241,1753,35,30,35,43,26,90,48,5,4,0,0,1,2,0,1,1,0,4,0,0,0,0,0,0,5,15,8,2,0,0,2,0,2,3,6,105,0,0,43,4,3514,153,3667,5731,0.6399
21,PUEBLA,017,ATEMPAN,9,28,2761,4193,95,134,102,141,786,252,727,26,13,7,6,0,2,0,4,0,2,1,2,3,1,0,1,1,10,20,21,6,3,0,2,0,0,4,32,132,5,4,91,5,9595,380,9975,17043,0.5853
21,PUEBLA,018,ATEXCAL,6,7,595,545,38,23,20,114,13,9,42,3,1,0,1,0,0,0,0,0,0,4,1,0,0,0,0,0,1,3,1,0,0,0,1,0,0,0,2,15,1,0,11,2,1446,44,1490,2704,0.5510
21,PUEBLA,019,ATLIXCO,68,169,14431,10070,1233,291,578,920,488,75,5612,230,75,18,14,5,11,1,10,6,3,30,2,3,0,1,0,0,18,141,80,8,2,1,4,4,1,1,127,389,39,11,1842,65,36840,1671,38511,101002,0.3813
21,PUEBLA,020,ATOYATEMPAN,2,7,405,862,97,35,15,16,77,6,224,7,2,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,3,2,2,3,0,0,0,1,0,0,6,40,3,11,44,0,1864,56,1920,4665,0.4116
21,PUEBLA,021,ATZALA,1,2,86,318,6,13,5,4,161,3,6,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,3,19,2,0,3,0,635,22,657,1041,0.6311
21,PUEBLA,022,ATZITZIHUACAN,9,17,1187,1645,635,80,77,40,266,31,144,6,7,1,0,1,0,0,0,0,0,2,2,0,0,0,0,0,7,7,9,2,0,0,1,0,0,2,9,61,2,2,20,0,4246,154,4400,8807,0.4996
