ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,CABECERA_DISTRITAL,SECCIONES,CASILLAS,PAN,PRI,PRD,PT,PVEM,NVA_ALIANZA,PCPP,PSI,MORENA,ES,CAND_IND1,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,PARTICIPACION
21,PUEBLA,01,XICOTEPEC DE JUAREZ,106,280,38883,30002,2512,1337,1388,1585,2402,1024,3779,390,915,35,84252,2977,87229,149158,0.5848
21,PUEBLA,02,HUAUCHINANGO DE DEGOLLADO,99,261,31255,23864,2715,2070,2929,2195,3797,843,5097,884,1187,79,76915,5260,82175,146538,0.5608
21,PUEBLA,03,ZACATLAN,96,275,31071,32349,1165,1239,2510,2546,2625,1732,4145,488,1900,56,81826,3573,85399,154485,0.5528
21,PUEBLA,04,ZACAPOAXTLA,116,273,26182,34101,3401,4060,2313,2635,2347,1250,4807,408,940,29,82473,3681,86154,152907,0.5634
21,PUEBLA,05,TLATLAUQUITEPEC,106,257,29064,33776,1228,1732,2294,1901,2217,958,5674,312,970,23,80149,3426,83575,146995,0.5686
21,PUEBLA,06,TEZIUTLAN,92,255,28789,27810,1360,774,2660,1987,959,1853,4422,358,1397,36,72405,2960,75365,152567,0.4940
21,PUEBLA,07,SAN MARTIN TEXMELUCAN DE LABASTIDA,88,267,20208,15892,2320,1705,1483,3389,998,2977,6509,506,2278,64,58329,2456,60785,166396,0.3653
21,PUEBLA,08,HUEJOTZINGO,80,255,17614,17442,4045,1233,1783,1519,1087,894,8044,426,2447,40,56574,1952,58526,162137,0.3610
21,PUEBLA,09,HEROICA PUEBLA DE ZARAGOZA,75,271,28428,14687,4042,944,725,1292,2387,262,9821,477,4900,85,68050,2668,70718,176739,0.4001
21,PUEBLA,10,HEROICA PUEBLA DE ZARAGOZA,123,320,31819,17077,3710,796,894,1500,1979,249,11112,476,5452,103,75167,3073,78240,189116,0.4137
21,PUEBLA,11,HEROICA PUEBLA DE ZARAGOZA,48,251,26066,17363,3089,722,980,1382,783,499,8469,458,3581,45,63437,2433,65870,167703,0.3928
21,PUEBLA,12,AMOZOC DE MOTA,69,251,20608,19777,2440,1476,1771,1412,2102,3717,6442,449,1369,44,61607,2003,63610,157651,0.4035
21,PUEBLA,13,TEPEACA,78,247,19824,22695,1978,964,1855,1772,1664,1369,4720,410,1097,26,58374,1865,60239,152120,0.3960
21,PUEBLA,14,CIUDAD SERDAN,108,270,25960,23605,2288,2173,1087,3249,2124,2785,4115,336,1246,34,69002,2622,71624,149996,0.4775
21,PUEBLA,15,TECAMACHALCO,74,234,15105,13396,1260,957,1349,1634,5030,6906,5018,724,1903,22,53304,2042,55346,145704,0.3799
21,PUEBLA,16,HEROICA PUEBLA DE ZARAGOZA,128,319,31255,20630,3616,704,1041,1759,1968,187,12737,562,7307,148,81914,3541,85455,192599,0.4437
21,PUEBLA,17,HEROICA PUEBLA DE ZARAGOZA,224,408,42566,20136,3752,711,927,1523,854,521,13221,581,10158,589,95539,3710,99249,213954,0.4639
21,PUEBLA,18,CHOLULA DE RIVADAVIA,84,285,24994,14011,6835,580,1072,1822,2389,275,8892,577,6563,84,68094,2854,70948,180186,0.3937
21,PUEBLA,19,HEROICA PUEBLA DE ZARAGOZA,116,300,28679,18997,3754,745,945,1354,638,212,12863,528,7208,100,76023,3212,79235,184029,0.4306
21,PUEBLA,20,HEROICA PUEBLA DE ZARAGOZA,69,247,21673,18419,2843,878,1233,1444,2782,193,7258,437,3056,61,60277,2582,62859,160668,0.3912
21,PUEBLA,21,ATLIXCO,119,292,23345,19761,3740,939,1413,1371,1191,205,7777,384,2479,83,62688,2738,65426,169778,0.3854
21,PUEBLA,22,IZUCAR DE MATAMOROS,141,335,20542,34359,2159,2670,1839,2350,4485,1114,6573,496,1155,54,77796,2581,80377,181851,0.4420
21,PUEBLA,23,ACATLAN DE OSORIO,150,327,24070,37346,3420,1259,1742,1939,2353,456,5805,257,781,22,79450,2103,81553,170148,0.4793
21,PUEBLA,24,TEHUACAN,80,253,22099,20819,1950,1122,1094,2814,1009,3876,7038,252,1280,32,63385,2304,65689,154043,0.4264
21,PUEBLA,25,TEHUACAN,81,257,25615,17394,2274,595,926,1658,1224,347,7408,242,2293,47,60023,2306,62329,161012,0.3871
21,PUEBLA,26,AJALPAN,106,272,19813,26044,3277,7752,1631,14383,4674,1027,4843,206,469,16,84135,2891,87026,152613,0.5702
