ID_ESTADO,NOMBRE_ESTADO,DISTRITOS_LOCALES,CABECERA_DISTRITAL_LOCAL,SECCIONES,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,NA,MORENA,ES,RED,CAND_IND1,CAND_IND2,CAND_IND3,CAND_IND4,CAND_IND5,CAND_IND6,CAND_IND7,CAND_IND8,CAND_IND9,CAND_IND10,CAND_IND11,CAND_IND12,CAND_IND13,CAND_IND14,CAND_IND15,CAND_IND16,CAND_IND17,CAND_IND18,CAND_IND19,CAND_IND20,CAND_IND21,CAND_IND22,CAND_IND23,CAND_IND24,CAND_IND25,CAND_IND26,CAND_IND27,CAND_IND28,CAND_IND29,CAND_IND30,CAND_IND31,CAND_IND32,CAND_IND33,CAND_IND34,CAND_IND35,CAND_IND36,CAND_IND37,CAND_IND38,CAND_IND39,CAND_IND40,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
19,NUEVO LEON,1,MONTERREY,38,177,8763,11315,854,6439,5810,4906,1418,8569,731,318,1554,2518,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53195,31,1756,54982,120894,
19,NUEVO LEON,2,MONTERREY,78,227,13584,15157,625,3275,10226,6021,1273,11507,1197,207,,,921,2952,944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67889,90,2812,70791,141729,
19,NUEVO LEON,3,MONTERREY,64,227,31190,15638,629,4558,3989,12474,1638,11649,997,523,,,,,,1893,4006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89184,75,2610,91869,146518,
19,NUEVO LEON,4,MONTERREY,172,287,25014,14646,696,5202,2063,32605,1590,9572,707,309,,,,,,,,1982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94386,141,2515,97042,153740,
19,NUEVO LEON,5,APODACA,127,276,20942,18548,634,2964,2465,7139,1596,18260,1195,292,,,,,,,,,5353,1709,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81097,13,1993,83103,158164,
19,NUEVO LEON,6,MONTERREY,230,324,26330,18309,645,5826,2823,9617,1714,14970,1245,449,,,,,,,,,,,2364,4030,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88322,92,2929,91343,162322,
19,NUEVO LEON,7,APODACA,94,217,12815,15941,510,3149,2091,5423,1825,14746,1226,301,,,,,,,,,,,,,6463,,,,,,,,,,,,,,,,,,,,,,,,,,,,64490,57,1472,66019,127323,
19,NUEVO LEON,8,MONTERREY,73,237,32186,11605,675,2956,1573,18265,1564,9029,701,373,,,,,,,,,,,,,,2398,2220,,,,,,,,,,,,,,,,,,,,,,,,,,83545,53,2675,86273,143958,
19,NUEVO LEON,9,SAN NICOLAS,93,243,35287,6404,598,3278,2374,7847,3263,13544,950,479,,,,,,,,,,,,,,,,3073,5032,,,,,,,,,,,,,,,,,,,,,,,,82129,98,2186,84413,144107,
19,NUEVO LEON,10,SAN NICOLAS,91,248,34105,8715,686,3069,2533,9900,1545,14779,1300,495,,,,,,,,,,,,,,,,,,3577,1768,2396,,,,,,,,,,,,,,,,,,,,,84868,123,2500,87491,146614,
19,NUEVO LEON,11,SAN NICOLAS,111,247,31285,10915,841,2765,9007,7902,1528,10995,879,548,,,,,,,,,,,,,,,,,,,,,3170,2368,,,,,,,,,,,,,,,,,,,82203,122,2260,84585,144018,
19,NUEVO LEON,12,GUADALUPE,91,233,23237,15163,1165,3312,2315,8926,2850,13041,1099,451,,,,,,,,,,,,,,,,,,,,,,,6322,1554,,,,,,,,,,,,,,,,,79435,66,2564,82065,137454,
19,NUEVO LEON,13,GUADALUPE,57,211,15746,15059,1003,1968,2366,6866,2083,13730,1184,315,,,,,,,,,,,,,,,,,,,,,,,,,6452,,,,,,,,,,,,,,,,66772,72,2183,69027,135556,
