CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,NA,MORENA,ES,RED,PT_MORENA_ES,PT_MORENA,PT_ES,MORENA_ES,CAND_IND1,CAND_IND2,CAND_IND3,CAND_IND4,CAND_IND5,CAND_IND6,CAND_IND7,CAND_IND8,CAND_IND9,CAND_IND10,CAND_IND11,CAND_IND12,CAND_IND13,CAND_IND14,CAND_IND15,CAND_IND16,CAND_IND17,CAND_IND18,CAND_IND19,CAND_IND20,CAND_IND21,CAND_IND22,CAND_IND23,CAND_IND24,CAND_IND25,CAND_IND26,CAND_IND27,CAND_IND28,CAND_IND29,CAND_IND30,CAND_IND31,CAND_IND32,CAND_IND33,CAND_IND34,CAND_IND35,CAND_IND36,CAND_IND37,CAND_IND38,CAND_IND39,CAND_IND40,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
2,19,NUEVO LEON,1,MONTERREY,40,MONTERREY,1432,3,70,261,9,90,74,46,18,96,5,6,1,1,0,0,8,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,725,0,25,750,1738
2,19,NUEVO LEON,1,MONTERREY,40,MONTERREY,1433,3,77,294,14,94,50,45,20,87,3,0,4,1,0,0,15,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,719,0,34,753,1759
2,19,NUEVO LEON,1,MONTERREY,40,MONTERREY,1434,3,102,286,14,105,86,65,24,114,5,2,1,0,1,1,16,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,830,0,19,849,2040
2,19,NUEVO LEON,1,MONTERREY,40,MONTERREY,1435,4,91,356,12,156,89,151,21,144,9,4,8,2,0,8,24,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1107,0,54,1161,2462
2,19,NUEVO LEON,1,MONTERREY,40,MONTERREY,1436,3,99,291,17,89,71,69,24,148,9,3,8,4,0,0,5,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,862,0,20,882,1996
2,19,NUEVO LEON,1,MONTERREY,40,MONTERREY,1437,3,114,184,7,92,69,58,10,103,8,5,3,7,2,1,9,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,704,1,22,727,1601
2,19,NUEVO LEON,1,MONTERREY,40,MONTERREY,1438,3,117,223,25,134,103,72,30,161,9,7,3,7,1,4,16,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,929,15,25,969,2039
2,19,NUEVO LEON,1,MONTERREY,40,MONTERREY,1439,3,126,229,36,68,85,52,13,113,5,0,2,1,1,0,7,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,749,0,17,766,1815
2,19,NUEVO LEON,1,MONTERREY,40,MONTERREY,1440,3,126,243,8,105,123,68,22,156,8,2,7,6,0,0,17,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,921,0,48,969,2124
2,19,NUEVO LEON,1,MONTERREY,40,MONTERREY,1441,3,109,252,35,124,152,54,12,163,5,4,0,3,2,0,11,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,942,1,23,966,2205
2,19,NUEVO LEON,1,MONTERREY,40,MONTERREY,1442,3,137,272,39,111,94,65,15,166,17,1,9,7,3,1,22,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,998,0,43,1041,2212
2,19,NUEVO LEON,1,MONTERREY,40,MONTERREY,1443,3,106,246,14,86,118,67,16,114,4,0,6,1,0,0,19,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,821,0,52,873,2234
2,19,NUEVO LEON,1,MONTERREY,40,MONTERREY,1444,3,95,290,10,92,103,80,16,89,10,6,3,4,0,0,9,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,834,0,54,888,2090
2,19,NUEVO LEON,1,MONTERREY,40,MONTERREY,1445,2,66,137,16,79,83,40,19,71,3,5,4,3,0,0,13,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,565,1,22,588,1210
2,19,NUEVO LEON,1,MONTERREY,40,MONTERREY,1446,3,123,231,72,103,94,71,14,125,6,1,1,8,1,0,16,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,901,0,42,943,2006
2,19,NUEVO LEON,1,MONTERREY,40,MONTERREY,1447,3,51,213,18,104,91,54,45,70,2,1,3,5,1,0,4,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,689,0,35,724,1746
2,19,NUEVO LEON,1,MONTERREY,40,MONTERREY,1448,8,421,435,37,335,280,232,54,397,32,12,12,6,1,4,281,138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2677,0,90,2767,5820
2,19,NUEVO LEON,1,MONTERREY,40,MONTERREY,1449,5,195,261,20,126,186,95,36,264,16,8,8,4,0,3,44,107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1373,0,48,1421,3324
