ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,NA,PAS,MORENA,ES,PAIS,PAN_PRD_MC_PAS,PAN_PRD_MC,PAN_PRD_PAS,PAN_MC_PAS,PRD_MC_PAS,PAN_PRD,PAN_MC,PAN_PAS,PRD_MC,PRD_PAS,MC_PAS,PT_MORENA_ES,PT_MORENA,PT_ES,MORENA_ES,C_COMUN_PRI_PVEM_NA,C_COMUN_PRI_PVEM,C_COMUN_PRI_NA,C_COMUN_PVEM_NA,CAND_IND5,CAND_IND6,CAND_IND7,CAND_IND8,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
25,SINALOA,1,AHOME,453,669,26213,53906,2589,2223,6301,2252,3024,6256,77305,2669,1581,272,179,66,46,27,110,68,119,21,28,35,1962,635,120,520,1156,649,204,124,,1475,,,192135,195,4481,196811,321131
25,SINALOA,2,ANGOSTURA,103,112,2489,9347,1047,436,235,862,401,4499,3965,226,100,152,47,62,21,26,56,17,70,15,42,45,71,33,4,31,123,145,32,12,,,337,,24948,12,938,25898,35903
25,SINALOA,3,BADIRAGUATO,60,67,1401,6328,2744,229,186,230,158,1215,392,31,65,72,28,32,8,9,63,7,29,10,33,9,9,6,0,4,104,166,24,4,,,,,13596,2,661,14259,22814
25,SINALOA,7,CHOIX,67,74,2631,3586,188,198,238,99,1566,194,6129,100,62,19,13,3,4,1,25,4,18,0,0,2,65,27,10,34,111,51,42,12,,,,,15432,1,540,15973,23300
25,SINALOA,4,CONCORDIA,43,49,2519,5627,162,118,150,191,261,1105,1686,43,91,24,12,8,15,0,13,12,44,1,4,15,30,16,5,20,71,58,17,2,,,,,12320,1,677,12998,20583
25,SINALOA,5,COSALA,32,37,561,3452,45,65,25,243,169,2412,102,9,83,21,8,13,31,11,6,7,122,1,4,31,0,0,0,1,54,110,22,3,,,,,7611,11,526,8148,12149
25,SINALOA,6,CULIACAN,1001,1436,27245,118074,4633,6963,12500,6120,7355,24243,147417,4721,7057,319,356,124,149,40,142,101,197,42,46,154,3819,1411,272,956,2108,1545,347,100,,,,,378556,183,10611,389350,681372
25,SINALOA,10,EL FUERTE,169,183,4141,14990,663,395,833,1329,821,4711,13782,477,266,44,41,30,34,4,40,33,81,12,18,47,329,104,13,186,203,222,49,13,403,,,,44314,30,1589,45933,71928
25,SINALOA,8,ELOTA,59,75,1792,7184,500,152,330,330,184,3341,3242,208,191,29,17,13,16,3,20,13,86,6,12,25,68,26,6,33,34,72,18,3,,,,875,18829,93,672,19594,29975
25,SINALOA,9,ESCUINAPA,63,86,1602,8055,542,337,220,354,740,282,11705,168,126,6,8,5,3,0,11,8,5,13,1,2,,,,,,,,,,,,,24193,0,776,24969,40712
25,SINALOA,11,GUASAVE,437,501,6529,45185,2032,1362,5276,1565,2137,5794,50314,1761,1403,70,67,17,16,5,36,60,38,17,12,46,1298,583,122,454,935,709,187,38,,,,,128068,60,3808,131936,208773
25,SINALOA,12,MAZATLAN,492,719,25515,61509,1605,3522,6198,2534,2726,5299,70491,1877,2443,264,263,66,98,15,147,109,184,34,13,49,1694,824,107,436,1092,1131,219,65,,,,,190529,107,4952,195588,350510
25,SINALOA,13,MOCORITO,112,116,1517,7768,855,261,400,313,292,6076,3893,153,148,75,13,31,16,12,25,6,81,15,34,26,75,40,5,32,145,130,29,2,,,,,22468,31,909,23408,35352
25,SINALOA,18,NAVOLATO,172,225,5742,14917,1632,922,3195,1290,648,6537,21004,794,1054,92,103,43,54,15,49,35,66,9,18,49,795,385,52,225,264,333,41,18,,,,,60381,30,1820,62231,103304
25,SINALOA,14,ROSARIO,84,96,10702,6107,1085,126,,176,246,585,2694,305,302,88,68,37,12,7,145,28,45,10,7,8,,,,,77,73,23,0,,,,,22956,0,1046,24002,37933
25,SINALOA,15,SALVADOR ALVARADO,144,165,7349,13361,1214,550,587,882,882,2313,8156,1006,199,106,59,37,21,15,76,29,57,11,14,14,181,70,10,144,253,204,53,20,,,,,37873,7,1116,38996,60843
25,SINALOA,16,SAN IGNACIO,37,44,348,283,65,5246,75,109,402,1101,830,48,50,31,12,10,13,6,7,3,24,2,6,15,29,18,3,26,,,,,,,,,8762,35,837,9634,15867
25,SINALOA,17,SINALOA,176,187,2039,15150,1246,404,2385,1112,842,1925,9319,422,218,23,16,8,4,2,28,18,13,15,16,23,214,139,26,67,101,153,54,15,,,,,35997,7,1721,37725,62809
