ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,NA,PAS,MORENA,ES,PAIS,PAN_PRD_MC_PAS,PAN_PRD_MC,PAN_PRD_PAS,PAN_MC_PAS,PRD_MC_PAS,PAN_PRD,PAN_MC,PAN_PAS,PRD_MC,PRD_PAS,MC_PAS,PT_MORENA_ES,PT_MORENA,PT_ES,MORENA_ES,C_COMUN_PRI_PVEM_NA,C_COMUN_PRI_PVEM,C_COMUN_PRI_NA,C_COMUN_PVEM_NA,CAND_IND5,CAND_IND6,CAND_IND7,CAND_IND8,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
25,SINALOA,2,LOS MOCHIS,1,AHOME,1,22,944,1762,75,87,230,90,90,308,3320,237,66,7,7,0,3,0,3,0,4,0,0,2,75,25,4,11,26,12,5,0,,69,,,7462,6,104,7572,13647
25,SINALOA,2,LOS MOCHIS,1,AHOME,2,1,33,37,0,0,3,2,6,7,75,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,,2,,,169,0,4,173,266
25,SINALOA,2,LOS MOCHIS,1,AHOME,3,1,84,143,5,5,9,1,11,8,172,6,7,2,0,0,0,0,0,0,0,0,0,0,1,0,0,2,3,1,1,0,,5,,,466,0,2,468,665
25,SINALOA,2,LOS MOCHIS,1,AHOME,4,1,37,85,4,3,6,2,4,6,117,2,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,1,0,0,,2,,,275,0,4,279,391
25,SINALOA,2,LOS MOCHIS,1,AHOME,5,1,28,553,4,2,313,2,8,15,137,6,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,,2,,,1075,0,5,1080,466
25,SINALOA,2,LOS MOCHIS,1,AHOME,6,1,23,35,4,1,11,1,3,8,61,3,1,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,,0,,,154,0,0,154,226
25,SINALOA,2,LOS MOCHIS,1,AHOME,7,1,55,82,8,5,7,3,4,8,175,3,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,3,0,2,0,,5,,,365,0,9,374,590
25,SINALOA,2,LOS MOCHIS,1,AHOME,8,1,41,78,3,3,4,3,4,18,162,4,3,4,2,0,0,0,0,0,0,0,0,0,6,0,1,5,0,0,0,0,,1,,,342,0,6,348,557
25,SINALOA,2,LOS MOCHIS,1,AHOME,9,1,28,62,6,4,7,3,7,4,91,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,2,0,0,0,0,,3,,,220,0,10,230,364
25,SINALOA,2,LOS MOCHIS,1,AHOME,10,1,37,62,9,6,5,4,3,8,103,2,4,1,0,0,0,0,0,1,1,0,0,0,3,0,0,3,3,1,0,0,,1,,,257,0,10,267,425
25,SINALOA,2,LOS MOCHIS,1,AHOME,11,1,34,51,4,4,3,2,3,8,106,5,0,0,0,0,0,0,0,1,0,0,0,0,7,2,0,0,0,2,0,0,,1,,,233,0,5,238,407
25,SINALOA,2,LOS MOCHIS,1,AHOME,12,1,21,41,2,0,4,0,0,5,76,0,1,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,2,0,0,0,,0,,,158,0,8,166,286
25,SINALOA,2,LOS MOCHIS,1,AHOME,13,1,34,32,0,3,7,2,3,3,96,5,2,0,0,0,0,0,0,0,0,0,0,0,3,1,0,4,0,1,0,0,,1,,,197,0,5,202,370
25,SINALOA,2,LOS MOCHIS,1,AHOME,14,2,77,146,4,3,13,8,9,14,189,8,2,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,5,0,0,0,,0,,,481,0,4,485,814
25,SINALOA,5,LOS MOCHIS,1,AHOME,15,1,33,37,3,4,6,4,1,11,86,3,2,1,1,0,0,0,0,0,0,0,0,0,6,0,0,1,1,0,0,0,,0,,,200,0,0,200,338
25,SINALOA,5,LOS MOCHIS,1,AHOME,16,1,32,50,1,4,6,0,6,4,87,2,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,,2,,,200,0,3,203,310
25,SINALOA,5,LOS MOCHIS,1,AHOME,17,1,26,32,3,0,7,2,2,7,87,0,2,1,0,0,0,0,0,0,0,0,0,0,1,1,0,3,1,1,0,0,,1,,,177,0,3,180,271
25,SINALOA,5,LOS MOCHIS,1,AHOME,18,1,22,38,0,3,3,6,3,4,74,4,2,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,,0,,,162,0,6,168,282
25,SINALOA,5,LOS MOCHIS,1,AHOME,19,2,154,361,5,13,4,5,8,14,138,3,7,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,10,0,5,0,,6,,,737,0,9,746,1085
25,SINALOA,5,LOS MOCHIS,1,AHOME,20,1,75,195,1,2,8,3,3,2,55,0,4,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,,4,,,358,0,4,362,505
25,SINALOA,5,LOS MOCHIS,1,AHOME,21,1,58,151,0,3,2,2,3,8,85,1,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,1,1,0,,0,,,323,2,5,330,392
25,SINALOA,5,LOS MOCHIS,1,AHOME,22,1,76,160,7,3,7,1,8,13,143,2,5,0,0,0,0,0,0,0,0,0,0,0,2,3,0,1,3,1,0,0,,8,,,443,0,5,448,659
25,SINALOA,5,LOS MOCHIS,1,AHOME,23,2,149,257,3,7,12,12,9,21,289,6,16,3,2,0,0,1,0,1,0,0,0,0,5,1,0,0,4,1,0,0,,17,,,816,0,13,829,1131
25,SINALOA,5,LOS MOCHIS,1,AHOME,24,7,507,796,22,23,58,22,38,69,1106,29,37,1,0,1,2,1,0,2,11,0,0,1,14,5,0,5,7,2,1,0,,36,,,2796,0,39,2835,4258
25,SINALOA,5,LOS MOCHIS,1,AHOME,25,16,796,1358,58,67,138,48,65,177,2382,67,39,7,5,3,2,0,3,8,4,0,0,0,49,9,3,13,18,16,3,4,,61,,,5403,0,90,5493,9874
25,SINALOA,5,LOS MOCHIS,1,AHOME,26,1,85,119,5,6,10,6,9,15,192,8,1,0,1,1,0,0,0,0,0,0,0,0,8,2,1,0,3,0,0,1,,4,,,477,1,7,485,716
25,SINALOA,5,LOS MOCHIS,1,AHOME,27,1,51,64,1,2,1,2,0,2,71,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,1,0,,3,,,204,0,7,211,302
