ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,TIPO_CASILLA,ID_CASILLA,EXT_CONTIGUA,CASILLA,PAN,PRI,PRD,PVEM,PT,MC,NA,PAS,MORENA,ES,PAIS,PAN_PRD_MC_PAS,PAN_PRD_MC,PAN_PRD_PAS,PAN_MC_PAS,PRD_MC_PAS,PAN_PRD,PAN_MC,PAN_PAS,PRD_MC,PRD_PAS,MC_PAS,PT_MORENA_ES,PT_MORENA,PT_ES,MORENA_ES,C_COMUN_PRI_PVEM_NA,C_COMUN_PRI_PVEM,C_COMUN_PRI_NA,C_COMUN_PVEM_NA,CAND_IND5,CAND_IND6,CAND_IND7,CAND_IND8,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,ESTATUS_ACTA,TRIBUNAL,OBSERVACIONES,RUTA_ACTA
25,SINALOA,2,LOS MOCHIS,1,AHOME,1,B,1,0,B,71,86,4,1,11,4,2,16,2,152,3,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,,5,,,362,0,8,370,654,ACTA CASILLA,,,
25,SINALOA,2,LOS MOCHIS,1,AHOME,2,B,1,0,B,33,37,0,0,3,2,6,7,75,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,,2,,,169,0,4,173,266,ACTA CASILLA,,,
25,SINALOA,2,LOS MOCHIS,1,AHOME,3,B,1,0,B,84,143,5,5,9,1,11,8,172,6,7,2,0,0,0,0,0,0,0,0,0,0,1,0,0,2,3,1,1,0,,5,,,466,0,2,468,665,ACTA CASILLA,,,
25,SINALOA,2,LOS MOCHIS,1,AHOME,4,B,1,0,B,37,85,4,3,6,2,4,6,117,2,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,1,0,0,,2,,,275,0,4,279,391,ACTA CASILLA,,,
25,SINALOA,2,LOS MOCHIS,1,AHOME,5,B,1,0,B,28,553,4,2,313,2,8,15,137,6,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,,2,,,1075,0,5,1080,466,ACTA CASILLA,,,
25,SINALOA,2,LOS MOCHIS,1,AHOME,6,B,1,0,B,23,35,4,1,11,1,3,8,61,3,1,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,,0,,,154,0,0,154,226,ACTA CASILLA,,,
25,SINALOA,2,LOS MOCHIS,1,AHOME,7,B,1,0,B,55,82,8,5,7,3,4,8,175,3,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,3,0,2,0,,5,,,365,0,9,374,590,ACTA CASILLA,,,
25,SINALOA,2,LOS MOCHIS,1,AHOME,8,B,1,0,B,41,78,3,3,4,3,4,18,162,4,3,4,2,0,0,0,0,0,0,0,0,0,6,0,1,5,0,0,0,0,,1,,,342,0,6,348,557,ACTA CASILLA,,,
25,SINALOA,2,LOS MOCHIS,1,AHOME,9,B,1,0,B,28,62,6,4,7,3,7,4,91,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,2,0,0,0,0,,3,,,220,0,10,230,364,ACTA CASILLA,,,
25,SINALOA,2,LOS MOCHIS,1,AHOME,10,B,1,0,B,37,62,9,6,5,4,3,8,103,2,4,1,0,0,0,0,0,1,1,0,0,0,3,0,0,3,3,1,0,0,,1,,,257,0,10,267,425,ACTA CASILLA,,,
