ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,NA,PAS,MORENA,ES,PAIS,CAND_IND5,CAND_IND6,CAND_IND7,CAND_IND8,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
25,SINALOA,1,AHOME,453,669,26528,54719,2828,2994,7332,2464,3573,6461,78537,3643,1581,,1475,,,192135,195,4481,196811,321131
25,SINALOA,2,ANGOSTURA,103,112,2644,9479,1188,555,277,979,464,4655,4023,266,100,,,400,,25030,12,938,25980,35903
25,SINALOA,3,BADIRAGUATO,60,67,1492,6458,2840,349,192,274,206,1284,400,36,65,,,,,13596,2,661,14259,22814
25,SINALOA,7,CHOIX,67,74,2668,3670,210,266,278,111,1630,212,6182,143,62,,,,,15432,1,540,15973,23300
25,SINALOA,4,CONCORDIA,43,49,2573,5692,182,171,171,220,294,1151,1714,65,91,,,,,12324,1,677,13002,20583
25,SINALOA,5,COSALA,32,37,668,3536,61,139,25,269,200,2517,103,9,83,,,,,7610,11,526,8147,12149
25,SINALOA,6,CULIACAN,1001,1436,27692,119447,4982,8476,14580,6510,8229,24503,149426,6595,7033,,,,,377473,183,10638,388294,681372
25,SINALOA,10,EL FUERTE,169,183,4116,14952,662,395,833,1327,816,4696,13753,476,265,400,,,,42691,30,1586,44307,71928
25,SINALOA,8,ELOTA,59,75,1874,7241,537,200,369,369,206,3423,3295,249,191,,,,875,18829,93,672,19594,29975
25,SINALOA,9,ESCUINAPA,63,86,1623,8055,562,337,220,369,740,288,11705,168,126,,,,,24193,0,776,24969,40712
25,SINALOA,11,GUASAVE,437,501,6649,45946,2111,2046,6061,1671,2561,5873,51266,2481,1403,,,,,128068,60,3808,131936,208773
25,SINALOA,12,MAZATLAN,492,719,25954,62571,1881,4484,7243,2821,3231,5551,71738,2712,2443,,,,,190629,107,4950,195686,350510
25,SINALOA,13,MOCORITO,112,116,1616,7898,935,375,448,368,355,6190,3954,196,149,,,,,22484,31,909,23424,35352
25,SINALOA,18,NAVOLATO,172,225,5908,15193,1746,1185,3678,1415,765,6665,21575,1197,1054,,,,,60381,30,1820,62231,103304
25,SINALOA,14,ROSARIO,84,96,10874,6182,1226,187,,249,283,654,2694,305,302,,,,,22956,0,1046,24002,37933
25,SINALOA,15,SALVADOR ALVARADO,144,165,7490,13575,1327,751,687,972,1007,2398,8324,1143,199,,,,,37873,7,1116,38996,60843
25,SINALOA,16,SAN IGNACIO,37,44,385,283,88,5246,96,136,402,1143,862,71,50,,,,,8762,35,837,9634,15867
25,SINALOA,17,SINALOA,176,187,2091,15289,1289,520,1538,1150,910,1961,9495,539,218,,,,,35966,7,1721,37694,62809
