CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,CABECERA_DISTRITAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLA,PAN,PRI,PRD,PT,PVEM,MC,NVA_ALIANZA,MORENA,PH,ES,CAND_IND6,PRI_PVEM,CC_PRD_PT_PH_ES,CC_PRD_PT_PH,CC_PRD_PT_ES,CC_PT_PH_ES,CC_PRD_PT,CC_PRD_ES,CC_PRD_NVA_ALIANZA,CC_PT_ES,CC_PAN_PT,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,ESTATUS_ACTA,TEPJF,OBSERVACIONES,RUTA_ACTA
5,16,MICHOACAN,19,TACÁMBARO,1,ACUITZIO,1,B,97,106,141,7,14,0,13,8,0,11,0,3,0,0,4,0,0,0,0,0,0,1,404,32,437,703,ACTA CASILLA,,,
5,16,MICHOACAN,19,TACÁMBARO,1,ACUITZIO,1,C01,95,106,145,4,15,0,2,7,0,15,0,2,0,0,2,0,0,0,0,0,0,2,393,32,427,703,ACTA CASILLA,,,
5,16,MICHOACAN,19,TACÁMBARO,1,ACUITZIO,2,B,91,86,131,14,21,0,18,17,0,12,0,1,0,0,1,0,0,0,0,0,0,0,392,30,422,692,ACTA CASILLA,,,
5,16,MICHOACAN,19,TACÁMBARO,1,ACUITZIO,2,C01,111,94,115,11,23,0,26,12,0,10,0,2,0,0,5,0,0,0,0,0,0,1,409,29,439,692,ACTA CASILLA,,,
5,16,MICHOACAN,19,TACÁMBARO,1,ACUITZIO,3,B,80,58,79,4,11,0,10,7,0,14,0,3,0,0,5,0,0,0,0,0,0,1,271,27,299,453,ACTA CASILLA,,,
5,16,MICHOACAN,19,TACÁMBARO,1,ACUITZIO,3,C01,84,61,89,6,9,0,12,4,0,10,0,3,0,0,3,0,0,0,0,0,0,0,281,0,281,453,ACTA CASILLA,,,
5,16,MICHOACAN,19,TACÁMBARO,1,ACUITZIO,4,B,73,71,75,6,16,0,9,9,0,14,0,2,0,0,2,0,0,0,0,0,0,1,277,28,306,493,ACTA CASILLA,,,
5,16,MICHOACAN,19,TACÁMBARO,1,ACUITZIO,4,C01,67,84,72,7,18,0,8,7,0,10,0,0,0,0,0,0,0,0,0,0,0,1,273,25,299,493,ACTA CASILLA,,,
5,16,MICHOACAN,19,TACÁMBARO,1,ACUITZIO,5,B,74,73,110,14,24,0,14,6,0,17,0,0,0,0,3,0,0,0,0,0,0,0,335,22,357,529,ACTA CASILLA,,,
5,16,MICHOACAN,19,TACÁMBARO,1,ACUITZIO,5,C01,58,68,125,20,13,0,21,10,0,8,0,4,0,0,4,0,0,0,0,0,0,1,331,27,359,529,ACTA CASILLA,,,
5,16,MICHOACAN,19,TACÁMBARO,1,ACUITZIO,6,B,23,55,149,6,12,0,28,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,275,33,308,437,ACTA CASILLA,,,
5,16,MICHOACAN,19,TACÁMBARO,1,ACUITZIO,7,B,86,47,180,7,12,0,18,16,0,2,0,2,0,0,2,0,0,0,0,0,0,0,372,26,398,585,ACTA CASILLA,,,
5,16,MICHOACAN,19,TACÁMBARO,1,ACUITZIO,8,B,55,35,84,7,13,0,11,1,0,3,0,1,0,0,0,0,0,0,0,0,0,0,210,10,220,358,ACTA CASILLA,,,
5,16,MICHOACAN,19,TACÁMBARO,1,ACUITZIO,9,B,20,54,73,1,8,0,10,1,0,1,0,5,0,0,2,0,0,0,0,0,0,0,175,7,182,229,ACTA CASILLA,,,
5,16,MICHOACAN,19,TACÁMBARO,1,ACUITZIO,10,B,27,33,160,8,6,0,19,2,0,4,0,2,0,0,2,0,0,0,0,0,0,0,263,16,279,409,ACTA CASILLA,,,
5,16,MICHOACAN,19,TACÁMBARO,1,ACUITZIO,10,C01,43,29,141,7,3,0,23,3,0,0,0,1,0,0,2,0,0,0,0,0,0,0,252,16,268,408,ACTA CASILLA,,,
5,16,MICHOACAN,21,COALCOMÁN DE VÁZQUEZ PALLARES,2,AGUILILLA,11,B,23,139,171,4,12,0,0,14,0,0,0,2,5,0,0,0,0,0,0,0,0,0,370,12,382,707,RECUENTO,,,
5,16,MICHOACAN,21,COALCOMÁN DE VÁZQUEZ PALLARES,2,AGUILILLA,11,C01,22,172,170,0,0,0,0,11,5,3,0,0,0,0,0,0,0,0,0,0,0,0,383,18,401,707,ACTA CASILLA,,,
5,16,MICHOACAN,21,COALCOMÁN DE VÁZQUEZ PALLARES,2,AGUILILLA,11,C02,20,161,191,2,6,0,1,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,389,22,411,706,ACTA CASILLA,,,
5,16,MICHOACAN,21,COALCOMÁN DE VÁZQUEZ PALLARES,2,AGUILILLA,12,B,11,100,232,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,2,354,12,368,679,ACTA CASILLA,,,
5,16,MICHOACAN,21,COALCOMÁN DE VÁZQUEZ PALLARES,2,AGUILILLA,12,C01,17,112,226,6,6,0,3,4,2,1,0,2,0,0,0,0,0,0,0,0,0,0,379,0,379,679,RECUENTO,,,
5,16,MICHOACAN,21,COALCOMÁN DE VÁZQUEZ PALLARES,2,AGUILILLA,13,B,19,159,145,4,7,0,1,11,0,3,0,0,4,0,0,0,0,0,0,0,0,0,353,19,372,652,ACTA CASILLA,,,
5,16,MICHOACAN,21,COALCOMÁN DE VÁZQUEZ PALLARES,2,AGUILILLA,13,C01,26,119,171,0,1,0,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,328,18,346,651,ACTA CASILLA,,,
5,16,MICHOACAN,21,COALCOMÁN DE VÁZQUEZ PALLARES,2,AGUILILLA,13,C02,14,111,163,5,3,0,2,6,1,1,0,1,0,0,0,0,0,0,0,0,0,0,307,15,322,651,ACTA CASILLA,,,
5,16,MICHOACAN,21,COALCOMÁN DE VÁZQUEZ PALLARES,2,AGUILILLA,14,B,20,129,141,1,3,0,1,6,1,0,0,0,1,0,0,0,0,0,0,0,0,0,303,18,321,555,ACTA CASILLA,,,
5,16,MICHOACAN,21,COALCOMÁN DE VÁZQUEZ PALLARES,2,AGUILILLA,14,C01,19,145,149,5,2,0,2,3,1,1,0,2,1,0,0,0,0,0,0,0,0,2,330,13,345,554,ACTA CASILLA,,,
5,16,MICHOACAN,21,COALCOMÁN DE VÁZQUEZ PALLARES,2,AGUILILLA,14,C02,23,109,187,3,1,0,3,4,1,0,0,2,5,0,0,0,0,0,0,0,0,0,338,10,348,554,RECUENTO,,,
