Dto Local,Nom Mpio,Municipio,No. de Seccion,Tipo,Lista Nominal,PAN,PRI_PVEM,PRD,PT,PCP,PMC,PNA,CC_PRD_PT,CC_PCP_PMC,FORMULAS NO REGISTRADAS,VOTACION VALIDA EMITIDA,VOTOS NULOS,VOTACION EMITIDA,PRD_PT,PCP_PMC,CC_1,CC_2
13,40,TAMUIN ,1445,B01,676,110,148,58,15,10,8,21,23,6,0,399,10,409,96,24,PRD_PT,PCP_PMC
13,40,TAMUIN ,1445,C01,676,118,137,77,12,12,10,19,27,6,0,418,11,429,116,28,PRD_PT,PCP_PMC
13,40,TAMUIN ,1446,B01,568,112,119,29,8,9,5,33,4,4,0,323,7,330,41,18,PRD_PT,PCP_PMC
13,40,TAMUIN ,1446,C01,567,130,136,27,10,7,7,27,7,6,0,357,5,362,44,20,PRD_PT,PCP_PMC
13,40,TAMUIN ,1447,B01,570,115,123,32,6,29,15,47,5,12,0,384,5,389,43,56,PRD_PT,PCP_PMC
13,40,TAMUIN ,1447,C01,570,112,125,39,5,25,13,45,11,14,0,389,3,392,55,52,PRD_PT,PCP_PMC
13,40,TAMUIN ,1448,B01,422,116,76,14,4,14,9,33,3,2,0,271,7,278,21,25,PRD_PT,PCP_PMC
13,40,TAMUIN ,1448,C01,422,115,85,15,6,14,5,23,3,9,0,275,6,281,24,28,PRD_PT,PCP_PMC
13,40,TAMUIN ,1449,B01,461,98,118,40,5,6,5,21,8,7,1,309,6,315,53,18,PRD_PT,PCP_PMC
13,40,TAMUIN ,1449,C01,460,107,106,26,4,14,6,27,6,8,0,304,2,306,36,28,PRD_PT,PCP_PMC
13,40,TAMUIN ,1450,B01,413,60,96,5,4,20,16,57,4,7,0,269,12,281,13,43,PRD_PT,PCP_PMC
13,40,TAMUIN ,1450,C01,413,73,97,5,2,11,7,37,0,6,0,238,8,246,7,24,PRD_PT,PCP_PMC
13,40,TAMUIN ,1451,B01,532,139,108,18,2,17,13,33,9,4,0,343,10,353,29,34,PRD_PT,PCP_PMC
13,40,TAMUIN ,1452,B01,590,126,135,45,11,7,8,28,16,6,0,382,4,386,72,21,PRD_PT,PCP_PMC
13,40,TAMUIN ,1453,B01,520,108,123,25,3,14,10,17,12,7,0,319,12,331,40,31,PRD_PT,PCP_PMC
13,40,TAMUIN ,1454,B01,430,78,104,38,6,9,6,11,7,5,0,264,4,268,51,20,PRD_PT,PCP_PMC
13,40,TAMUIN ,1454,C01,430,73,105,23,4,14,11,10,8,5,0,253,10,263,35,30,PRD_PT,PCP_PMC
13,40,TAMUIN ,1455,B01,590,85,123,37,5,14,14,21,13,13,0,325,16,341,55,41,PRD_PT,PCP_PMC
13,40,TAMUIN ,1455,C01,590,86,122,33,8,20,14,14,8,5,0,310,11,321,49,39,PRD_PT,PCP_PMC
13,40,TAMUIN ,1455,C02,589,68,116,30,7,20,17,13,11,11,0,293,12,305,48,48,PRD_PT,PCP_PMC
13,40,TAMUIN ,1455,C03,589,75,147,36,5,13,20,13,13,10,0,332,13,345,54,43,PRD_PT,PCP_PMC
13,40,TAMUIN ,1456,B01,714,91,205,35,13,7,1,11,1,1,0,365,18,383,49,9,PRD_PT,PCP_PMC
13,40,TAMUIN ,1457,B01,674,146,144,55,0,13,0,26,0,0,0,384,22,406,55,13,PRD_PT,PCP_PMC
13,40,TAMUIN ,1458,B01,467,138,107,0,30,10,22,12,0,0,0,319,23,342,30,32,PRD_PT,PCP_PMC
13,40,TAMUIN ,1459,B01,250,30,54,3,0,0,1,38,1,0,0,127,4,131,4,1,PRD_PT,PCP_PMC
13,40,TAMUIN ,1460,B01,429,60,62,53,9,6,11,6,0,0,0,207,18,225,62,17,PRD_PT,PCP_PMC
13,40,TAMUIN ,1460,C01,429,59,58,74,8,13,8,9,9,1,0,239,21,260,91,22,PRD_PT,PCP_PMC
13,40,TAMUIN ,1461,B01,379,28,76,90,5,5,7,14,24,4,0,253,17,270,119,16,PRD_PT,PCP_PMC
13,40,TAMUIN ,1462,B01,493,71,86,55,7,10,7,20,16,4,0,276,15,291,78,21,PRD_PT,PCP_PMC
13,40,TAMUIN ,1462,C01,493,75,68,47,7,6,10,23,12,8,0,256,18,274,66,24,PRD_PT,PCP_PMC
13,40,TAMUIN ,1463,B01,714,147,132,19,5,26,19,16,7,30,0,401,18,419,31,75,PRD_PT,PCP_PMC
13,40,TAMUIN ,1464,B01,518,40,69,67,11,35,18,3,12,18,0,273,25,298,90,71,PRD_PT,PCP_PMC
13,40,TAMUIN ,1464,C01,518,46,61,53,7,49,25,8,15,19,0,283,16,299,75,93,PRD_PT,PCP_PMC
13,40,TAMUIN ,1465,B01,474,50,72,35,10,30,32,18,0,13,0,260,13,273,45,75,PRD_PT,PCP_PMC
13,40,TAMUIN ,1465,C01,473,63,100,21,7,29,19,11,2,12,0,264,12,276,30,60,PRD_PT,PCP_PMC
13,40,TAMUIN ,1466,B01,180,22,43,5,1,9,8,3,0,9,0,100,1,101,6,26,PRD_PT,PCP_PMC
13,40,TAMUIN ,1467,B01,456,108,60,31,16,13,6,8,24,7,2,275,17,292,71,26,PRD_PT,PCP_PMC
13,40,TAMUIN ,1468,B01,578,111,118,45,17,6,9,27,21,1,1,356,20,376,83,16,PRD_PT,PCP_PMC
13,40,TAMUIN ,1469,B01,237,29,62,51,10,1,0,11,3,1,0,168,3,171,64,2,PRD_PT,PCP_PMC
13,40,TAMUIN ,1470,B01,227,24,84,5,5,9,5,16,1,3,2,154,6,160,11,17,PRD_PT,PCP_PMC
13,40,TAMUIN ,1471,B01,392,69,121,14,1,18,12,12,5,8,0,260,14,274,20,38,PRD_PT,PCP_PMC
13,40,TAMUIN ,1472,B01,640,175,117,22,4,36,11,35,0,0,0,400,22,422,26,47,PRD_PT,PCP_PMC
13,40,TAMUIN ,1472,E01,156,42,30,5,2,17,0,6,0,0,0,102,5,107,7,17,PRD_PT,PCP_PMC
13,40,TAMUIN ,1473,B01,111,60,12,1,0,3,3,5,2,0,1,87,6,93,3,6,PRD_PT,PCP_PMC
13,40,TAMUIN ,1474,B01,659,143,230,28,2,13,10,10,4,1,1,442,14,456,34,24,PRD_PT,PCP_PMC
13,40,TAMUIN ,1475,B01,405,58,86,48,9,6,9,14,14,1,0,245,25,270,71,16,PRD_PT,PCP_PMC
13,40,TAMUIN ,1475,C01,404,58,64,55,6,5,1,18,15,0,0,222,17,239,76,6,PRD_PT,PCP_PMC
13,40,TAMUIN ,1476,B01,583,91,134,55,9,17,21,24,15,15,0,381,22,403,79,53,PRD_PT,PCP_PMC
13,40,TAMUIN ,1477,B01,511,62,116,49,9,22,19,16,14,4,0,311,24,335,72,45,PRD_PT,PCP_PMC
13,40,TAMUIN ,1477,C01,511,64,109,58,6,21,21,20,10,10,2,321,21,342,74,52,PRD_PT,PCP_PMC
13,40,TAMUIN ,1478,B01,257,15,20,95,0,24,0,6,0,0,0,160,13,173,95,24,PRD_PT,PCP_PMC
13,40,TAMUIN ,1479,B01,390,107,53,31,16,6,9,22,10,3,1,258,19,277,57,18,PRD_PT,PCP_PMC
