Dto Local,Nom Mpio,Municipio,No. de Seccion,Tipo,Lista Nominal,PAN,PRI_PVEM,PRD,PT,PCP,PMC,PNA,CC_PAN_PNA,CC_PRD_PMC,FORMULAS NO REGISTRADAS,VOTACION VALIDA EMITIDA,VOTOS NULOS,VOTACION EMITIDA,PAN_PNA,PRD_PMC,CC_1,CC_2
15,29,SAN MARTIN CHALCHICUAUTLA ,1128,B01,644,161,118,95,3,0,13,7,21,20,0,438,24,462,189,128,PAN_PNA,PRD_PMC
15,29,SAN MARTIN CHALCHICUAUTLA ,1128,C01,643,120,169,77,5,2,11,12,24,12,0,432,22,454,156,100,PAN_PNA,PRD_PMC
15,29,SAN MARTIN CHALCHICUAUTLA ,1129,B01,598,123,128,96,6,1,16,5,25,26,0,426,16,442,153,138,PAN_PNA,PRD_PMC
15,29,SAN MARTIN CHALCHICUAUTLA ,1129,C01,597,140,141,79,6,0,8,10,23,18,0,425,14,439,173,105,PAN_PNA,PRD_PMC
15,29,SAN MARTIN CHALCHICUAUTLA ,1130,B01,616,146,86,126,22,2,7,14,14,6,0,423,25,448,174,139,PAN_PNA,PRD_PMC
15,29,SAN MARTIN CHALCHICUAUTLA ,1131,B01,503,212,98,38,3,0,1,7,18,5,0,382,11,393,237,44,PAN_PNA,PRD_PMC
15,29,SAN MARTIN CHALCHICUAUTLA ,1131,C01,503,159,168,18,1,0,2,8,16,5,0,377,5,382,183,25,PAN_PNA,PRD_PMC
15,29,SAN MARTIN CHALCHICUAUTLA ,1132,B01,490,150,31,138,2,0,5,8,31,13,0,378,14,392,189,156,PAN_PNA,PRD_PMC
15,29,SAN MARTIN CHALCHICUAUTLA ,1133,B01,211,51,50,18,0,0,25,4,3,1,0,152,9,161,58,44,PAN_PNA,PRD_PMC
15,29,SAN MARTIN CHALCHICUAUTLA ,1134,B01,381,117,83,38,1,0,3,1,9,8,0,260,14,274,127,49,PAN_PNA,PRD_PMC
15,29,SAN MARTIN CHALCHICUAUTLA ,1134,C01,381,106,97,32,2,2,2,2,10,10,0,263,11,274,118,44,PAN_PNA,PRD_PMC
15,29,SAN MARTIN CHALCHICUAUTLA ,1135,B01,220,57,42,35,5,0,4,4,7,5,0,159,12,171,68,44,PAN_PNA,PRD_PMC
15,29,SAN MARTIN CHALCHICUAUTLA ,1136,B01,645,159,122,139,7,4,4,5,15,27,0,482,32,514,179,170,PAN_PNA,PRD_PMC
15,29,SAN MARTIN CHALCHICUAUTLA ,1137,B01,274,51,69,42,0,0,6,2,7,8,0,185,25,210,60,56,PAN_PNA,PRD_PMC
15,29,SAN MARTIN CHALCHICUAUTLA ,1138,B01,120,22,48,9,2,1,4,3,1,4,0,94,3,97,26,17,PAN_PNA,PRD_PMC
15,29,SAN MARTIN CHALCHICUAUTLA ,1139,B01,300,79,37,63,3,0,10,3,7,10,0,212,20,232,89,83,PAN_PNA,PRD_PMC
15,29,SAN MARTIN CHALCHICUAUTLA ,1140,B01,593,117,58,191,6,3,7,11,11,19,3,426,41,467,139,217,PAN_PNA,PRD_PMC
15,29,SAN MARTIN CHALCHICUAUTLA ,1140,C01,592,115,71,195,2,1,4,7,17,32,0,444,25,469,139,231,PAN_PNA,PRD_PMC
15,29,SAN MARTIN CHALCHICUAUTLA ,1141,B01,682,135,24,318,2,0,13,7,12,30,0,541,16,557,154,361,PAN_PNA,PRD_PMC
15,29,SAN MARTIN CHALCHICUAUTLA ,1141,C01,681,130,26,290,6,2,14,8,15,36,0,527,29,556,153,340,PAN_PNA,PRD_PMC
15,29,SAN MARTIN CHALCHICUAUTLA ,1141,E01,311,80,31,108,1,0,3,2,2,7,0,234,11,245,84,118,PAN_PNA,PRD_PMC
15,29,SAN MARTIN CHALCHICUAUTLA ,1142,B01,512,152,40,143,5,1,4,8,4,12,0,369,20,389,164,159,PAN_PNA,PRD_PMC
15,29,SAN MARTIN CHALCHICUAUTLA ,1142,C01,511,140,51,146,4,0,4,5,10,10,0,370,12,382,155,160,PAN_PNA,PRD_PMC
15,29,SAN MARTIN CHALCHICUAUTLA ,1143,B01,612,99,82,247,4,2,8,3,5,12,0,462,24,486,107,267,PAN_PNA,PRD_PMC
15,29,SAN MARTIN CHALCHICUAUTLA ,1143,E01,586,119,83,194,3,0,5,6,5,17,0,432,24,456,130,216,PAN_PNA,PRD_PMC
15,29,SAN MARTIN CHALCHICUAUTLA ,1144,B01,327,30,57,133,4,2,4,3,7,6,0,246,21,267,40,143,PAN_PNA,PRD_PMC
15,29,SAN MARTIN CHALCHICUAUTLA ,1145,B01,567,157,49,172,15,0,11,9,6,10,0,429,12,441,172,193,PAN_PNA,PRD_PMC
15,29,SAN MARTIN CHALCHICUAUTLA ,1146,B01,206,71,49,25,5,1,2,2,4,4,0,163,5,168,77,31,PAN_PNA,PRD_PMC
15,29,SAN MARTIN CHALCHICUAUTLA ,1147,B01,530,152,42,112,4,0,9,8,15,32,0,374,12,386,175,153,PAN_PNA,PRD_PMC
15,29,SAN MARTIN CHALCHICUAUTLA ,1147,C01,529,173,23,126,5,1,5,7,19,20,0,379,27,406,199,151,PAN_PNA,PRD_PMC
15,29,SAN MARTIN CHALCHICUAUTLA ,1147,E01,291,84,39,62,4,1,1,3,7,2,0,203,18,221,94,65,PAN_PNA,PRD_PMC
