Dto Local,Nom Mpio,Municipio,No. de Seccion,Tipo,Lista Nominal,PAN,PRI,PRD,PT,PNA,CC_PAN_PNA,CC_PRD_PT,FORMULAS NO REGISTRADAS,VOTACION VALIDA EMITIDA,VOTOS NULOS,VOTACION EMITIDA,PAN_PNA,PRD_PT,CC_1,CC_2
13,39,TAMPAMOLON CORONA ,1428,B01,519,104,169,15,21,5,32,14,0,360,15,375,141,50,PAN_PNA,PRD_PT
13,39,TAMPAMOLON CORONA ,1428,C01,519,112,169,11,17,7,26,16,0,358,15,373,145,44,PAN_PNA,PRD_PT
13,39,TAMPAMOLON CORONA ,1428,C02,518,133,131,23,23,12,32,11,0,365,12,377,177,57,PAN_PNA,PRD_PT
13,39,TAMPAMOLON CORONA ,1429,B01,565,87,227,23,31,7,20,16,0,411,10,421,114,70,PAN_PNA,PRD_PT
13,39,TAMPAMOLON CORONA ,1429,C01,564,104,198,19,30,5,30,26,0,412,19,431,139,75,PAN_PNA,PRD_PT
13,39,TAMPAMOLON CORONA ,1430,B01,363,82,94,15,15,10,19,8,0,243,12,255,111,38,PAN_PNA,PRD_PT
13,39,TAMPAMOLON CORONA ,1431,B01,392,99,103,7,6,4,25,4,0,248,17,265,128,17,PAN_PNA,PRD_PT
13,39,TAMPAMOLON CORONA ,1432,B01,402,128,92,8,9,8,18,5,0,268,14,282,154,22,PAN_PNA,PRD_PT
13,39,TAMPAMOLON CORONA ,1432,C01,401,107,122,11,8,6,22,3,0,279,13,292,135,22,PAN_PNA,PRD_PT
13,39,TAMPAMOLON CORONA ,1433,B01,546,165,107,7,26,13,35,4,0,357,17,374,213,37,PAN_PNA,PRD_PT
13,39,TAMPAMOLON CORONA ,1434,B01,266,60,35,10,17,8,32,10,0,172,8,180,100,37,PAN_PNA,PRD_PT
13,39,TAMPAMOLON CORONA ,1435,B01,423,72,110,14,26,12,24,18,0,276,9,285,108,58,PAN_PNA,PRD_PT
13,39,TAMPAMOLON CORONA ,1436,B01,77,8,31,0,5,0,3,3,0,50,3,53,11,8,PAN_PNA,PRD_PT
13,39,TAMPAMOLON CORONA ,1437,B01,379,110,88,8,10,5,20,6,0,247,12,259,135,24,PAN_PNA,PRD_PT
13,39,TAMPAMOLON CORONA ,1438,B01,565,107,173,19,24,7,37,9,0,376,17,393,151,52,PAN_PNA,PRD_PT
13,39,TAMPAMOLON CORONA ,1439,B01,731,147,182,22,27,9,54,11,0,452,26,478,210,60,PAN_PNA,PRD_PT
13,39,TAMPAMOLON CORONA ,1440,B01,375,67,103,17,26,9,17,9,0,248,12,260,93,52,PAN_PNA,PRD_PT
13,39,TAMPAMOLON CORONA ,1441,B01,327,91,106,7,15,11,17,2,0,249,9,258,119,24,PAN_PNA,PRD_PT
13,39,TAMPAMOLON CORONA ,1442,B01,274,43,95,14,12,5,10,25,0,204,7,211,58,51,PAN_PNA,PRD_PT
13,39,TAMPAMOLON CORONA ,1443,B01,480,96,184,27,12,4,26,15,0,364,23,387,126,54,PAN_PNA,PRD_PT
13,39,TAMPAMOLON CORONA ,1444,B01,432,115,127,7,27,7,14,5,0,302,14,316,136,39,PAN_PNA,PRD_PT
