Dto Local,Nom Mpio,Municipio,No. de Seccion,Tipo,Lista Nominal,PAN,PRI,PRD,PT,PVEM,PCP,PMC,PNA,CC_PAN_PNA,CC_PRD_PT_PMC,CC_PVEM_PCP,FORMULAS NO REGISTRADAS,VOTACION VALIDA EMITIDA,VOTOS NULOS,VOTACION EMITIDA,PAN_PNA,PRD_PT_PMC,PVEM_PCP,CC_1,CC_2,CC_3
3,9,CERRO DE SAN PEDRO ,165,B01,245,20,122,15,1,3,19,3,3,10,6,2,0,204,16,220,33,25,24,PAN_PNA,PRD_PT_PMC,PVEM_PCP
3,9,CERRO DE SAN PEDRO ,166,B01,80,17,37,1,0,2,1,0,1,1,1,0,0,61,4,65,19,2,3,PAN_PNA,PRD_PT_PMC,PVEM_PCP
3,9,CERRO DE SAN PEDRO ,167,B01,174,36,77,0,0,2,1,0,1,13,0,0,0,130,10,140,50,0,3,PAN_PNA,PRD_PT_PMC,PVEM_PCP
3,9,CERRO DE SAN PEDRO ,168,B01,73,26,19,0,0,3,7,0,0,5,1,1,0,62,9,71,31,1,11,PAN_PNA,PRD_PT_PMC,PVEM_PCP
3,9,CERRO DE SAN PEDRO ,169,B01,141,22,73,0,0,1,2,0,2,4,1,2,0,107,8,115,28,1,5,PAN_PNA,PRD_PT_PMC,PVEM_PCP
3,9,CERRO DE SAN PEDRO ,170,B01,134,30,77,0,0,2,0,0,2,5,0,0,0,116,5,121,37,0,2,PAN_PNA,PRD_PT_PMC,PVEM_PCP
3,9,CERRO DE SAN PEDRO ,171,B01,500,125,240,0,3,9,10,0,27,26,0,3,0,443,5,448,178,3,22,PAN_PNA,PRD_PT_PMC,PVEM_PCP
3,9,CERRO DE SAN PEDRO ,171,C01,500,132,211,0,1,6,10,0,29,36,0,6,0,431,12,443,197,1,22,PAN_PNA,PRD_PT_PMC,PVEM_PCP
3,9,CERRO DE SAN PEDRO ,171,E01,659,103,231,21,1,18,20,12,32,17,2,6,0,463,33,496,152,36,44,PAN_PNA,PRD_PT_PMC,PVEM_PCP
3,9,CERRO DE SAN PEDRO ,172,B01,608,131,182,37,14,34,18,3,3,19,8,9,1,459,16,475,153,62,61,PAN_PNA,PRD_PT_PMC,PVEM_PCP
