Dto Local,Nom Mpio,Municipio,No. de Seccion,Tipo,Lista Nominal,PAN,PRI,PRD,PT,PVEM,PMC,CC_PRI_PVEM,FORMULAS NO REGISTRADAS,VOTACION VALIDA EMITIDA,VOTOS NULOS,VOTACION EMITIDA,PRI_PVEM,CC_1
11,57,EL NARANJO ,180,B01,346,12,128,4,20,2,72,24,0,262,15,277,154,PRI_PVEM
11,57,EL NARANJO ,186,B01,464,67,115,0,11,4,74,45,0,316,9,325,164,PRI_PVEM
11,57,EL NARANJO ,186,C01,464,90,125,1,6,0,92,0,0,314,8,322,125,PRI_PVEM
11,57,EL NARANJO ,187,B01,712,126,159,22,24,6,112,39,0,488,24,512,204,PRI_PVEM
11,57,EL NARANJO ,188,B01,484,113,56,14,2,3,72,25,0,285,12,297,84,PRI_PVEM
11,57,EL NARANJO ,188,C01,484,123,63,10,3,3,66,30,0,298,7,305,96,PRI_PVEM
11,57,EL NARANJO ,189,B01,399,99,65,5,5,4,60,14,0,252,6,258,83,PRI_PVEM
11,57,EL NARANJO ,189,C01,399,103,76,6,2,0,59,0,0,246,8,254,76,PRI_PVEM
11,57,EL NARANJO ,190,B01,721,169,139,17,11,6,58,25,0,425,12,437,170,PRI_PVEM
11,57,EL NARANJO ,190,C01,721,181,115,22,4,5,68,45,0,440,10,450,165,PRI_PVEM
11,57,EL NARANJO ,191,B01,690,165,119,10,4,12,91,26,0,427,14,441,157,PRI_PVEM
11,57,EL NARANJO ,191,C01,689,162,115,10,4,13,90,30,0,424,15,439,158,PRI_PVEM
11,57,EL NARANJO ,192,B01,668,149,84,25,6,8,111,25,0,408,9,417,117,PRI_PVEM
11,57,EL NARANJO ,192,C01,667,147,73,14,10,6,109,27,0,386,13,399,106,PRI_PVEM
11,57,EL NARANJO ,193,B01,532,112,83,23,4,5,84,26,0,337,11,348,114,PRI_PVEM
11,57,EL NARANJO ,193,C01,532,122,82,6,4,13,73,21,0,321,16,337,116,PRI_PVEM
11,57,EL NARANJO ,193,C02,532,124,61,9,3,7,79,18,0,301,11,312,86,PRI_PVEM
11,57,EL NARANJO ,194,B01,727,146,95,16,10,8,112,31,0,418,25,443,134,PRI_PVEM
11,57,EL NARANJO ,195,B01,309,76,60,1,0,2,71,7,0,217,9,226,69,PRI_PVEM
11,57,EL NARANJO ,195,E01,284,41,60,6,0,2,58,8,0,175,5,180,70,PRI_PVEM
11,57,EL NARANJO ,203,B01,206,68,34,12,0,1,15,11,0,141,3,144,46,PRI_PVEM
11,57,EL NARANJO ,204,B01,277,31,51,5,2,2,74,13,0,178,2,180,66,PRI_PVEM
11,57,EL NARANJO ,205,B01,543,69,73,12,0,8,174,30,0,366,21,387,111,PRI_PVEM
11,57,EL NARANJO ,212,B01,428,39,98,10,3,5,111,23,0,289,10,299,126,PRI_PVEM
11,57,EL NARANJO ,212,C01,428,31,98,9,5,5,98,33,0,279,18,297,136,PRI_PVEM
11,57,EL NARANJO ,213,B01,253,50,26,2,0,2,90,7,0,177,0,177,35,PRI_PVEM
11,57,EL NARANJO ,219,B01,590,134,87,20,4,5,77,39,0,366,9,375,131,PRI_PVEM
