Dto Local,Nom Mpio,Municipio,No. de Seccion,Tipo,Lista Nominal,PAN,PRI,PRD,PT,PVEM,PMC,PNA,CC_PAN_PNA,CC_PRI_PVEM,FORMULAS NO REGISTRADAS,VOTACION VALIDA EMITIDA,VOTOS NULOS,VOTACION EMITIDA,PAN_PNA,PRI_PVEM,CC_1,CC_2
13,14,COXCATLAN ,371,B01,534,68,96,6,1,12,156,4,30,32,0,405,9,414,102,140,PAN_PNA,PRI_PVEM
13,14,COXCATLAN ,371,C01,534,65,108,13,11,7,115,9,24,33,0,385,9,394,98,148,PAN_PNA,PRI_PVEM
13,14,COXCATLAN ,371,C02,533,75,101,20,4,7,119,6,25,35,0,392,16,408,106,143,PAN_PNA,PRI_PVEM
13,14,COXCATLAN ,372,B01,736,67,137,66,4,15,146,6,26,39,0,506,35,541,99,191,PAN_PNA,PRI_PVEM
13,14,COXCATLAN ,373,B01,634,83,128,26,1,22,113,8,24,48,0,453,26,479,115,198,PAN_PNA,PRI_PVEM
13,14,COXCATLAN ,374,B01,605,75,133,32,2,5,122,6,21,48,0,444,35,479,102,186,PAN_PNA,PRI_PVEM
13,14,COXCATLAN ,375,B01,385,43,71,4,12,12,75,4,23,26,0,270,14,284,70,109,PAN_PNA,PRI_PVEM
13,14,COXCATLAN ,375,C01,385,72,102,3,7,6,59,2,11,20,0,282,12,294,85,128,PAN_PNA,PRI_PVEM
13,14,COXCATLAN ,376,B01,571,76,140,6,2,9,84,4,11,49,0,381,32,413,91,198,PAN_PNA,PRI_PVEM
13,14,COXCATLAN ,377,B01,440,57,70,4,2,1,101,5,27,25,0,292,16,308,89,96,PAN_PNA,PRI_PVEM
13,14,COXCATLAN ,377,C01,439,78,54,2,3,10,102,2,16,27,0,294,24,318,96,91,PAN_PNA,PRI_PVEM
13,14,COXCATLAN ,378,B01,734,159,77,13,2,9,200,7,49,34,0,550,23,573,215,120,PAN_PNA,PRI_PVEM
13,14,COXCATLAN ,379,B01,403,56,76,6,1,8,95,1,19,33,0,295,17,312,76,117,PAN_PNA,PRI_PVEM
13,14,COXCATLAN ,379,C01,402,55,51,1,1,1,120,6,20,30,0,285,25,310,81,82,PAN_PNA,PRI_PVEM
13,14,COXCATLAN ,380,B01,419,54,92,0,1,1,108,3,13,29,0,301,26,327,70,122,PAN_PNA,PRI_PVEM
13,14,COXCATLAN ,381,B01,533,59,103,22,5,1,42,2,15,40,0,289,25,314,76,144,PAN_PNA,PRI_PVEM
13,14,COXCATLAN ,381,C01,532,56,94,15,10,8,52,4,16,42,0,297,36,333,76,144,PAN_PNA,PRI_PVEM
13,14,COXCATLAN ,381,C02,532,58,93,17,12,8,67,5,22,37,0,319,33,352,85,138,PAN_PNA,PRI_PVEM
13,14,COXCATLAN ,382,B01,685,71,89,34,1,8,182,7,26,27,0,445,44,489,104,124,PAN_PNA,PRI_PVEM
13,14,COXCATLAN ,383,B01,692,90,99,13,4,7,232,4,16,19,0,484,41,525,110,125,PAN_PNA,PRI_PVEM
13,14,COXCATLAN ,383,E01,431,94,45,66,12,1,17,5,24,13,0,277,25,302,123,59,PAN_PNA,PRI_PVEM
