Dto Local,Nom Mpio,Municipio,No. de Seccion,Tipo,Lista Nominal,PAN,PRI,PRD,PT,PVEM,PCP,PMC,PNA,CC_PAN_PNA,CC_PRI_PVEM,CC_PRD_PT_PMC,FORMULAS NO REGISTRADAS,VOTACION VALIDA EMITIDA,VOTOS NULOS,VOTACION EMITIDA,PAN_PNA,PRI_PVEM,PRD_PT_PMC,CC_1,CC_2,CC_3
1,20,MATEHUALA ,490,B01,675,163,110,12,8,2,7,3,6,40,38,13,0,402,8,410,209,150,36,PAN_PNA,PRI_PVEM,PRD_PT_PMC
1,20,MATEHUALA ,490,C01,675,173,135,12,10,2,15,1,9,45,40,10,0,452,8,460,227,177,33,PAN_PNA,PRI_PVEM,PRD_PT_PMC
1,20,MATEHUALA ,491,B01,426,94,89,9,2,2,3,3,3,29,18,5,0,257,4,261,126,109,19,PAN_PNA,PRI_PVEM,PRD_PT_PMC
1,20,MATEHUALA ,491,C01,426,87,88,12,3,4,9,1,6,29,39,9,0,287,7,294,122,131,25,PAN_PNA,PRI_PVEM,PRD_PT_PMC
1,20,MATEHUALA ,492,B01,154,53,34,2,1,4,6,1,2,8,4,2,0,117,2,119,63,42,6,PAN_PNA,PRI_PVEM,PRD_PT_PMC
1,20,MATEHUALA ,493,B01,581,142,100,20,7,3,15,1,7,29,29,7,0,360,5,365,178,132,35,PAN_PNA,PRI_PVEM,PRD_PT_PMC
1,20,MATEHUALA ,493,C01,581,126,106,19,8,5,16,4,4,47,26,8,0,369,4,373,177,137,39,PAN_PNA,PRI_PVEM,PRD_PT_PMC
1,20,MATEHUALA ,494,B01,601,121,124,20,5,2,20,6,2,29,28,14,0,371,9,380,152,154,45,PAN_PNA,PRI_PVEM,PRD_PT_PMC
1,20,MATEHUALA ,494,C01,600,112,138,13,9,10,13,1,11,34,35,10,0,386,3,389,157,183,33,PAN_PNA,PRI_PVEM,PRD_PT_PMC
1,20,MATEHUALA ,495,B01,435,107,102,17,3,1,14,5,9,19,19,5,0,301,6,307,135,122,30,PAN_PNA,PRI_PVEM,PRD_PT_PMC
1,20,MATEHUALA ,495,C01,434,99,88,18,10,1,11,2,11,32,20,8,0,300,14,314,142,109,38,PAN_PNA,PRI_PVEM,PRD_PT_PMC
1,20,MATEHUALA ,496,B01,706,152,121,15,8,7,9,6,17,29,47,10,0,421,8,429,198,175,39,PAN_PNA,PRI_PVEM,PRD_PT_PMC
1,20,MATEHUALA ,496,C01,706,144,117,24,4,6,14,4,12,31,37,20,0,413,8,421,187,160,52,PAN_PNA,PRI_PVEM,PRD_PT_PMC
1,20,MATEHUALA ,496,C02,705,138,121,16,4,9,22,7,12,33,36,9,0,407,12,419,183,166,36,PAN_PNA,PRI_PVEM,PRD_PT_PMC
1,20,MATEHUALA ,497,B01,563,101,99,14,2,3,5,3,4,36,22,2,0,291,5,296,141,124,21,PAN_PNA,PRI_PVEM,PRD_PT_PMC
1,20,MATEHUALA ,497,C01,562,107,90,11,1,5,6,1,7,33,25,2,0,288,9,297,147,120,15,PAN_PNA,PRI_PVEM,PRD_PT_PMC
1,20,MATEHUALA ,498,B01,616,105,102,13,12,6,8,3,12,35,29,8,0,333,22,355,152,137,36,PAN_PNA,PRI_PVEM,PRD_PT_PMC
1,20,MATEHUALA ,498,C01,615,77,88,7,5,5,9,0,1,42,37,16,0,287,17,304,120,130,28,PAN_PNA,PRI_PVEM,PRD_PT_PMC
1,20,MATEHUALA ,499,B01,623,151,88,8,9,2,23,4,9,28,21,6,0,349,11,360,188,111,27,PAN_PNA,PRI_PVEM,PRD_PT_PMC
1,20,MATEHUALA ,500,B01,508,106,98,7,4,1,5,0,4,20,28,9,0,282,8,290,130,127,20,PAN_PNA,PRI_PVEM,PRD_PT_PMC
1,20,MATEHUALA ,500,C01,508,101,71,5,11,5,4,1,2,43,35,4,0,282,5,287,146,111,21,PAN_PNA,PRI_PVEM,PRD_PT_PMC
1,20,MATEHUALA ,500,C02,507,89,68,9,5,6,8,3,8,50,28,4,0,278,8,286,147,102,21,PAN_PNA,PRI_PVEM,PRD_PT_PMC
1,20,MATEHUALA ,501,B01,580,117,79,17,7,5,15,1,7,34,23,11,0,316,9,325,158,107,36,PAN_PNA,PRI_PVEM,PRD_PT_PMC
1,20,MATEHUALA ,501,C01,579,128,82,10,2,4,18,0,7,36,22,4,0,313,9,322,171,108,16,PAN_PNA,PRI_PVEM,PRD_PT_PMC
1,20,MATEHUALA ,501,C02,579,113,94,15,3,5,14,9,5,28,29,6,0,321,4,325,146,128,33,PAN_PNA,PRI_PVEM,PRD_PT_PMC
1,20,MATEHUALA ,502,B01,632,127,109,9,7,8,11,2,5,37,22,6,0,343,7,350,169,139,24,PAN_PNA,PRI_PVEM,PRD_PT_PMC
1,20,MATEHUALA ,502,C01,632,101,127,12,5,4,8,4,7,39,39,1,0,347,8,355,147,170,22,PAN_PNA,PRI_PVEM,PRD_PT_PMC
1,20,MATEHUALA ,502,C02,632,117,103,9,9,6,6,2,5,36,28,6,0,327,10,337,158,137,26,PAN_PNA,PRI_PVEM,PRD_PT_PMC
1,20,MATEHUALA ,502,C03,632,118,152,16,7,6,9,2,38,0,0,30,0,378,11,389,156,158,55,PAN_PNA,PRI_PVEM,PRD_PT_PMC
1,20,MATEHUALA ,503,B01,564,91,71,8,2,10,6,3,4,43,34,9,0,281,14,295,138,115,22,PAN_PNA,PRI_PVEM,PRD_PT_PMC
1,20,MATEHUALA ,503,C01,564,101,94,7,5,5,8,0,4,41,32,5,0,302,6,308,146,131,17,PAN_PNA,PRI_PVEM,PRD_PT_PMC
1,20,MATEHUALA ,503,C02,563,95,88,14,2,3,4,0,6,41,34,5,0,292,8,300,142,125,21,PAN_PNA,PRI_PVEM,PRD_PT_PMC
1,20,MATEHUALA ,504,B01,523,111,67,15,2,5,14,0,8,35,21,5,0,283,8,291,154,93,22,PAN_PNA,PRI_PVEM,PRD_PT_PMC
1,20,MATEHUALA ,504,C01,522,95,76,10,3,5,6,1,6,27,13,4,0,246,10,256,128,94,18,PAN_PNA,PRI_PVEM,PRD_PT_PMC
1,20,MATEHUALA ,504,C02,522,95,70,7,3,4,4,3,3,36,27,8,0,260,2,262,134,101,21,PAN_PNA,PRI_PVEM,PRD_PT_PMC
1,20,MATEHUALA ,505,B01,613,114,113,26,4,5,16,4,7,38,49,4,0,380,7,387,159,167,38,PAN_PNA,PRI_PVEM,PRD_PT_PMC
