Dto Local,Nom Mpio,Municipio,No. de Seccion,Tipo,Lista Nominal,PAN,PRI,PRD,PT,PVEM,PCP,PMC,PNA,CC_PAN_PNA,CC_PRI_PVEM,FORMULAS NO REGISTRADAS,VOTACION VALIDA EMITIDA,VOTOS NULOS,VOTACION EMITIDA,PAN_PNA,PRI_PVEM,CC_1,CC_2
11,36,TAMASOPO ,1319,B01,525,15,69,9,2,8,8,196,5,2,22,0,336,17,353,22,99,PAN_PNA,PRI_PVEM
11,36,TAMASOPO ,1319,C01,525,18,104,4,1,18,2,195,4,2,14,0,362,11,373,24,136,PAN_PNA,PRI_PVEM
11,36,TAMASOPO ,1319,C02,525,29,86,9,1,12,11,194,5,5,24,0,376,13,389,39,122,PAN_PNA,PRI_PVEM
11,36,TAMASOPO ,1320,B01,467,20,93,8,0,7,5,159,4,7,19,0,322,12,334,31,119,PAN_PNA,PRI_PVEM
11,36,TAMASOPO ,1320,C01,466,21,90,15,1,8,7,154,1,5,21,0,323,14,337,27,119,PAN_PNA,PRI_PVEM
11,36,TAMASOPO ,1321,B01,513,19,97,3,1,10,3,163,6,6,18,0,326,21,347,31,125,PAN_PNA,PRI_PVEM
11,36,TAMASOPO ,1321,C01,513,17,71,1,2,13,1,216,6,0,20,0,347,21,368,23,104,PAN_PNA,PRI_PVEM
11,36,TAMASOPO ,1322,B01,575,7,105,2,1,12,4,204,2,0,32,0,369,24,393,9,149,PAN_PNA,PRI_PVEM
11,36,TAMASOPO ,1323,B01,650,9,130,10,1,27,1,238,8,0,49,0,473,27,500,17,206,PAN_PNA,PRI_PVEM
11,36,TAMASOPO ,1324,B01,525,6,105,5,1,33,4,139,12,6,50,0,361,24,385,24,188,PAN_PNA,PRI_PVEM
11,36,TAMASOPO ,1324,C01,525,8,100,3,0,29,0,155,15,3,39,0,352,19,371,26,168,PAN_PNA,PRI_PVEM
11,36,TAMASOPO ,1324,C02,525,2,96,7,1,25,0,163,18,2,39,0,353,19,372,22,160,PAN_PNA,PRI_PVEM
11,36,TAMASOPO ,1325,B01,527,5,127,41,0,37,0,134,3,0,19,0,366,25,391,8,183,PAN_PNA,PRI_PVEM
11,36,TAMASOPO ,1326,B01,614,17,147,9,12,24,2,122,7,4,52,0,396,14,410,28,223,PAN_PNA,PRI_PVEM
11,36,TAMASOPO ,1326,C01,614,10,156,4,13,38,3,140,5,3,44,0,416,19,435,18,238,PAN_PNA,PRI_PVEM
11,36,TAMASOPO ,1326,C02,614,13,154,8,15,22,4,124,8,1,52,0,401,20,421,22,228,PAN_PNA,PRI_PVEM
11,36,TAMASOPO ,1327,B01,545,4,156,5,16,7,1,155,6,2,32,0,384,19,403,12,195,PAN_PNA,PRI_PVEM
11,36,TAMASOPO ,1327,C01,545,6,109,5,17,15,1,173,5,2,34,0,367,16,383,13,158,PAN_PNA,PRI_PVEM
11,36,TAMASOPO ,1327,C02,545,6,125,5,21,20,3,150,6,1,48,0,385,14,399,13,193,PAN_PNA,PRI_PVEM
11,36,TAMASOPO ,1328,B01,536,11,114,5,1,10,0,177,6,3,50,0,377,24,401,20,174,PAN_PNA,PRI_PVEM
11,36,TAMASOPO ,1328,C01,536,13,126,6,2,10,1,185,0,3,55,0,401,19,420,16,191,PAN_PNA,PRI_PVEM
11,36,TAMASOPO ,1328,C02,536,10,137,4,3,12,1,151,0,0,45,0,363,17,380,10,194,PAN_PNA,PRI_PVEM
11,36,TAMASOPO ,1329,B01,536,6,120,9,3,6,1,169,5,1,42,0,362,25,387,12,168,PAN_PNA,PRI_PVEM
11,36,TAMASOPO ,1329,C01,535,7,131,6,0,12,0,153,5,0,49,0,363,27,390,12,192,PAN_PNA,PRI_PVEM
11,36,TAMASOPO ,1330,B01,580,23,98,3,45,11,4,138,1,3,30,0,356,21,377,27,139,PAN_PNA,PRI_PVEM
11,36,TAMASOPO ,1330,C01,580,26,137,7,28,6,0,139,7,7,31,0,388,17,405,40,174,PAN_PNA,PRI_PVEM
11,36,TAMASOPO ,1330,E01,436,14,70,1,30,5,5,121,2,0,24,0,272,16,288,16,99,PAN_PNA,PRI_PVEM
11,36,TAMASOPO ,1331,B01,745,34,124,4,6,7,3,234,24,4,40,0,480,40,520,62,171,PAN_PNA,PRI_PVEM
11,36,TAMASOPO ,1332,B01,574,44,107,10,36,8,4,142,8,8,19,0,386,36,422,60,134,PAN_PNA,PRI_PVEM
11,36,TAMASOPO ,1332,E01,597,,,,,,,,,,,,0,,0,0,0,PAN_PNA,PRI_PVEM
11,36,TAMASOPO ,1333,B01,688,34,178,9,12,9,1,178,5,1,25,0,452,28,480,40,212,PAN_PNA,PRI_PVEM
11,36,TAMASOPO ,1333,E01,620,7,155,24,3,7,2,129,6,1,35,0,369,30,399,14,197,PAN_PNA,PRI_PVEM
11,36,TAMASOPO ,1334,B01,404,25,45,5,7,10,6,117,11,5,7,0,238,17,255,41,62,PAN_PNA,PRI_PVEM
11,36,TAMASOPO ,1334,C01,403,20,36,7,6,6,6,113,23,6,14,0,237,25,262,49,56,PAN_PNA,PRI_PVEM
11,36,TAMASOPO ,1335,B01,417,14,63,3,40,8,1,105,5,3,20,0,262,12,274,22,91,PAN_PNA,PRI_PVEM
11,36,TAMASOPO ,1335,C01,416,14,76,1,53,11,2,85,0,1,25,0,268,18,286,15,112,PAN_PNA,PRI_PVEM
11,36,TAMASOPO ,1335,E01,603,22,121,4,29,4,2,178,0,0,22,0,382,43,425,22,147,PAN_PNA,PRI_PVEM
