Dto Local,Nom Mpio,Municipio,No. de Seccion,Tipo,Lista Nominal,PAN,PRI,PRD,PT,PVEM,PCP,PMC,PNA,CC_PAN_PNA,CC_PRD_PT_PMC,CC_PVEM_PCP,FORMULAS NO REGISTRADAS,VOTACION VALIDA EMITIDA,VOTOS NULOS,VOTACION EMITIDA,PAN_PNA,PRD_PT_PMC,PVEM_PCP,CC_1,CC_2,CC_3
2,8,CERRITOS ,143,C02,517,158,121,4,12,5,2,3,9,22,4,2,0,342,11,353,189,23,9,PAN_PNA,PRD_PT_PMC,PVEM_PCP
2,8,CERRITOS ,144,B01,545,154,172,3,9,13,0,15,10,14,7,3,0,400,9,409,178,34,16,PAN_PNA,PRD_PT_PMC,PVEM_PCP
2,8,CERRITOS ,144,C01,544,140,152,1,5,12,1,4,3,23,6,1,0,348,13,361,166,16,14,PAN_PNA,PRD_PT_PMC,PVEM_PCP
2,8,CERRITOS ,144,C02,544,163,152,4,10,9,1,3,8,24,5,4,0,383,14,397,195,22,14,PAN_PNA,PRD_PT_PMC,PVEM_PCP
2,8,CERRITOS ,145,B01,157,12,58,6,7,3,0,3,0,0,3,1,0,93,5,98,12,19,4,PAN_PNA,PRD_PT_PMC,PVEM_PCP
2,8,CERRITOS ,147,B01,518,55,141,5,26,15,0,2,6,9,7,1,0,267,12,279,70,40,16,PAN_PNA,PRD_PT_PMC,PVEM_PCP
2,8,CERRITOS ,148,B01,364,44,73,5,4,11,3,3,3,11,8,1,0,166,12,178,58,20,15,PAN_PNA,PRD_PT_PMC,PVEM_PCP
2,8,CERRITOS ,149,B01,173,21,76,3,4,1,0,2,4,2,2,0,0,115,6,121,27,11,1,PAN_PNA,PRD_PT_PMC,PVEM_PCP
2,8,CERRITOS ,150,B01,144,47,20,0,23,3,0,4,0,0,0,0,0,97,1,98,47,27,3,PAN_PNA,PRD_PT_PMC,PVEM_PCP
2,8,CERRITOS ,151,B01,121,23,53,1,1,0,0,0,0,4,0,0,0,82,3,85,27,2,0,PAN_PNA,PRD_PT_PMC,PVEM_PCP
2,8,CERRITOS ,152,B01,450,108,76,38,0,4,0,0,21,0,0,0,0,247,15,262,129,38,4,PAN_PNA,PRD_PT_PMC,PVEM_PCP
2,8,CERRITOS ,152,C01,449,98,115,0,0,0,1,50,0,0,0,0,0,264,23,287,98,50,1,PAN_PNA,PRD_PT_PMC,PVEM_PCP
2,8,CERRITOS ,153,B01,230,84,52,3,2,3,0,0,3,10,0,1,0,158,3,161,97,5,4,PAN_PNA,PRD_PT_PMC,PVEM_PCP
2,8,CERRITOS ,154,B01,135,7,62,1,18,0,0,1,0,1,1,0,0,91,3,94,8,21,0,PAN_PNA,PRD_PT_PMC,PVEM_PCP
2,8,CERRITOS ,155,B01,303,35,62,3,4,44,5,1,2,2,1,12,1,172,10,182,39,9,61,PAN_PNA,PRD_PT_PMC,PVEM_PCP
2,8,CERRITOS ,156,B01,679,110,214,5,8,8,1,6,5,8,6,0,2,373,18,391,123,25,9,PAN_PNA,PRD_PT_PMC,PVEM_PCP
2,8,CERRITOS ,157,B01,76,2,39,6,1,1,0,1,1,1,3,0,0,55,3,58,4,11,1,PAN_PNA,PRD_PT_PMC,PVEM_PCP
2,8,CERRITOS ,158,B01,369,94,66,5,5,6,0,3,3,28,2,2,0,214,12,226,125,15,8,PAN_PNA,PRD_PT_PMC,PVEM_PCP
2,8,CERRITOS ,159,B01,97,24,29,0,2,0,0,2,0,2,1,0,0,60,3,63,26,5,0,PAN_PNA,PRD_PT_PMC,PVEM_PCP
2,8,CERRITOS ,160,B01,175,53,50,3,1,10,1,2,2,4,0,1,0,127,6,133,59,6,12,PAN_PNA,PRD_PT_PMC,PVEM_PCP
2,8,CERRITOS ,161,B01,343,103,84,2,5,1,0,3,2,14,3,1,0,218,13,231,119,13,2,PAN_PNA,PRD_PT_PMC,PVEM_PCP
2,8,CERRITOS ,162,B01,96,25,32,1,8,1,1,5,0,6,3,0,0,82,0,82,31,17,2,PAN_PNA,PRD_PT_PMC,PVEM_PCP
2,8,CERRITOS ,163,B01,395,92,78,6,18,8,2,5,5,25,7,1,0,247,12,259,122,36,11,PAN_PNA,PRD_PT_PMC,PVEM_PCP
2,8,CERRITOS ,164,B01,143,43,31,1,1,18,2,2,1,10,2,0,0,111,1,112,54,6,20,PAN_PNA,PRD_PT_PMC,PVEM_PCP
