Dto Local,Nom Mpio,Municipio,No. de Seccion,Tipo,Lista Nominal,PAN,PRI,PRD,PT,PVEM,PCP,PMC,PNA,CC_PAN_PNA,CC_PT_PMC,FORMULAS NO REGISTRADAS,VOTACION VALIDA EMITIDA,VOTOS NULOS,VOTACION EMITIDA,PAN_PNA,PT_PMC,CC_1,CC_2
3,56,ZARAGOZA ,1773,B01,565,52,135,4,39,58,10,39,4,22,37,0,400,21,421,78,115,PAN_PNA,PT_PMC
3,56,ZARAGOZA ,1773,C01,564,36,164,2,38,44,5,33,6,21,27,0,376,16,392,63,98,PAN_PNA,PT_PMC
3,56,ZARAGOZA ,1773,C02,564,42,170,5,30,41,5,36,3,17,50,0,399,10,409,62,116,PAN_PNA,PT_PMC
3,56,ZARAGOZA ,1773,C03,564,50,119,10,46,59,18,19,5,18,43,0,387,12,399,73,108,PAN_PNA,PT_PMC
3,56,ZARAGOZA ,1774,B01,715,71,101,6,69,47,21,56,7,37,67,0,482,17,499,115,192,PAN_PNA,PT_PMC
3,56,ZARAGOZA ,1774,C01,715,67,79,11,87,38,18,53,10,36,66,0,465,11,476,113,206,PAN_PNA,PT_PMC
3,56,ZARAGOZA ,1775,B01,512,67,94,3,33,39,17,27,7,22,28,0,337,19,356,96,88,PAN_PNA,PT_PMC
3,56,ZARAGOZA ,1775,C01,512,62,76,2,62,30,21,21,6,28,44,0,352,29,381,96,127,PAN_PNA,PT_PMC
3,56,ZARAGOZA ,1775,C02,511,59,64,8,47,23,21,23,17,23,56,0,341,18,359,99,126,PAN_PNA,PT_PMC
3,56,ZARAGOZA ,1776,B01,555,59,96,1,35,36,9,30,5,24,49,0,344,21,365,88,114,PAN_PNA,PT_PMC
3,56,ZARAGOZA ,1776,C01,554,43,89,12,31,28,36,60,0,24,38,0,361,20,381,67,129,PAN_PNA,PT_PMC
3,56,ZARAGOZA ,1776,E01,687,70,122,3,38,16,8,50,2,32,61,0,402,20,422,104,149,PAN_PNA,PT_PMC
3,56,ZARAGOZA ,1776,E1C1,686,70,196,2,42,17,12,71,2,36,83,0,531,41,572,108,196,PAN_PNA,PT_PMC
3,56,ZARAGOZA ,1777,B01,154,20,10,6,12,8,2,12,2,7,13,0,92,10,102,29,37,PAN_PNA,PT_PMC
3,56,ZARAGOZA ,1778,B01,501,53,68,4,46,32,5,21,6,34,36,0,305,23,328,93,103,PAN_PNA,PT_PMC
3,56,ZARAGOZA ,1779,B01,464,52,25,6,27,38,16,20,5,29,16,0,234,29,263,86,63,PAN_PNA,PT_PMC
3,56,ZARAGOZA ,1779,C01,463,60,37,5,22,28,9,22,6,13,18,0,220,21,241,79,62,PAN_PNA,PT_PMC
3,56,ZARAGOZA ,1780,B01,206,34,12,8,17,19,16,12,1,12,7,0,138,10,148,47,36,PAN_PNA,PT_PMC
3,56,ZARAGOZA ,1781,B01,571,18,113,27,48,35,9,28,1,6,43,0,328,19,347,25,119,PAN_PNA,PT_PMC
3,56,ZARAGOZA ,1782,B01,244,13,55,4,21,24,7,14,1,5,12,0,156,16,172,19,47,PAN_PNA,PT_PMC
3,56,ZARAGOZA ,1783,B01,437,40,58,8,26,44,25,47,4,8,24,0,284,18,302,52,97,PAN_PNA,PT_PMC
3,56,ZARAGOZA ,1784,B01,453,35,40,32,36,57,15,37,8,11,53,0,324,19,343,54,126,PAN_PNA,PT_PMC
3,56,ZARAGOZA ,1785,B01,459,43,89,8,35,26,25,26,4,10,16,0,282,36,318,57,77,PAN_PNA,PT_PMC
3,56,ZARAGOZA ,1786,B01,189,26,18,2,17,16,8,15,4,8,9,0,123,12,135,38,41,PAN_PNA,PT_PMC
3,56,ZARAGOZA ,1787,B01,676,32,179,14,40,68,5,35,4,16,49,0,442,29,471,52,124,PAN_PNA,PT_PMC
3,56,ZARAGOZA ,1787,C01,676,42,137,4,33,98,18,32,2,18,46,0,430,32,462,62,111,PAN_PNA,PT_PMC
3,56,ZARAGOZA ,1788,B01,270,18,10,0,16,85,10,13,0,3,14,0,169,8,177,21,43,PAN_PNA,PT_PMC
3,56,ZARAGOZA ,1789,B01,66,12,3,1,6,6,8,3,1,3,1,1,45,2,47,16,10,PAN_PNA,PT_PMC
3,56,ZARAGOZA ,1790,B01,243,32,16,0,21,28,12,25,4,7,9,0,154,6,160,43,55,PAN_PNA,PT_PMC
3,56,ZARAGOZA ,1791,B01,185,27,17,0,8,28,0,11,0,5,8,1,105,8,113,32,27,PAN_PNA,PT_PMC
3,56,ZARAGOZA ,1792,B01,477,44,20,1,50,114,9,9,3,7,12,1,270,15,285,54,71,PAN_PNA,PT_PMC
3,56,ZARAGOZA ,1793,B01,569,45,132,7,20,71,9,32,5,10,14,0,345,26,371,60,66,PAN_PNA,PT_PMC
3,56,ZARAGOZA ,1794,B01,219,18,31,1,21,37,1,9,1,6,9,0,134,6,140,25,39,PAN_PNA,PT_PMC
3,56,ZARAGOZA ,1795,B01,379,64,74,2,21,36,2,12,6,11,23,0,251,22,273,81,56,PAN_PNA,PT_PMC
