Municipio,Distrito,Sección,PAN,PRI,PRD,PT,PVEM,PEBC,PRS,PPBC,Nulos
Mexicali,I,42,152,132,28,4,0,0,3,7,9
Mexicali,I,43,183,109,22,2,0,0,2,8,9
Mexicali,I,44,153,167,30,3,0,0,4,5,25
Mexicali,I,45,160,122,12,3,0,0,5,9,16
Mexicali,I,46,136,133,18,4,0,0,1,13,17
Mexicali,I,47,101,91,17,2,0,0,1,5,10
Mexicali,I,48,95,113,11,2,0,0,5,4,16
Mexicali,I,49,108,127,15,2,0,0,1,6,8
Mexicali,I,50,180,141,22,5,0,0,3,19,11
Mexicali,I,51,204,176,14,5,0,0,4,8,7
Mexicali,I,52,161,158,18,2,0,0,2,13,3
Mexicali,I,53,158,151,34,5,0,0,5,12,12
Mexicali,I,54,172,109,14,3,0,0,4,9,16
Mexicali,I,55,173,153,11,5,0,0,5,9,16
Mexicali,I,56,179,147,12,6,0,0,0,9,10
Mexicali,I,57,168,181,17,4,0,0,5,4,11
Mexicali,I,58,146,102,14,3,0,0,1,13,9
Mexicali,I,59,109,107,11,0,0,0,4,3,5
Mexicali,I,60,126,94,14,3,0,0,2,8,8
Mexicali,I,61,109,134,19,6,0,0,2,7,9
Mexicali,I,62,114,136,10,0,0,0,6,4,13
Mexicali,I,63,201,208,25,5,0,0,2,24,21
Mexicali,I,64,180,148,18,3,0,0,1,6,15
Mexicali,I,65,234,225,31,12,0,0,1,23,21
Mexicali,I,66,225,186,20,6,0,0,3,13,19
Mexicali,I,67,167,145,19,3,0,0,4,11,17
Mexicali,I,68,177,139,14,3,0,0,7,8,17
Mexicali,I,69,202,179,15,1,0,0,1,14,9
Mexicali,I,70,145,99,11,1,0,0,6,4,5
Mexicali,I,71,120,141,8,3,0,0,7,7,8
Mexicali,I,72,142,157,11,2,0,0,6,10,10
Mexicali,I,73,140,116,32,6,0,0,3,11,13
Mexicali,I,74,186,124,15,0,0,0,7,9,12
Mexicali,I,75,138,85,6,6,0,0,3,7,9
Mexicali,I,76,172,127,15,4,0,0,7,5,18
Mexicali,I,77,158,136,28,3,0,0,4,17,10
Mexicali,I,78,153,171,20,5,0,0,7,7,18
Mexicali,I,79,196,144,12,4,0,0,3,12,6
Mexicali,I,80,231,151,17,3,0,0,8,17,14
Mexicali,I,81,223,120,30,5,0,0,5,18,15
Mexicali,I,82,208,189,33,6,0,0,5,13,16
Mexicali,I,83,258,185,13,2,0,0,5,25,12
Mexicali,I,84,181,151,21,4,0,0,14,21,24
Mexicali,I,85,178,136,24,3,0,0,2,15,11
Mexicali,I,86,180,122,15,6,0,0,2,12,16
Mexicali,I,87,245,153,25,3,0,0,27,16,21
Mexicali,I,88,212,161,19,2,0,0,17,19,10
Mexicali,I,89,236,211,23,1,0,0,29,19,26
Mexicali,I,90,239,121,11,2,0,0,1,16,5
Mexicali,I,91,258,203,22,2,0,0,1,17,16
Mexicali,I,92,46,70,11,3,0,0,4,2,5
Mexicali,I,93,352,230,34,4,0,0,4,21,6
Mexicali,I,94,276,240,28,9,0,0,11,34,30
Mexicali,I,95,185,191,26,6,0,0,20,24,22
Mexicali,I,96,209,128,18,7,0,0,4,14,16
Mexicali,I,97,278,179,13,4,0,0,0,31,3
Mexicali,I,98,272,150,17,1,0,0,0,33,4
Mexicali,I,99,160,132,19,0,0,0,4,36,17
Mexicali,I,100,197,153,18,0,0,0,2,23,5
Mexicali,I,101,307,189,46,2,0,0,1,14,13
Mexicali,I,102,224,130,22,0,0,0,4,27,3
Mexicali,I,103,378,196,26,0,0,0,4,43,4
Mexicali,I,104,274,190,28,1,0,0,4,16,17
Mexicali,I,105,298,174,26,3,0,0,14,28,25
Mexicali,I,106,238,160,29,1,0,0,9,21,9
Mexicali,I,107,254,168,29,1,0,0,10,17,12
Mexicali,I,108,442,279,39,8,0,0,8,36,13
