Municipio,Distrito,Seccion,PAN,PRI-PT-PVEM-PEBC,PRD,PC,Nulos,Total,Lista Nominal
TECATE,VII,1,275,248,35,10,9,577,1471
TECATE,VII,2,203,255,7,16,11,492,1206
TECATE,VII,3,414,332,27,14,13,800,2011
TECATE,VII,4,274,256,23,11,9,573,1317
TECATE,VII,5,187,151,12,7,6,363,879
TECATE,VII,6,214,159,10,7,4,394,1011
TECATE,VII,7,301,263,15,12,14,605,1349
TECATE,VII,8,251,203,19,6,14,493,1259
TECATE,VII,9,397,405,48,26,21,897,2500
TECATE,VII,10,286,350,28,16,14,694,1722
TECATE,VII,11,135,196,15,15,8,369,922
TECATE,VII,12,285,266,25,17,16,609,1526
TECATE,VII,13,265,211,17,16,11,520,1402
TECATE,VII,14,259,200,13,2,7,481,1188
TECATE,VII,15,268,275,18,9,8,578,1193
TECATE,VII,16,246,214,8,8,11,487,1343
TECATE,VII,17,257,198,15,11,16,497,1327
TECATE,VII,18,278,388,36,28,15,745,2104
TECATE,VII,19,248,234,28,17,19,546,1532
TECATE,VII,20,235,242,24,14,14,529,1363
TECATE,VII,21,278,399,45,34,20,776,2168
TECATE,VII,22,211,297,72,65,25,670,2196
TECATE,VII,23,255,316,42,22,8,643,1823
TECATE,VII,24,183,235,19,22,13,472,1258
TECATE,VII,25,145,318,14,48,15,540,1372
TECATE,VII,26,197,207,25,18,6,453,1159
TECATE,VII,27,191,211,20,21,16,459,1230
TECATE,VII,28,297,368,44,66,13,788,2126
TECATE,VII,29,845,893,144,145,41,2068,5739
TECATE,VII,30,323,456,60,33,14,886,2538
TECATE,VII,31,238,443,75,28,16,800,1879
TECATE,VII,32,108,122,19,7,11,267,671
TECATE,VII,33,96,184,32,20,13,345,826
TECATE,VII,34,66,75,14,4,7,166,511
TECATE,VII,35,58,107,7,1,6,179,496
TECATE,VII,36,112,159,15,3,11,300,830
TECATE,VII,37,121,179,25,13,9,347,932
TECATE,VII,38,80,79,5,4,3,171,501
TECATE,VII,39,19,66,3,10,5,103,244
TECATE,VII,40,58,85,5,2,5,155,494
TECATE,VII,41,57,86,4,6,8,161,447
MEXICALI,I,42,48,44,8,5,1,106,914
MEXICALI,I,43,111,67,13,8,5,204,761
MEXICALI,I,44,46,43,12,6,3,110,906
MEXICALI,I,45,109,99,16,11,13,248,795
MEXICALI,I,46,92,83,16,6,4,201,833
MEXICALI,I,47,66,67,13,3,4,153,605
MEXICALI,I,48,59,70,3,26,16,174,623
MEXICALI,I,49,66,86,7,9,4,172,618
MEXICALI,I,50,133,102,18,9,6,268,856
MEXICALI,I,51,64,64,6,5,1,140,1001
