id_entidad_electoral,fecha_jornada,id_cargo,nombre_cargo,id_estado,id_distrito,seccion,id_casilla,tipo_casilla,descripcion,ext_contigua,id_municipio,nombre_municipio,lista_nominal,estatus_casilla,descripcion,resultados_obtenidos,tipo_urna,descripcion,pan-panal,pri,prd,pt,pvem,pc,pa,noregistrados,anulados,total
1,5/8/2007,12,Ayuntamientos,1,0,1,2,C,Contigua,0,1,AGUASCALIENTES,584,RC,Recuento llevado a cabo en la sede de los Consejos respectivos,P,T,Urna tradicional,112,93,17,0,5,87,1,1,9,325
1,5/8/2007,12,Ayuntamientos,1,0,1,1,B,Basica,0,1,AGUASCALIENTES,584,RC,Recuento llevado a cabo en la sede de los Consejos respectivos,P,T,Urna tradicional,105,92,9,0,7,66,1,0,11,291
1,5/8/2007,12,Ayuntamientos,1,0,1,1,C,Contigua,0,1,AGUASCALIENTES,584,RC,Recuento llevado a cabo en la sede de los Consejos respectivos,P,T,Urna tradicional,135,82,11,0,4,87,0,0,14,333
1,5/8/2007,12,Ayuntamientos,1,0,2,1,B,Basica,0,1,AGUASCALIENTES,502,RC,Recuento llevado a cabo en la sede de los Consejos respectivos,P,T,Urna tradicional,58,88,9,1,12,48,0,0,11,227
1,5/8/2007,12,Ayuntamientos,1,0,2,1,C,Contigua,0,1,AGUASCALIENTES,502,RC,Recuento llevado a cabo en la sede de los Consejos respectivos,P,T,Urna tradicional,69,67,6,1,8,67,1,1,13,233
1,5/8/2007,12,Ayuntamientos,1,0,3,1,B,Basica,0,1,AGUASCALIENTES,728,RC,Recuento llevado a cabo en la sede de los Consejos respectivos,P,T,Urna tradicional,117,82,16,7,20,75,3,1,9,330
1,5/8/2007,12,Ayuntamientos,1,0,3,1,C,Contigua,0,1,AGUASCALIENTES,728,RC,Recuento llevado a cabo en la sede de los Consejos respectivos,P,T,Urna tradicional,117,79,18,1,14,92,1,2,13,337
1,5/8/2007,12,Ayuntamientos,1,0,4,1,B,Basica,0,1,AGUASCALIENTES,629,RC,Recuento llevado a cabo en la sede de los Consejos respectivos,P,T,Urna tradicional,65,99,13,2,43,65,3,0,15,305
1,5/8/2007,12,Ayuntamientos,1,0,4,1,C,Contigua,0,1,AGUASCALIENTES,629,RC,Recuento llevado a cabo en la sede de los Consejos respectivos,P,T,Urna tradicional,78,72,15,1,34,75,2,0,15,292
1,5/8/2007,12,Ayuntamientos,1,0,5,1,B,Basica,0,1,AGUASCALIENTES,420,RC,Recuento llevado a cabo en la sede de los Consejos respectivos,P,T,Urna tradicional,69,48,5,0,11,62,4,2,13,214
1,5/8/2007,12,Ayuntamientos,1,0,5,1,C,Contigua,0,1,AGUASCALIENTES,421,RC,Recuento llevado a cabo en la sede de los Consejos respectivos,P,T,Urna tradicional,63,67,10,1,7,47,5,0,15,215
1,5/8/2007,12,Ayuntamientos,1,0,6,1,C,Contigua,0,1,AGUASCALIENTES,405,RC,Recuento llevado a cabo en la sede de los Consejos respectivos,P,T,Urna tradicional,73,51,16,2,10,41,1,2,12,208
1,5/8/2007,12,Ayuntamientos,1,0,6,1,B,Basica,0,1,AGUASCALIENTES,404,RC,Recuento llevado a cabo en la sede de los Consejos respectivos,P,T,Urna tradicional,62,75,8,2,6,53,2,0,9,217
1,5/8/2007,12,Ayuntamientos,1,0,7,1,C,Contigua,0,1,AGUASCALIENTES,455,RC,Recuento llevado a cabo en la sede de los Consejos respectivos,P,T,Urna tradicional,94,64,2,0,10,63,0,0,9,242
1,5/8/2007,12,Ayuntamientos,1,0,7,1,B,Basica,0,1,AGUASCALIENTES,454,RC,Recuento llevado a cabo en la sede de los Consejos respectivos,P,T,Urna tradicional,85,66,16,1,5,43,1,0,12,229
1,5/8/2007,12,Ayuntamientos,1,0,8,1,B,Basica,0,1,AGUASCALIENTES,614,RC,Recuento llevado a cabo en la sede de los Consejos respectivos,P,T,Urna tradicional,93,122,11,7,8,43,2,1,4,291
1,5/8/2007,12,Ayuntamientos,1,0,8,1,C,Contigua,0,1,AGUASCALIENTES,614,RC,Recuento llevado a cabo en la sede de los Consejos respectivos,P,T,Urna tradicional,97,117,11,2,9,55,2,1,13,307
1,5/8/2007,12,Ayuntamientos,1,0,9,1,B,Basica,0,1,AGUASCALIENTES,669,RC,Recuento llevado a cabo en la sede de los Consejos respectivos,P,T,Urna tradicional,110,101,16,8,12,68,3,0,15,333
1,5/8/2007,12,Ayuntamientos,1,0,9,1,C,Contigua,0,1,AGUASCALIENTES,670,RC,Recuento llevado a cabo en la sede de los Consejos respectivos,P,T,Urna tradicional,111,136,11,3,10,58,1,0,14,344
1,5/8/2007,12,Ayuntamientos,1,0,10,1,C,Contigua,0,1,AGUASCALIENTES,635,RC,Recuento llevado a cabo en la sede de los Consejos respectivos,P,T,Urna tradicional,94,91,14,1,5,51,5,1,26,288
1,5/8/2007,12,Ayuntamientos,1,0,10,1,B,Basica,0,1,AGUASCALIENTES,634,RC,Recuento llevado a cabo en la sede de los Consejos respectivos,P,T,Urna tradicional,94,84,13,3,12,58,1,1,11,277
1,5/8/2007,12,Ayuntamientos,1,0,11,1,B,Basica,0,1,AGUASCALIENTES,659,RC,Recuento llevado a cabo en la sede de los Consejos respectivos,P,T,Urna tradicional,105,64,14,2,12,68,1,0,13,279
1,5/8/2007,12,Ayuntamientos,1,0,11,1,C,Contigua,0,1,AGUASCALIENTES,660,RC,Recuento llevado a cabo en la sede de los Consejos respectivos,P,T,Urna tradicional,88,61,8,2,13,67,4,1,7,251
1,5/8/2007,12,Ayuntamientos,1,0,12,1,B,Basica,0,1,AGUASCALIENTES,496,RC,Recuento llevado a cabo en la sede de los Consejos respectivos,P,T,Urna tradicional,90,68,14,0,8,49,2,2,11,244
1,5/8/2007,12,Ayuntamientos,1,0,12,1,C,Contigua,0,1,AGUASCALIENTES,497,RC,Recuento llevado a cabo en la sede de los Consejos respectivos,P,T,Urna tradicional,77,79,13,1,7,42,3,0,8,230
1,5/8/2007,12,Ayuntamientos,1,0,13,1,C,Contigua,0,1,AGUASCALIENTES,472,RC,Recuento llevado a cabo en la sede de los Consejos respectivos,P,T,Urna tradicional,89,56,8,1,6,44,6,0,12,222
1,5/8/2007,12,Ayuntamientos,1,0,13,1,B,Basica,0,1,AGUASCALIENTES,471,RC,Recuento llevado a cabo en la sede de los Consejos respectivos,P,T,Urna tradicional,76,58,15,2,6,48,1,0,4,210
1,5/8/2007,12,Ayuntamientos,1,0,14,1,B,Basica,0,1,AGUASCALIENTES,521,RC,Recuento llevado a cabo en la sede de los Consejos respectivos,P,T,Urna tradicional,99,77,3,3,3,46,1,1,19,252
1,5/8/2007,12,Ayuntamientos,1,0,14,1,C,Contigua,0,1,AGUASCALIENTES,522,RC,Recuento llevado a cabo en la sede de los Consejos respectivos,P,T,Urna tradicional,74,67,14,1,8,55,1,0,12,232
1,5/8/2007,12,Ayuntamientos,1,0,15,1,C,Contigua,0,1,AGUASCALIENTES,558,RC,Recuento llevado a cabo en la sede de los Consejos respectivos,P,T,Urna tradicional,53,59,9,2,6,59,5,0,3,196
1,5/8/2007,12,Ayuntamientos,1,0,15,1,B,Basica,0,1,AGUASCALIENTES,558,RC,Recuento llevado a cabo en la sede de los Consejos respectivos,P,T,Urna tradicional,74,63,7,1,9,48,0,0,9,211
1,5/8/2007,12,Ayuntamientos,1,0,16,1,B,Basica,0,1,AGUASCALIENTES,474,RC,Recuento llevado a cabo en la sede de los Consejos respectivos,P,T,Urna tradicional,62,43,4,1,11,38,4,0,7,170
1,5/8/2007,12,Ayuntamientos,1,0,16,1,C,Contigua,0,1,AGUASCALIENTES,475,RC,Recuento llevado a cabo en la sede de los Consejos respectivos,P,T,Urna tradicional,59,52,3,1,13,56,0,0,9,193
1,5/8/2007,12,Ayuntamientos,1,0,17,1,B,Basica,0,1,AGUASCALIENTES,586,RC,Recuento llevado a cabo en la sede de los Consejos respectivos,P,T,Urna tradicional,91,70,11,2,8,65,8,0,6,261
1,5/8/2007,12,Ayuntamientos,1,0,17,1,C,Contigua,0,1,AGUASCALIENTES,586,RC,Recuento llevado a cabo en la sede de los Consejos respectivos,P,T,Urna tradicional,89,70,9,1,5,47,5,1,8,235
1,5/8/2007,12,Ayuntamientos,1,0,18,1,C,Contigua,0,1,AGUASCALIENTES,575,RC,Recuento llevado a cabo en la sede de los Consejos respectivos,P,T,Urna tradicional,77,69,13,1,11,56,4,2,7,240
1,5/8/2007,12,Ayuntamientos,1,0,18,1,B,Basica,0,1,AGUASCALIENTES,575,RC,Recuento llevado a cabo en la sede de los Consejos respectivos,P,T,Urna tradicional,79,58,13,0,12,71,2,1,14,250
