ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,PAN,PRI,PRD,PVEM,MC,NA,PAC,PS,MORENA,ES,PRI_PVEM_NVA_ALIANZA_PS,PRI_NVA_ALIANZA_PVEM,PRI_PS_PVEM,PRI_PS_NVA_ALIANZA,PVEM_PS_NVA_ALIANZA,PRI_PVEM,PRI_NVA_ALIANZA,PRI_PS,PVEM_NVA_ALIANZA,PVEM_PS,NVA_ALIANZA_PS,CAND_IND1,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,PARTICIPACION
29,TLAXCALA,40,XALTOCAN,9,14,1065,1317,1827,212,36,30,233,99,237,24,5,2,0,1,0,5,1,1,0,0,0,52,1,5148,177,5325,7693,0.6922
29,TLAXCALA,41,PAPALOTLA DE XICOHTENCATL,12,33,2064,2881,3911,87,2670,72,314,30,706,54,8,5,1,0,0,14,2,0,1,0,0,183,18,13021,333,13354,20357,0.6560
29,TLAXCALA,42,SANTO TORIBIO XICOHTZINCO,5,17,672,892,1328,44,2970,32,43,172,481,80,5,7,0,0,0,6,1,0,0,0,0,94,4,6831,183,7014,10183,0.6888
29,TLAXCALA,43,YAUHQUEMEHCAN,11,36,3990,3092,3512,112,89,302,439,68,1023,109,19,8,1,0,1,9,9,1,1,1,3,234,12,13035,416,13451,22158,0.6070
29,TLAXCALA,44,ZACATELCO,14,50,2674,4282,5121,221,3705,242,536,287,1457,372,131,12,2,0,3,18,10,5,2,3,2,308,21,19414,598,20012,31173,0.6420
29,TLAXCALA,45,SANTA APOLONIA TEACALCO,2,6,320,426,800,36,383,467,89,93,146,4,7,0,0,0,0,0,3,0,0,0,0,77,1,2852,71,2923,3538,0.8262
29,TLAXCALA,46,SANTA CRUZ QUILEHTLA,3,8,277,442,993,10,821,231,60,13,127,64,1,0,0,0,0,0,2,0,1,0,1,46,1,3090,129,3219,4533,0.7101
29,TLAXCALA,47,SAN JUAN HUACTZINCO,2,8,297,1066,1040,63,256,53,133,210,270,42,6,2,1,0,0,1,0,5,0,0,0,177,0,3622,130,3752,5126,0.7320
29,TLAXCALA,48,SANTA CATARINA AYOMETLA,4,11,1171,864,1424,31,611,26,220,17,238,199,1,1,0,0,0,4,1,0,0,0,0,27,8,4843,144,4987,6695,0.7449
29,TLAXCALA,49,SANTA ISABEL XILOXOXTLA,2,5,246,812,785,10,104,22,116,26,69,6,2,1,0,0,0,6,1,1,1,0,0,22,0,2230,74,2304,3098,0.7437
29,TLAXCALA,50,SAN JOSE TEACALCO,5,7,557,1161,859,56,41,25,133,28,85,58,4,2,0,1,0,4,2,1,0,2,1,19,1,3040,78,3118,4062,0.7676
29,TLAXCALA,51,SAN FRANCISCO TETLANOHCAN,3,13,1037,1488,2251,358,96,31,29,37,359,13,10,3,0,1,0,16,0,0,0,2,0,84,0,5815,144,5959,8034,0.7417
29,TLAXCALA,52,LA MAGDALENA TLALTELULCO,6,21,1414,2182,3561,313,309,326,142,78,492,216,171,4,1,0,9,51,6,4,2,0,1,139,0,9421,285,9706,13356,0.7267
29,TLAXCALA,53,SAN DAMIAN TEXOLOC,2,6,283,667,1452,39,154,23,160,25,222,9,3,2,1,1,1,1,0,1,0,0,0,86,16,3146,70,3216,4179,0.7696
29,TLAXCALA,54,EMILIANO ZAPATA,4,6,659,965,507,12,15,20,25,137,73,6,1,1,0,0,1,2,3,3,0,1,1,3,0,2435,62,2497,3045,0.8200
29,TLAXCALA,55,LAZARO CARDENAS,2,4,267,496,545,132,6,16,42,68,46,30,2,2,0,0,0,4,0,3,1,1,0,2,5,1668,38,1706,2099,0.8128
29,TLAXCALA,56,SAN JERONIMO ZACUALPAN,2,5,155,795,498,30,69,246,28,149,147,3,13,16,0,2,0,6,9,6,0,2,0,72,0,2246,57,2303,2906,0.7925
29,TLAXCALA,57,SAN LUCAS TECOPILCO,2,5,216,551,465,47,261,19,33,83,69,2,2,0,1,0,0,5,1,2,0,0,0,17,1,1775,73,1848,2408,0.7674
29,TLAXCALA,58,SANTA ANA NOPALUCAN,2,8,799,919,954,18,70,52,186,551,271,9,5,2,0,0,0,0,1,13,0,0,1,61,0,3912,137,4049,5233,0.7737
29,TLAXCALA,59,SAN LORENZO AXOCOMANITLA,2,6,688,541,893,31,289,121,55,10,175,28,4,6,1,0,0,1,3,0,0,0,0,18,0,2864,62,2926,3641,0.8036
29,TLAXCALA,60,BENITO JUAREZ,2,7,388,799,947,9,23,23,105,144,242,146,4,1,0,0,2,1,0,1,0,0,1,18,0,2854,72,2926,4014,0.7289
